stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6848,0.0153
0.0,conformal_risk_filter,0.7107,0.0178
0.0,proposed_branch_mechanism,0.7438,0.0065
0.0,oracle_branch_upper_bound,0.8007,0.0079
0.2,scalar_uncertainty_planner,0.6248,0.0126
0.2,conformal_risk_filter,0.6674,0.0165
0.2,proposed_branch_mechanism,0.7112,0.0053
0.2,oracle_branch_upper_bound,0.7807,0.0079
0.4,scalar_uncertainty_planner,0.5714,0.0134
0.4,conformal_risk_filter,0.6264,0.0159
0.4,proposed_branch_mechanism,0.6781,0.0075
0.4,oracle_branch_upper_bound,0.7588,0.0075
0.6,scalar_uncertainty_planner,0.5176,0.0181
0.6,conformal_risk_filter,0.5760,0.0151
0.6,proposed_branch_mechanism,0.6495,0.0094
0.6,oracle_branch_upper_bound,0.7352,0.0061
0.8,scalar_uncertainty_planner,0.4598,0.0176
0.8,conformal_risk_filter,0.5333,0.0172
0.8,proposed_branch_mechanism,0.6148,0.0118
0.8,oracle_branch_upper_bound,0.7119,0.0086
1.0,scalar_uncertainty_planner,0.4107,0.0144
1.0,conformal_risk_filter,0.4955,0.0186
1.0,proposed_branch_mechanism,0.5905,0.0135
1.0,oracle_branch_upper_bound,0.6888,0.0073
