stress_level,method,n,mismatch,clean_retention,success,success_ci95,utility,utility_ci95,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
0.0,action_critical_tactile_transfer_guard_v5,800,0.120007,0.829816,0.788805,0.000476,0.710621,0.000535,0.024356,0.000423,0.817229,0.000524,0.032914,0.000284,0.102618,0.000162,0.035763,0.000195,0.073733,0.037636
0.0,conformal_tactile_risk_control,800,0.120007,0.623975,0.673769,0.000426,0.570647,0.00089,0.037943,0.000776,0.616636,0.000626,0.036824,0.000364,0.156969,0.000157,0.04247,0.000334,0.088952,0.047152
0.0,domain_adversarial_tactile_transfer,800,0.120007,0.753919,0.704166,0.000476,0.598011,0.001263,0.052396,0.000953,0.602646,0.000565,0.047099,0.000626,0.082837,0.000138,0.045399,0.000392,0.124762,0.06271
0.0,ensemble_disagreement_filter,800,0.120007,0.682551,0.686392,0.000432,0.580473,0.001057,0.043969,0.000825,0.62502,0.000609,0.041987,0.000507,0.130917,0.000181,0.043781,0.000356,0.102095,0.05366
0.0,frozen_tactile_pretraining,800,0.120007,0.839911,0.716873,0.000699,0.608823,0.001875,0.064164,0.001262,0.509772,0.000686,0.053378,0.0008,0.033591,0.000138,0.048272,0.00049,0.140324,0.072185
0.0,invariant_risk_tactile_alignment,800,0.120007,0.725255,0.698613,0.000462,0.595414,0.001199,0.049002,0.000939,0.610176,0.000583,0.044643,0.000564,0.089075,0.000143,0.044543,0.000378,0.11885,0.059472
0.0,oracle_contact_shift_feature_selector,800,0.120007,0.892176,0.865313,0.00061,0.804107,0.000611,0.016633,0.000301,0.930022,0.000475,0.029255,0.000226,0.066929,0.000153,0.031743,0.000159,0.059911,0.030731
0.0,proposed_negative_transfer_guard_v4,800,0.120007,0.768472,0.755548,0.00042,0.661224,0.000743,0.03598,0.00066,0.717706,0.000576,0.038336,0.0004,0.116915,0.000155,0.040068,0.000272,0.093511,0.047639
0.0,sensor_health_filter,800,0.120007,0.635439,0.671678,0.000461,0.572963,0.000917,0.03957,0.000706,0.65105,0.000556,0.04026,0.00045,0.117657,0.000153,0.042265,0.000322,0.097552,0.050539
0.0,test_time_tactile_adaptation,800,0.120007,0.757079,0.717401,0.000441,0.61198,0.001092,0.046281,0.000847,0.650769,0.000564,0.044654,0.000565,0.107927,0.000146,0.043862,0.000345,0.114765,0.057748
0.2,action_critical_tactile_transfer_guard_v5,800,0.172347,0.822143,0.775667,0.000556,0.68945,0.000535,0.028071,0.000491,0.814046,0.000558,0.034833,0.0003,0.121322,0.000169,0.037751,0.000221,0.075308,0.040111
0.2,conformal_tactile_risk_control,800,0.172347,0.613821,0.656271,0.000439,0.538731,0.00102,0.046896,0.000973,0.611211,0.000709,0.04021,0.000426,0.184595,0.000173,0.046886,0.000397,0.092219,0.052513
0.2,domain_adversarial_tactile_transfer,800,0.172347,0.746796,0.686223,0.000544,0.564314,0.001585,0.063934,0.00121,0.598023,0.000665,0.053746,0.000752,0.097906,0.000142,0.050616,0.00048,0.130251,0.070668
