stress_level,method,n,mismatch,clean_retention,success,success_ci95,utility,utility_ci95,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
0.2,ensemble_disagreement_filter,800,0.172347,0.670445,0.668662,0.00047,0.547386,0.001272,0.053518,0.001046,0.619622,0.000679,0.047041,0.000595,0.154689,0.000192,0.048612,0.000425,0.106626,0.060126
0.2,frozen_tactile_pretraining,800,0.172347,0.833003,0.694488,0.000815,0.568615,0.002296,0.079578,0.001614,0.503286,0.000829,0.062034,0.000975,0.040915,0.00014,0.054653,0.000603,0.147235,0.082597
0.2,invariant_risk_tactile_alignment,800,0.172347,0.71806,0.680454,0.000486,0.562416,0.001422,0.059704,0.001165,0.605432,0.000672,0.050438,0.000681,0.105266,0.000143,0.049411,0.000454,0.123972,0.066722
0.2,oracle_contact_shift_feature_selector,800,0.172347,0.886864,0.854466,0.000668,0.788596,0.000627,0.018619,0.000318,0.927195,0.000508,0.030069,0.000229,0.079651,0.000152,0.03277,0.000163,0.060255,0.03188
0.2,proposed_negative_transfer_guard_v4,800,0.172347,0.759646,0.739864,0.000431,0.633378,0.000871,0.043179,0.000803,0.712924,0.000636,0.042098,0.000464,0.137826,0.000162,0.043666,0.00032,0.096738,0.052458
0.2,sensor_health_filter,800,0.172347,0.627277,0.655342,0.000449,0.543611,0.001034,0.047949,0.000887,0.646959,0.000658,0.044399,0.00053,0.138005,0.000149,0.046449,0.000378,0.10062,0.055931
0.2,test_time_tactile_adaptation,800,0.172347,0.749676,0.70066,0.000426,0.580324,0.001243,0.056229,0.001049,0.646615,0.0006,0.050357,0.000673,0.126941,0.00015,0.04844,0.000415,0.119514,0.06461
0.4,action_critical_tactile_transfer_guard_v5,800,0.224687,0.814471,0.762924,0.000583,0.668562,0.000531,0.032076,0.000554,0.810328,0.000593,0.036706,0.00032,0.139716,0.000177,0.03991,0.000242,0.077142,0.042731
0.4,conformal_tactile_risk_control,800,0.224687,0.603667,0.639156,0.000482,0.507174,0.001263,0.055899,0.001197,0.605894,0.000813,0.043515,0.000481,0.212179,0.00018,0.051498,0.000461,0.095554,0.057891
0.4,domain_adversarial_tactile_transfer,800,0.224687,0.739673,0.667625,0.00053,0.529225,0.001826,0.076507,0.001505,0.59305,0.000703,0.060615,0.000883,0.113064,0.000137,0.055967,0.000574,0.136106,0.079142
0.4,ensemble_disagreement_filter,800,0.224687,0.658339,0.650766,0.000447,0.513936,0.001428,0.063777,0.001269,0.61504,0.000799,0.052168,0.000681,0.178083,0.000202,0.053266,0.000496,0.110849,0.066787
0.4,frozen_tactile_pretraining,800,0.224687,0.826095,0.672759,0.000921,0.52882,0.002703,0.095549,0.001961,0.497509,0.000923,0.07074,0.001138,0.048122,0.000138,0.061038,0.000719,0.153957,0.093184
0.4,invariant_risk_tactile_alignment,800,0.224687,0.710865,0.663167,0.000519,0.529833,0.001675,0.071267,0.001405,0.600655,0.000766,0.056259,0.000784,0.121419,0.000143,0.054545,0.000543,0.128889,0.074264
0.4,oracle_contact_shift_feature_selector,800,0.224687,0.881552,0.843694,0.000771,0.773445,0.000691,0.02005,0.000341,0.924879,0.00053,0.03082,0.000227,0.092066,0.000168,0.033986,0.000168,0.060755,0.032863
0.4,proposed_negative_transfer_guard_v4,800,0.224687,0.75082,0.724947,0.00042,0.606434,0.001,0.050141,0.000986,0.708929,0.000699,0.045811,0.000546,0.158791,0.000177,0.047251,0.000386,0.099951,0.057172
0.4,sensor_health_filter,800,0.224687,0.619114,0.638782,0.000473,0.51364,0.001185,0.056597,0.001065,0.642993,0.000736,0.04896,0.000619,0.158168,0.000166,0.050696,0.000455,0.103527,0.061552
0.4,test_time_tactile_adaptation,800,0.224687,0.742274,0.683358,0.000449,0.547724,0.001453,0.066705,0.001271,0.641791,0.000698,0.056063,0.000775,0.146227,0.00015,0.053182,0.000495,0.124512,0.071714
0.6,action_critical_tactile_transfer_guard_v5,800,0.277026,0.806798,0.750344,0.000638,0.64741,0.000577,0.03636,0.000654,0.806622,0.000661,0.038828,0.000371,0.158365,0.000207,0.042314,0.000281,0.078822,0.045536
0.6,conformal_tactile_risk_control,800,0.277026,0.593513,0.622368,0.000448,0.475647,0.001378,0.065375,0.001395,0.601153,0.000907,0.047019,0.000539,0.239719,0.000196,0.056029,0.000538,0.098672,0.063459
0.6,domain_adversarial_tactile_transfer,800,0.277026,0.732549,0.648962,0.00061,0.493943,0.002139,0.089148,0.001781,0.588115,0.00084,0.067576,0.001019,0.128234,0.000139,0.061465,0.000662,0.141791,0.087658
0.6,ensemble_disagreement_filter,800,0.277026,0.646232,0.633209,0.000499,0.480698,0.001726,0.073895,0.001525,0.609867,0.000937,0.057219,0.000788,0.201798,0.00023,0.058302,0.000591,0.115537,0.073495
0.6,frozen_tactile_pretraining,800,0.277026,0.819187,0.650765,0.001063,0.488281,0.003155,0.112178,0.002318,0.491565,0.001065,0.079594,0.001307,0.055321,0.000135,0.067678,0.000838,0.160643,0.10407
0.6,invariant_risk_tactile_alignment,800,0.277026,0.70367,0.64485,0.000556,0.49607,0.00193,0.082852,0.001666,0.595609,0.000856,0.062283,0.000899,0.137634,0.000149,0.059546,0.000629,0.133937,0.081901
0.6,oracle_contact_shift_feature_selector,800,0.277026,0.876239,0.833364,0.000898,0.758583,0.000787,0.021832,0.000379,0.921995,0.000561,0.031545,0.000236,0.104728,0.000169,0.034951,0.000181,0.061579,0.033989
0.6,proposed_negative_transfer_guard_v4,800,0.277026,0.741995,0.708846,0.000425,0.577724,0.001106,0.058125,0.00114,0.704813,0.000786,0.049685,0.000616,0.179684,0.000192,0.050895,0.000428,0.103182,0.062305
0.6,sensor_health_filter,800,0.277026,0.610952,0.622307,0.000479,0.483414,0.001362,0.065764,0.001285,0.639168,0.000775,0.053634,0.000703,0.178469,0.000166,0.055011,0.000526,0.106194,0.067357
0.6,test_time_tactile_adaptation,800,0.277026,0.734871,0.666679,0.000461,0.515409,0.001687,0.077448,0.001508,0.637342,0.000753,0.062194,0.000905,0.165209,0.000151,0.057992,0.000565,0.1291,0.079003
0.8,action_critical_tactile_transfer_guard_v5,800,0.329366,0.799126,0.737634,0.000719,0.626875,0.000587,0.04011,0.000728,0.803531,0.000728,0.040429,0.000389,0.176996,0.00022,0.044347,0.000307,0.080515,0.047928
0.8,conformal_tactile_risk_control,800,0.329366,0.583359,0.604449,0.000445,0.442698,0.001593,0.075317,0.001632,0.596259,0.001023,0.050489,0.000612,0.267348,0.000203,0.060769,0.000607,0.101947,0.069221
0.8,domain_adversarial_tactile_transfer,800,0.329366,0.725426,0.630209,0.000635,0.458868,0.002408,0.101996,0.002038,0.583679,0.000911,0.074178,0.001146,0.143412,0.000138,0.066672,0.000755,0.147212,0.096032
0.8,ensemble_disagreement_filter,800,0.329366,0.634126,0.615487,0.000499,0.447121,0.001904,0.084386,0.001763,0.604255,0.00102,0.0625,0.000886,0.225274,0.00024,0.063158,0.000668,0.119766,0.080315
0.8,frozen_tactile_pretraining,800,0.329366,0.812279,0.628601,0.001188,0.446965,0.003621,0.129593,0.00272,0.485871,0.001176,0.088778,0.001491,0.062497,0.000137,0.074235,0.000964,0.167654,0.115399
0.8,invariant_risk_tactile_alignment,800,0.329366,0.696475,0.626509,0.000584,0.461895,0.002225,0.095385,0.001939,0.590486,0.000917,0.068182,0.001026,0.153794,0.00015,0.064769,0.000715,0.138965,0.089831
0.8,oracle_contact_shift_feature_selector,800,0.329366,0.870927,0.823354,0.001002,0.744091,0.000848,0.023817,0.000384,0.919443,0.0006,0.032123,0.000244,0.117374,0.000192,0.036019,0.000183,0.061882,0.035045
0.8,proposed_negative_transfer_guard_v4,800,0.329366,0.733169,0.693363,0.000455,0.549408,0.001206,0.066232,0.001305,0.700319,0.000891,0.053726,0.00068,0.200657,0.000203,0.054586,0.000488,0.106513,0.067566
0.8,sensor_health_filter,800,0.329366,0.602789,0.605394,0.000505,0.452661,0.001537,0.075126,0.001453,0.635235,0.000874,0.058177,0.000784,0.198748,0.000173,0.059496,0.000589,0.109259,0.073266
0.8,test_time_tactile_adaptation,800,0.329366,0.727468,0.649424,0.00047,0.482392,0.001912,0.08877,0.001752,0.633406,0.000819,0.068062,0.001015,0.184364,0.000159,0.062814,0.000652,0.133821,0.086415
1.0,action_critical_tactile_transfer_guard_v5,800,0.381705,0.791453,0.725562,0.000775,0.606245,0.000621,0.044499,0.000844,0.800199,0.000805,0.042509,0.00043,0.195511,0.000234,0.046653,0.000343,0.082461,0.050791
1.0,conformal_tactile_risk_control,800,0.381705,0.573204,0.587313,0.000466,0.410419,0.001756,0.085644,0.001872,0.590895,0.001111,0.05396,0.000657,0.295,0.000223,0.065327,0.000676,0.105158,0.075085
1.0,domain_adversarial_tactile_transfer,800,0.381705,0.718303,0.611984,0.000682,0.423473,0.002712,0.115806,0.002341,0.578814,0.000993,0.081124,0.001282,0.158401,0.000151,0.072419,0.000854,0.152872,0.10496
1.0,ensemble_disagreement_filter,800,0.381705,0.622019,0.597799,0.000516,0.413081,0.002129,0.09581,0.002004,0.600032,0.001107,0.06775,0.000989,0.248843,0.00026,0.068147,0.000746,0.124298,0.087509
1.0,frozen_tactile_pretraining,800,0.381705,0.805371,0.605707,0.001323,0.404643,0.004056,0.147691,0.003091,0.479969,0.001306,0.09773,0.001662,0.069901,0.00014,0.081187,0.001088,0.174372,0.126858
1.0,invariant_risk_tactile_alignment,800,0.381705,0.68928,0.608726,0.000615,0.427725,0.002478,0.10853,0.002216,0.585955,0.001038,0.074434,0.001148,0.169947,0.000148,0.070047,0.000794,0.143979,0.098106
1.0,oracle_contact_shift_feature_selector,800,0.381705,0.865615,0.812943,0.001124,0.729231,0.000953,0.025464,0.0004,0.917228,0.000612,0.032817,0.000246,0.129896,0.000197,0.037187,0.000195,0.062431,0.036084
1.0,proposed_negative_transfer_guard_v4,800,0.381705,0.724344,0.678119,0.000466,0.521463,0.001364,0.074463,0.001502,0.69595,0.000965,0.057477,0.000766,0.221664,0.000217,0.058392,0.000548,0.109701,0.072744
1.0,sensor_health_filter,800,0.381705,0.594627,0.588978,0.000501,0.422406,0.001674,0.08481,0.00167,0.631661,0.001008,0.062555,0.00089,0.218912,0.000178,0.06402,0.000666,0.112251,0.079213
1.0,test_time_tactile_adaptation,800,0.381705,0.720065,0.632376,0.000463,0.449255,0.002112,0.10043,0.001997,0.628837,0.000896,0.07411,0.001134,0.203379,0.00016,0.067817,0.000727,0.138669,0.09405
