task,regime,split,method,seed,episodes,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score,risk_budget,accepted,risk_breach,fixed_risk_utility
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,0,96,0.88,0.119607,0.8306,0.164451,0.451058,0.337412,0.337412,0.054047,0.28582,0.064714,0.037986,0.045086,0.155437,0.075454,0.06,0.0,0.0,-0.035456
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,1,96,0.88,0.119607,0.8306,0.164451,0.450644,0.343602,0.343602,0.053845,0.288731,0.055813,0.036039,0.047253,0.153837,0.071932,0.06,0.0,0.0,-0.035432
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,2,96,0.88,0.119607,0.8306,0.164451,0.447481,0.344992,0.344992,0.048176,0.282286,0.055208,0.032908,0.043567,0.156453,0.069877,0.06,0.0,0.0,-0.035395
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,3,96,0.88,0.119607,0.8306,0.164451,0.451095,0.3405,0.3405,0.057989,0.288715,0.055916,0.037312,0.04985,0.158018,0.074393,0.06,0.0,0.0,-0.035448
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,4,96,0.88,0.119607,0.8306,0.164451,0.458832,0.352693,0.352693,0.047229,0.29077,0.058009,0.034452,0.048196,0.157976,0.071357,0.06,0.0,0.0,-0.035413
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,5,96,0.88,0.119607,0.8306,0.164451,0.456539,0.341201,0.341201,0.05661,0.291038,0.064312,0.034895,0.048785,0.158203,0.077041,0.06,0.0,0.0,-0.035419
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,6,96,0.88,0.119607,0.8306,0.164451,0.455805,0.349347,0.349347,0.05133,0.28313,0.055747,0.034927,0.04847,0.157608,0.071853,0.06,0.0,0.0,-0.035419
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,7,96,0.88,0.119607,0.8306,0.164451,0.447926,0.338724,0.338724,0.058625,0.290778,0.05459,0.03888,0.048068,0.154068,0.073216,0.06,0.0,0.0,-0.035467
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,8,96,0.88,0.119607,0.8306,0.164451,0.445069,0.344879,0.344879,0.049453,0.281155,0.04986,0.035667,0.046225,0.153348,0.067986,0.06,0.0,0.0,-0.035428
slip_limited_grasp,source_matched,combined_stress,no_tactile_policy,9,96,0.88,0.119607,0.8306,0.164451,0.446684,0.332714,0.332714,0.058126,0.293213,0.0609,0.038857,0.048462,0.155757,0.075787,0.06,0.0,0.0,-0.035466
