method,split,task,regime,mean_success_rate,ci95_success_rate,mean_harmful_transfer_rate,ci95_harmful_transfer_rate,mean_tactile_event_f1,ci95_tactile_event_f1,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
domain_adversarial_transfer,clean_transfer,cable_threading,compound_contact_shift,0.551020,0.040643,0.128786,0.000893,0.555583,0.001311,0.093636,0.002467,0.183466,0.000970,0.108225,0.000660,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,low_friction,0.585034,0.028545,0.086820,0.000797,0.577501,0.006149,0.074740,0.001113,0.176973,0.000874,0.100878,0.000594,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,soft_compliance,0.581633,0.044514,0.095630,0.000826,0.573372,0.005603,0.073986,0.001361,0.178448,0.002917,0.101462,0.002656,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,source_matched,0.651361,0.031269,0.071965,0.004068,0.587999,0.001195,0.064896,0.000584,0.170628,0.000519,0.097864,0.002511,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,taxel_bias,0.557823,0.043631,0.108520,0.002950,0.575549,0.004438,0.081896,0.002486,0.181321,0.002460,0.102491,0.000538,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,texture_aliasing,0.564626,0.026387,0.106729,0.000835,0.569266,0.005592,0.081985,0.000611,0.177525,0.000489,0.103436,0.000620,7,84
domain_adversarial_transfer,clean_transfer,cable_threading,transient_shear_spike,0.544218,0.031681,0.116633,0.000883,0.567984,0.001296,0.086036,0.002799,0.181976,0.000815,0.104130,0.000653,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,compound_contact_shift,0.525510,0.060767,0.131462,0.000893,0.554057,0.001311,0.090848,0.001636,0.185829,0.001219,0.109765,0.001910,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,low_friction,0.596939,0.036158,0.087696,0.000797,0.570702,0.005633,0.075354,0.001350,0.177463,0.001046,0.102321,0.000594,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,soft_compliance,0.607143,0.025963,0.097046,0.000826,0.564811,0.001210,0.074674,0.001081,0.175623,0.001978,0.098703,0.000613,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,source_matched,0.654762,0.036004,0.068055,0.002934,0.584313,0.001195,0.065484,0.001319,0.171510,0.001124,0.093725,0.000565,7,84
