method,split,task,regime,mean_success_rate,ci95_success_rate,mean_harmful_transfer_rate,ci95_harmful_transfer_rate,mean_tactile_event_f1,ci95_tactile_event_f1,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,taxel_bias,0.588435,0.030912,0.107321,0.003755,0.570783,0.004438,0.079308,0.002824,0.178947,0.002621,0.103649,0.000508,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,texture_aliasing,0.605442,0.027622,0.106610,0.002926,0.560975,0.001224,0.082257,0.001094,0.177974,0.000822,0.105337,0.000578,7,84
domain_adversarial_transfer,clean_transfer,cloth_edge_pull,transient_shear_spike,0.564626,0.038394,0.113983,0.004013,0.566188,0.001296,0.083735,0.000965,0.183393,0.000694,0.106576,0.000565,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,compound_contact_shift,0.588435,0.041321,0.124496,0.000970,0.520942,0.005939,0.091031,0.001528,0.183600,0.001188,0.106935,0.000713,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,low_friction,0.688776,0.059035,0.087540,0.000874,0.532366,0.001282,0.072031,0.001822,0.174680,0.002705,0.101894,0.001915,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,soft_compliance,0.680272,0.018659,0.093990,0.003998,0.537560,0.001325,0.074168,0.000520,0.178104,0.002048,0.101996,0.000578,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,source_matched,0.698980,0.040643,0.071683,0.004006,0.549079,0.001311,0.062822,0.001144,0.173250,0.000932,0.094760,0.001925,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,taxel_bias,0.610544,0.046587,0.105097,0.004037,0.526772,0.004388,0.078429,0.003505,0.180614,0.000800,0.105228,0.000545,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,texture_aliasing,0.659864,0.043759,0.105445,0.000912,0.528843,0.005512,0.077952,0.001071,0.178622,0.000807,0.104216,0.000673,7,84
domain_adversarial_transfer,clean_transfer,lid_twist_force_control,transient_shear_spike,0.603741,0.036616,0.115417,0.003629,0.532808,0.001411,0.082948,0.001504,0.180332,0.002479,0.107243,0.000633,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,compound_contact_shift,0.598639,0.036260,0.124850,0.000999,0.529727,0.001469,0.093031,0.001103,0.184644,0.000864,0.106119,0.000733,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,low_friction,0.632653,0.075768,0.086736,0.002898,0.547131,0.001325,0.073657,0.001621,0.177289,0.003228,0.100280,0.000624,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,soft_compliance,0.634354,0.047415,0.090788,0.000931,0.541012,0.001368,0.074846,0.003497,0.174358,0.000859,0.102161,0.000686,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,source_matched,0.673469,0.012323,0.072139,0.003983,0.550299,0.001354,0.065793,0.000465,0.173862,0.001933,0.096301,0.002676,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,taxel_bias,0.629252,0.044222,0.106461,0.000883,0.534500,0.001296,0.082135,0.001257,0.177605,0.000957,0.101678,0.001912,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,texture_aliasing,0.617347,0.036868,0.105447,0.003642,0.531955,0.004336,0.082144,0.002197,0.180381,0.002401,0.105444,0.000620,7,84
domain_adversarial_transfer,clean_transfer,peg_in_hole_contact_search,transient_shear_spike,0.615646,0.016667,0.117713,0.000989,0.531643,0.001455,0.082964,0.000729,0.179210,0.001869,0.105478,0.000726,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,compound_contact_shift,0.578231,0.035590,0.126794,0.000922,0.553998,0.001354,0.089791,0.002591,0.183116,0.000866,0.109125,0.000680,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,low_friction,0.654762,0.046108,0.086820,0.000826,0.571186,0.001210,0.072503,0.002618,0.177186,0.001103,0.102007,0.001927,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,soft_compliance,0.603741,0.036968,0.090230,0.000855,0.561530,0.001253,0.072230,0.001400,0.179349,0.001088,0.103445,0.000633,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,source_matched,0.680272,0.036868,0.069508,0.000845,0.577999,0.001239,0.061796,0.001392,0.174511,0.001082,0.097301,0.000627,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,taxel_bias,0.641156,0.028996,0.105831,0.000807,0.554910,0.001181,0.079544,0.002611,0.181783,0.000754,0.101768,0.000600,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,texture_aliasing,0.659864,0.031740,0.103531,0.000864,0.560727,0.001267,0.080088,0.001031,0.176290,0.001719,0.103506,0.000640,7,84
domain_adversarial_transfer,clean_transfer,slip_limited_grasp,transient_shear_spike,0.664966,0.051280,0.112439,0.000912,0.563096,0.001339,0.081595,0.001616,0.178475,0.001181,0.103514,0.000673,7,84
domain_adversarial_transfer,combined_stress,cable_threading,compound_contact_shift,0.425170,0.044012,0.206667,0.000903,0.528604,0.001325,0.114949,0.001202,0.205183,0.000913,0.122681,0.000666,7,84
domain_adversarial_transfer,combined_stress,cable_threading,low_friction,0.506803,0.041006,0.159478,0.004076,0.551327,0.001181,0.095842,0.001102,0.193618,0.000973,0.119007,0.000512,7,84
domain_adversarial_transfer,combined_stress,cable_threading,soft_compliance,0.503401,0.054297,0.163738,0.000835,0.552426,0.001224,0.095813,0.001578,0.198559,0.002261,0.116097,0.000620,7,84
domain_adversarial_transfer,combined_stress,cable_threading,source_matched,0.564626,0.026874,0.141485,0.000826,0.553181,0.001210,0.086629,0.001124,0.188157,0.000889,0.110939,0.000613,7,84
domain_adversarial_transfer,combined_stress,cable_threading,taxel_bias,0.445578,0.051890,0.176554,0.000787,0.539470,0.001152,0.105844,0.001576,0.201036,0.001190,0.119547,0.000587,7,84
domain_adversarial_transfer,combined_stress,cable_threading,texture_aliasing,0.423469,0.035590,0.177416,0.000845,0.546917,0.004394,0.106163,0.001224,0.197002,0.000950,0.120935,0.002428,7,84
domain_adversarial_transfer,combined_stress,cable_threading,transient_shear_spike,0.479592,0.052599,0.188300,0.003675,0.540069,0.001311,0.107068,0.001633,0.202175,0.001173,0.121463,0.002665,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,compound_contact_shift,0.369048,0.051171,0.202162,0.003998,0.527565,0.001325,0.118046,0.001126,0.208089,0.001069,0.125211,0.000578,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,low_friction,0.476190,0.037761,0.156603,0.003735,0.547588,0.001181,0.097264,0.001084,0.194865,0.000871,0.118086,0.002475,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,soft_compliance,0.503401,0.032886,0.164833,0.000835,0.546925,0.004401,0.097226,0.001007,0.196185,0.002962,0.117910,0.000620,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,source_matched,0.574830,0.063538,0.140685,0.002930,0.549982,0.001210,0.087478,0.001887,0.188909,0.001494,0.112590,0.000571,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,taxel_bias,0.484694,0.039675,0.176749,0.000787,0.535191,0.001152,0.105590,0.001335,0.200788,0.001026,0.120740,0.000587,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,texture_aliasing,0.500000,0.055777,0.178691,0.000845,0.536541,0.006090,0.105801,0.001773,0.196800,0.001344,0.117154,0.000627,7,84
domain_adversarial_transfer,combined_stress,cloth_edge_pull,transient_shear_spike,0.426871,0.048686,0.181899,0.000893,0.538760,0.001311,0.109770,0.001578,0.202613,0.002556,0.120401,0.000660,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,compound_contact_shift,0.447279,0.026874,0.204598,0.002868,0.492605,0.001440,0.114330,0.000871,0.200857,0.000723,0.124748,0.000677,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,low_friction,0.564626,0.036667,0.157274,0.000883,0.504834,0.001296,0.096512,0.002210,0.191989,0.000606,0.116406,0.000653,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,soft_compliance,0.549320,0.058373,0.160888,0.000912,0.512683,0.001339,0.096286,0.002314,0.193284,0.001578,0.116482,0.000673,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,source_matched,0.636054,0.038730,0.133134,0.000903,0.523194,0.001325,0.086820,0.001409,0.187902,0.002409,0.115539,0.000666,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,taxel_bias,0.545918,0.075080,0.171922,0.002914,0.499625,0.005562,0.099016,0.001933,0.199309,0.001371,0.117561,0.000598,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,texture_aliasing,0.530612,0.024870,0.173208,0.003983,0.499991,0.001354,0.105207,0.000524,0.197723,0.002934,0.119241,0.000591,7,84
domain_adversarial_transfer,combined_stress,lid_twist_force_control,transient_shear_spike,0.506803,0.019626,0.185874,0.000970,0.495817,0.001426,0.108335,0.002659,0.202094,0.000784,0.123284,0.001891,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,compound_contact_shift,0.445578,0.039063,0.200794,0.003914,0.496121,0.001484,0.117204,0.000697,0.202980,0.000700,0.124717,0.000651,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,low_friction,0.576531,0.054092,0.155741,0.000912,0.519476,0.004353,0.093927,0.002731,0.191950,0.001077,0.114510,0.000673,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,soft_compliance,0.540816,0.037019,0.163819,0.000941,0.518584,0.001383,0.097633,0.001515,0.196589,0.001185,0.117659,0.000693,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,source_matched,0.612245,0.045501,0.134577,0.000931,0.526863,0.001368,0.082836,0.001205,0.188204,0.000913,0.114548,0.001900,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,taxel_bias,0.537415,0.031151,0.177704,0.000893,0.507230,0.001311,0.100262,0.001981,0.197655,0.000858,0.121845,0.000660,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,texture_aliasing,0.476190,0.043205,0.172481,0.000951,0.508124,0.001397,0.103755,0.000940,0.198273,0.000705,0.121330,0.000699,7,84
domain_adversarial_transfer,combined_stress,peg_in_hole_contact_search,transient_shear_spike,0.506803,0.022111,0.185727,0.000999,0.499674,0.004303,0.104823,0.001222,0.199763,0.002482,0.123485,0.000733,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,compound_contact_shift,0.479592,0.050589,0.205687,0.000931,0.520548,0.005985,0.116567,0.001848,0.205507,0.001422,0.124798,0.000686,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,low_friction,0.569728,0.061403,0.153630,0.000835,0.538541,0.001224,0.094657,0.003429,0.195117,0.001166,0.114341,0.000620,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,soft_compliance,0.581633,0.026176,0.159350,0.000864,0.531540,0.001267,0.094222,0.000780,0.197327,0.000625,0.115866,0.000640,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,source_matched,0.615646,0.061040,0.134895,0.000855,0.547001,0.001253,0.084030,0.001739,0.191663,0.001332,0.112623,0.002640,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,taxel_bias,0.540816,0.018954,0.173163,0.000816,0.538087,0.001195,0.103448,0.001660,0.199017,0.000797,0.120002,0.000607,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,texture_aliasing,0.500000,0.039110,0.175230,0.000874,0.531907,0.001282,0.106303,0.001058,0.196124,0.000809,0.117647,0.001915,7,84
domain_adversarial_transfer,combined_stress,slip_limited_grasp,transient_shear_spike,0.500000,0.024419,0.188548,0.000922,0.526137,0.005502,0.108191,0.000550,0.201644,0.000462,0.119852,0.001902,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,compound_contact_shift,0.420068,0.031269,0.174292,0.003990,0.541994,0.001339,0.109812,0.000982,0.199034,0.002578,0.119353,0.002442,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,low_friction,0.545918,0.038586,0.134993,0.000816,0.555231,0.001195,0.086171,0.000939,0.187031,0.002565,0.112780,0.001930,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,soft_compliance,0.544218,0.024795,0.135670,0.000845,0.558985,0.001239,0.086922,0.000551,0.191978,0.000450,0.112115,0.000627,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,source_matched,0.605442,0.048419,0.113919,0.000835,0.571596,0.005592,0.077340,0.001400,0.183415,0.002872,0.106520,0.000620,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,taxel_bias,0.496599,0.057090,0.146422,0.002942,0.559196,0.001167,0.094339,0.001297,0.190976,0.001090,0.113367,0.000551,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,texture_aliasing,0.518707,0.042861,0.149439,0.000855,0.557219,0.001253,0.096440,0.001263,0.188818,0.000963,0.111757,0.000633,7,84
domain_adversarial_transfer,heldout_geometry,cable_threading,transient_shear_spike,0.465986,0.050259,0.156129,0.002898,0.552523,0.001325,0.101747,0.001047,0.194620,0.003254,0.116581,0.000624,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,compound_contact_shift,0.484694,0.038345,0.171857,0.000912,0.541150,0.001339,0.106786,0.002399,0.194215,0.000924,0.116372,0.000673,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,low_friction,0.557823,0.055411,0.135904,0.000816,0.551687,0.001195,0.087029,0.001782,0.185390,0.001350,0.108672,0.001930,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,soft_compliance,0.532313,0.040961,0.137121,0.000845,0.556251,0.001239,0.088788,0.001102,0.189983,0.003024,0.114096,0.000627,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,source_matched,0.598639,0.033665,0.115189,0.000835,0.563446,0.006102,0.078941,0.000883,0.181208,0.000681,0.108377,0.000620,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,taxel_bias,0.561224,0.043333,0.145257,0.000797,0.552539,0.004425,0.093431,0.001402,0.190433,0.001071,0.114691,0.000594,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,texture_aliasing,0.515306,0.026805,0.151069,0.000855,0.554755,0.001253,0.098232,0.000789,0.190220,0.000629,0.113862,0.000633,7,84
domain_adversarial_transfer,heldout_geometry,cloth_edge_pull,transient_shear_spike,0.515306,0.033278,0.156944,0.000903,0.548836,0.004359,0.100453,0.002930,0.191100,0.000621,0.115837,0.002614,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,compound_contact_shift,0.534014,0.050000,0.174843,0.000989,0.498574,0.004308,0.103965,0.002912,0.196863,0.002401,0.119554,0.000726,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,low_friction,0.579932,0.054058,0.133694,0.000893,0.516753,0.001311,0.084335,0.001473,0.187352,0.001105,0.109420,0.002406,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,soft_compliance,0.591837,0.049814,0.138871,0.000922,0.519539,0.005997,0.088195,0.001472,0.189337,0.001118,0.109566,0.001902,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,source_matched,0.715986,0.044804,0.111617,0.000912,0.534187,0.004353,0.072822,0.001363,0.180547,0.001043,0.107043,0.000673,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,taxel_bias,0.547619,0.022194,0.144409,0.000874,0.514503,0.006055,0.092674,0.000556,0.193945,0.000467,0.115233,0.000647,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,texture_aliasing,0.561224,0.030307,0.146135,0.000931,0.515735,0.001368,0.092855,0.001002,0.189936,0.000794,0.111591,0.000686,7,84
domain_adversarial_transfer,heldout_geometry,lid_twist_force_control,transient_shear_spike,0.528912,0.042861,0.154608,0.000979,0.513713,0.004314,0.100162,0.001447,0.193130,0.001121,0.115355,0.002572,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,compound_contact_shift,0.523810,0.034157,0.176132,0.002854,0.501674,0.001498,0.107410,0.001345,0.194459,0.001140,0.119524,0.001950,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,low_friction,0.583333,0.027420,0.133824,0.000922,0.523260,0.005502,0.086551,0.001195,0.188503,0.000950,0.110879,0.002603,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,soft_compliance,0.581633,0.040552,0.134889,0.003635,0.519878,0.004330,0.086456,0.001389,0.185706,0.001107,0.110480,0.000627,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,source_matched,0.617347,0.042731,0.114724,0.000941,0.537440,0.005483,0.079871,0.001015,0.185519,0.000768,0.108265,0.000693,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,taxel_bias,0.593537,0.032773,0.150140,0.003668,0.519119,0.001325,0.092404,0.000644,0.192348,0.000764,0.112544,0.000594,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,texture_aliasing,0.547619,0.036004,0.147072,0.003952,0.523452,0.004325,0.092684,0.002513,0.189645,0.002277,0.114748,0.000618,7,84
domain_adversarial_transfer,heldout_geometry,peg_in_hole_contact_search,transient_shear_spike,0.540816,0.044638,0.156124,0.001008,0.519727,0.001484,0.097511,0.002703,0.195053,0.000689,0.115481,0.002556,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,compound_contact_shift,0.511905,0.068313,0.170785,0.000941,0.529342,0.001383,0.103705,0.002117,0.194543,0.001597,0.117261,0.000693,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,low_friction,0.603741,0.046027,0.130048,0.003708,0.545567,0.001239,0.085530,0.002880,0.187909,0.000999,0.110841,0.000554,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,soft_compliance,0.581633,0.039581,0.133901,0.000874,0.543794,0.004376,0.088081,0.000668,0.189625,0.003023,0.113506,0.000647,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,source_matched,0.653061,0.052529,0.109947,0.000864,0.555674,0.001267,0.076556,0.001734,0.182839,0.002365,0.106395,0.000640,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,taxel_bias,0.581633,0.023570,0.145649,0.002930,0.542926,0.001210,0.095072,0.000895,0.190715,0.000858,0.115444,0.000571,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,texture_aliasing,0.588435,0.036667,0.149871,0.000883,0.542758,0.001296,0.092763,0.003146,0.189637,0.000696,0.114665,0.000653,7,84
domain_adversarial_transfer,heldout_geometry,slip_limited_grasp,transient_shear_spike,0.559524,0.053886,0.153850,0.000931,0.536568,0.001368,0.096540,0.002109,0.189773,0.001293,0.115334,0.002598,7,84
domain_adversarial_transfer,heldout_material,cable_threading,compound_contact_shift,0.503401,0.047687,0.160672,0.000912,0.551588,0.001339,0.103911,0.001916,0.191114,0.001269,0.114487,0.002397,7,84
domain_adversarial_transfer,heldout_material,cable_threading,low_friction,0.535714,0.035277,0.122237,0.004068,0.564825,0.001195,0.084983,0.000857,0.184224,0.000700,0.106790,0.002489,7,84
domain_adversarial_transfer,heldout_material,cable_threading,soft_compliance,0.539116,0.041276,0.127979,0.000845,0.568579,0.001239,0.086112,0.001079,0.185650,0.002968,0.110809,0.000627,7,84
domain_adversarial_transfer,heldout_material,cable_threading,source_matched,0.586735,0.053090,0.106686,0.000835,0.568326,0.001224,0.076916,0.001295,0.179618,0.000956,0.105225,0.000620,7,84
domain_adversarial_transfer,heldout_material,cable_threading,taxel_bias,0.518707,0.044347,0.136800,0.000797,0.550781,0.001167,0.092656,0.001012,0.189874,0.000747,0.112019,0.000594,7,84
domain_adversarial_transfer,heldout_material,cable_threading,texture_aliasing,0.528912,0.034102,0.139762,0.002918,0.559095,0.006078,0.095049,0.001251,0.187931,0.001128,0.110408,0.000591,7,84
domain_adversarial_transfer,heldout_material,cable_threading,transient_shear_spike,0.520408,0.046865,0.146263,0.000903,0.554399,0.006020,0.098089,0.002245,0.188364,0.000885,0.115227,0.000666,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,compound_contact_shift,0.477891,0.029876,0.163483,0.000912,0.540409,0.006009,0.101377,0.001175,0.193660,0.000929,0.115074,0.000673,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,low_friction,0.556122,0.041589,0.119818,0.003728,0.561237,0.001195,0.085295,0.000936,0.184743,0.000677,0.106062,0.000535,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,soft_compliance,0.564626,0.025386,0.129529,0.000845,0.560656,0.005582,0.087053,0.000904,0.184150,0.000721,0.109385,0.002645,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,source_matched,0.607143,0.022771,0.102911,0.004052,0.565278,0.001224,0.077333,0.000630,0.180377,0.000735,0.106994,0.000532,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,taxel_bias,0.517007,0.036311,0.137450,0.000797,0.546653,0.001167,0.093588,0.000731,0.190551,0.000543,0.113406,0.000594,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,texture_aliasing,0.537415,0.047881,0.136347,0.004037,0.548869,0.004388,0.091466,0.002741,0.189144,0.001269,0.112425,0.000545,7,84
domain_adversarial_transfer,heldout_material,cloth_edge_pull,transient_shear_spike,0.488095,0.055076,0.148894,0.000903,0.542950,0.001325,0.094443,0.001778,0.190912,0.001353,0.109974,0.000666,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,compound_contact_shift,0.503401,0.057991,0.164967,0.002865,0.505459,0.001455,0.102432,0.001735,0.191074,0.001321,0.117130,0.001957,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,low_friction,0.659864,0.034480,0.122966,0.003675,0.526211,0.001311,0.081096,0.001027,0.185290,0.001028,0.105833,0.000587,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,soft_compliance,0.651361,0.022608,0.128062,0.003655,0.518706,0.001354,0.085458,0.000951,0.186499,0.002061,0.107121,0.000607,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,source_matched,0.656463,0.054705,0.104698,0.000912,0.528209,0.001339,0.073450,0.002000,0.180995,0.001535,0.105827,0.000673,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,taxel_bias,0.610544,0.032886,0.136815,0.000874,0.513670,0.001282,0.090174,0.000864,0.186472,0.002383,0.112858,0.001915,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,texture_aliasing,0.571429,0.040734,0.138487,0.000931,0.522620,0.004342,0.091667,0.001126,0.189129,0.000864,0.110358,0.000686,7,84
domain_adversarial_transfer,heldout_material,lid_twist_force_control,transient_shear_spike,0.579932,0.045175,0.146771,0.000979,0.507735,0.001440,0.095648,0.003144,0.191588,0.001129,0.110688,0.001888,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,compound_contact_shift,0.540816,0.030062,0.159496,0.002854,0.511088,0.001498,0.102866,0.002664,0.193555,0.000690,0.115830,0.002571,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,low_friction,0.593537,0.044804,0.121481,0.003983,0.527529,0.001354,0.084894,0.001283,0.186578,0.001916,0.106136,0.001916,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,soft_compliance,0.608844,0.033166,0.124181,0.000951,0.526720,0.001397,0.083393,0.001200,0.184618,0.000944,0.109204,0.000699,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,source_matched,0.678571,0.047765,0.101044,0.003967,0.533991,0.001383,0.074517,0.002135,0.179246,0.002564,0.105779,0.001911,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,taxel_bias,0.562925,0.037317,0.134070,0.000903,0.528533,0.001325,0.091394,0.001350,0.188871,0.002569,0.111149,0.000666,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,texture_aliasing,0.603741,0.032886,0.132663,0.000960,0.517430,0.001411,0.088529,0.000853,0.185750,0.000672,0.112247,0.001893,7,84
domain_adversarial_transfer,heldout_material,peg_in_hole_contact_search,transient_shear_spike,0.551020,0.033665,0.148387,0.001008,0.516278,0.005414,0.094027,0.001294,0.189698,0.002647,0.110840,0.001882,7,84
domain_adversarial_transfer,heldout_material,slip_limited_grasp,compound_contact_shift,0.527211,0.028674,0.162549,0.000941,0.538833,0.001383,0.102331,0.001361,0.193625,0.001079,0.115999,0.000693,7,84
domain_adversarial_transfer,heldout_material,slip_limited_grasp,low_friction,0.610544,0.037317,0.119245,0.000845,0.555058,0.001239,0.080681,0.000996,0.187145,0.000762,0.109522,0.000627,7,84
domain_adversarial_transfer,heldout_material,slip_limited_grasp,soft_compliance,0.605442,0.037908,0.126447,0.000874,0.550712,0.001282,0.086573,0.001117,0.182836,0.000860,0.109974,0.002415,7,84
domain_adversarial_transfer,heldout_material,slip_limited_grasp,source_matched,0.646259,0.028219,0.102953,0.000864,0.565165,0.001267,0.075859,0.000780,0.177746,0.000619,0.105160,0.000640,7,84
