method,split,seed,mean_success_rate,ci95_success_rate,mean_harmful_transfer_rate,ci95_harmful_transfer_rate,mean_tactile_event_f1,ci95_tactile_event_f1,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
domain_adversarial_transfer,heldout_object,3,0.593878,0.022017,0.120687,0.006449,0.546513,0.006006,0.084255,0.002878,0.183692,0.001410,0.107902,0.001369,35,84
domain_adversarial_transfer,heldout_object,4,0.590476,0.020024,0.119519,0.006424,0.546800,0.006315,0.084139,0.002746,0.183664,0.001286,0.107811,0.001520,35,84
domain_adversarial_transfer,heldout_object,5,0.593878,0.025250,0.119722,0.006395,0.547088,0.006202,0.084446,0.002922,0.183514,0.001622,0.107751,0.001495,35,84
domain_adversarial_transfer,heldout_object,6,0.587075,0.025841,0.119583,0.006289,0.546861,0.006021,0.084518,0.002768,0.183548,0.001640,0.107683,0.001548,35,84
ensemble_disagreement_filter,clean_transfer,0,0.626190,0.020676,0.081704,0.004475,0.563697,0.006432,0.065360,0.002828,0.248598,0.001603,0.080118,0.001323,35,84
ensemble_disagreement_filter,clean_transfer,1,0.633673,0.023685,0.081570,0.004357,0.564508,0.006418,0.065308,0.003003,0.248607,0.001613,0.080054,0.001391,35,84
ensemble_disagreement_filter,clean_transfer,2,0.638435,0.021177,0.082123,0.004362,0.564290,0.006271,0.065392,0.002905,0.248207,0.001447,0.080234,0.001498,35,84
ensemble_disagreement_filter,clean_transfer,3,0.608844,0.022025,0.081990,0.004398,0.564071,0.005928,0.065809,0.002681,0.248198,0.001383,0.079942,0.001442,35,84
ensemble_disagreement_filter,clean_transfer,4,0.614966,0.020110,0.081513,0.004343,0.564368,0.005917,0.065984,0.002639,0.248231,0.001446,0.080099,0.001481,35,84
ensemble_disagreement_filter,clean_transfer,5,0.639116,0.022632,0.081723,0.004254,0.564664,0.006238,0.065549,0.002532,0.247940,0.001308,0.080500,0.001484,35,84
ensemble_disagreement_filter,clean_transfer,6,0.620748,0.020340,0.081590,0.004307,0.564446,0.006673,0.064999,0.002636,0.248415,0.001374,0.080894,0.001484,35,84
ensemble_disagreement_filter,combined_stress,0,0.542177,0.023555,0.133544,0.005325,0.534621,0.006443,0.086231,0.002662,0.266323,0.001391,0.096735,0.001257,35,84
ensemble_disagreement_filter,combined_stress,1,0.565306,0.027796,0.132730,0.005536,0.534412,0.006155,0.085952,0.002883,0.266283,0.001551,0.096661,0.001204,35,84
ensemble_disagreement_filter,combined_stress,2,0.533333,0.022470,0.132946,0.005584,0.535232,0.006141,0.086010,0.002562,0.267235,0.001497,0.096837,0.001245,35,84
ensemble_disagreement_filter,combined_stress,3,0.542177,0.022441,0.132476,0.005564,0.535537,0.006340,0.085894,0.002544,0.266995,0.001586,0.096541,0.001231,35,84
ensemble_disagreement_filter,combined_stress,4,0.541156,0.022724,0.133034,0.005569,0.535328,0.006306,0.086356,0.002629,0.267161,0.001671,0.095811,0.001296,35,84
ensemble_disagreement_filter,combined_stress,5,0.539116,0.022055,0.133250,0.005766,0.535119,0.006191,0.086351,0.002683,0.267346,0.001575,0.095987,0.001270,35,84
ensemble_disagreement_filter,combined_stress,6,0.530612,0.021630,0.133466,0.005811,0.535425,0.006115,0.086508,0.002747,0.267418,0.001616,0.095935,0.001274,35,84
ensemble_disagreement_filter,heldout_geometry,0,0.574490,0.024859,0.113589,0.004953,0.546825,0.006400,0.077972,0.002801,0.259598,0.001776,0.089881,0.001339,35,84
ensemble_disagreement_filter,heldout_geometry,1,0.578571,0.023376,0.114154,0.004958,0.545596,0.006199,0.077853,0.002697,0.259219,0.001707,0.090069,0.001288,35,84
ensemble_disagreement_filter,heldout_geometry,2,0.585714,0.023447,0.114375,0.004878,0.546425,0.006184,0.077853,0.002560,0.259014,0.001614,0.089793,0.001470,35,84
ensemble_disagreement_filter,heldout_geometry,3,0.586054,0.022679,0.112882,0.004904,0.546740,0.006017,0.077165,0.002810,0.259159,0.001666,0.089249,0.001347,35,84
ensemble_disagreement_filter,heldout_geometry,4,0.571769,0.023616,0.113104,0.004889,0.546540,0.006353,0.077928,0.002805,0.259568,0.001600,0.089430,0.001227,35,84
ensemble_disagreement_filter,heldout_geometry,5,0.562245,0.020696,0.113668,0.004894,0.545825,0.006382,0.077921,0.002853,0.259892,0.001395,0.089618,0.001342,35,84
ensemble_disagreement_filter,heldout_geometry,6,0.561224,0.022559,0.113547,0.005166,0.546139,0.006266,0.078319,0.002871,0.260290,0.001419,0.090020,0.001350,35,84
ensemble_disagreement_filter,heldout_material,0,0.581293,0.021634,0.105176,0.005013,0.550406,0.006371,0.074618,0.002970,0.256882,0.001436,0.086663,0.001343,35,84
ensemble_disagreement_filter,heldout_material,1,0.591156,0.022021,0.105741,0.005019,0.550206,0.006357,0.074584,0.002862,0.257085,0.001438,0.086852,0.001222,35,84
ensemble_disagreement_filter,heldout_material,2,0.571429,0.021960,0.105276,0.005169,0.550520,0.006145,0.075187,0.002966,0.257591,0.001487,0.087246,0.001227,35,84
ensemble_disagreement_filter,heldout_material,3,0.587415,0.020978,0.104812,0.004841,0.550320,0.006396,0.074896,0.002709,0.257455,0.001437,0.087411,0.001336,35,84
ensemble_disagreement_filter,heldout_material,4,0.575850,0.018427,0.105377,0.004846,0.550120,0.006566,0.075169,0.002728,0.258044,0.001315,0.087600,0.001315,35,84
ensemble_disagreement_filter,heldout_material,5,0.591837,0.020992,0.105255,0.004862,0.549920,0.006287,0.074455,0.002906,0.256993,0.001283,0.088001,0.001318,35,84
ensemble_disagreement_filter,heldout_material,6,0.600680,0.022724,0.105134,0.004973,0.550749,0.006273,0.074149,0.003121,0.257215,0.001338,0.088403,0.001324,35,84
ensemble_disagreement_filter,heldout_object,0,0.601020,0.020591,0.095767,0.004576,0.556057,0.006411,0.071368,0.002803,0.253754,0.001609,0.084755,0.001277,35,84
ensemble_disagreement_filter,heldout_object,1,0.606463,0.021728,0.096319,0.004581,0.556354,0.006234,0.071206,0.002984,0.253800,0.001626,0.084707,0.001498,35,84
ensemble_disagreement_filter,heldout_object,2,0.579932,0.020684,0.096529,0.004565,0.556650,0.006250,0.071809,0.002710,0.253964,0.001380,0.084650,0.001461,35,84
ensemble_disagreement_filter,heldout_object,3,0.620408,0.017606,0.096739,0.004621,0.556432,0.005907,0.070966,0.002522,0.252693,0.001359,0.084594,0.001484,35,84
ensemble_disagreement_filter,heldout_object,4,0.601361,0.019542,0.095919,0.004473,0.556214,0.006233,0.071508,0.002632,0.253180,0.001297,0.084972,0.001487,35,84
ensemble_disagreement_filter,heldout_object,5,0.609184,0.025172,0.096129,0.004445,0.557025,0.006219,0.070338,0.002819,0.253411,0.001437,0.085374,0.001487,35,84
ensemble_disagreement_filter,heldout_object,6,0.601020,0.019914,0.095996,0.004500,0.556293,0.006818,0.070905,0.002618,0.253473,0.001296,0.085081,0.001232,35,84
frozen_pretrained_tactile,clean_transfer,0,0.623810,0.023396,0.150338,0.008988,0.508802,0.006636,0.101750,0.003219,0.124434,0.001569,0.140804,0.001282,35,84
frozen_pretrained_tactile,clean_transfer,1,0.603401,0.023872,0.150873,0.008993,0.509586,0.006621,0.102221,0.003023,0.124933,0.001713,0.140743,0.001264,35,84
frozen_pretrained_tactile,clean_transfer,2,0.611905,0.025618,0.150721,0.008863,0.509341,0.006518,0.101672,0.003164,0.125140,0.001650,0.140438,0.001261,35,84
frozen_pretrained_tactile,clean_transfer,3,0.618707,0.022646,0.150570,0.008933,0.509611,0.006643,0.101851,0.003199,0.124921,0.001792,0.140590,0.001291,35,84
frozen_pretrained_tactile,clean_transfer,4,0.622449,0.029196,0.150076,0.008919,0.509880,0.006581,0.101386,0.003313,0.124757,0.001882,0.140278,0.001282,35,84
frozen_pretrained_tactile,clean_transfer,5,0.627891,0.022764,0.149924,0.008890,0.510150,0.006426,0.101142,0.003156,0.124562,0.001652,0.140201,0.001344,35,84
frozen_pretrained_tactile,clean_transfer,6,0.629592,0.020799,0.149430,0.008991,0.510419,0.006314,0.101186,0.003128,0.124892,0.001570,0.140575,0.001346,35,84
frozen_pretrained_tactile,combined_stress,0,0.456463,0.035198,0.266283,0.009508,0.479439,0.005874,0.130072,0.003502,0.144218,0.002009,0.158017,0.001442,35,84
frozen_pretrained_tactile,combined_stress,1,0.469728,0.030406,0.266823,0.009513,0.479203,0.005928,0.129706,0.003489,0.143657,0.001673,0.157960,0.001333,35,84
frozen_pretrained_tactile,combined_stress,2,0.460204,0.031883,0.267021,0.009711,0.479996,0.005915,0.129875,0.003738,0.143964,0.001735,0.158353,0.001339,35,84
frozen_pretrained_tactile,combined_stress,3,0.466327,0.028816,0.267219,0.009793,0.479760,0.006228,0.129881,0.003632,0.143990,0.001656,0.158746,0.001344,35,84
frozen_pretrained_tactile,combined_stress,4,0.453741,0.030367,0.267073,0.009761,0.479524,0.006162,0.130550,0.003746,0.144352,0.001694,0.158445,0.001378,35,84
frozen_pretrained_tactile,combined_stress,5,0.466667,0.029309,0.267271,0.009681,0.479802,0.006281,0.130158,0.003859,0.144027,0.001584,0.157923,0.001310,35,84
frozen_pretrained_tactile,combined_stress,6,0.470748,0.029177,0.267469,0.009658,0.480081,0.006518,0.129986,0.003850,0.144089,0.001547,0.157858,0.001297,35,84
frozen_pretrained_tactile,heldout_geometry,0,0.517007,0.027280,0.223406,0.008810,0.491382,0.006413,0.119614,0.003623,0.137098,0.001694,0.151457,0.001028,35,84
frozen_pretrained_tactile,heldout_geometry,1,0.513265,0.035026,0.222924,0.009188,0.491670,0.006413,0.119574,0.003780,0.136847,0.001691,0.151382,0.001163,35,84
frozen_pretrained_tactile,heldout_geometry,2,0.514626,0.023433,0.222784,0.009346,0.492472,0.006397,0.119441,0.003659,0.136734,0.001446,0.151543,0.001297,35,84
frozen_pretrained_tactile,heldout_geometry,3,0.519388,0.027923,0.222988,0.009172,0.493274,0.006382,0.119486,0.003603,0.137017,0.001564,0.151711,0.001425,35,84
frozen_pretrained_tactile,heldout_geometry,4,0.520408,0.027385,0.222849,0.009041,0.493047,0.006236,0.119133,0.003523,0.136909,0.001552,0.152100,0.001426,35,84
frozen_pretrained_tactile,heldout_geometry,5,0.520068,0.026780,0.223052,0.009093,0.493849,0.006220,0.119535,0.003532,0.136827,0.001503,0.152040,0.001575,35,84
frozen_pretrained_tactile,heldout_geometry,6,0.520068,0.028065,0.223256,0.009182,0.492593,0.006079,0.119013,0.003362,0.136738,0.001521,0.152208,0.001495,35,84
frozen_pretrained_tactile,heldout_material,0,0.547959,0.030075,0.205037,0.009228,0.497290,0.006408,0.114780,0.003473,0.133379,0.001369,0.149283,0.001419,35,84
frozen_pretrained_tactile,heldout_material,1,0.528571,0.031161,0.204898,0.009251,0.495519,0.006247,0.115166,0.003387,0.134097,0.001459,0.149216,0.001566,35,84
frozen_pretrained_tactile,heldout_material,2,0.550680,0.029411,0.204759,0.009651,0.495806,0.006003,0.114057,0.003526,0.133381,0.001500,0.149605,0.001580,35,84
frozen_pretrained_tactile,heldout_material,3,0.558503,0.027348,0.204276,0.009732,0.496094,0.006313,0.113957,0.003321,0.133380,0.001420,0.149301,0.001604,35,84
frozen_pretrained_tactile,heldout_material,4,0.545918,0.028152,0.203794,0.009599,0.496896,0.006299,0.114596,0.003277,0.133518,0.001628,0.149454,0.001609,35,84
frozen_pretrained_tactile,heldout_material,5,0.550340,0.024464,0.203655,0.009497,0.496669,0.006036,0.114387,0.003233,0.133349,0.001724,0.148928,0.001643,35,84
frozen_pretrained_tactile,heldout_material,6,0.541497,0.023005,0.204201,0.009502,0.496442,0.006268,0.114806,0.003095,0.133648,0.001755,0.148876,0.001597,35,84
frozen_pretrained_tactile,heldout_object,0,0.568367,0.023574,0.183563,0.009225,0.501055,0.006615,0.110154,0.003071,0.130087,0.001631,0.145586,0.001266,35,84
frozen_pretrained_tactile,heldout_object,1,0.585714,0.029121,0.183412,0.009093,0.500810,0.006512,0.109384,0.003380,0.130135,0.001767,0.145509,0.001276,35,84
frozen_pretrained_tactile,heldout_object,2,0.580272,0.027062,0.183946,0.009097,0.501079,0.006636,0.109709,0.003265,0.130136,0.001850,0.145448,0.001293,35,84
frozen_pretrained_tactile,heldout_object,3,0.586735,0.030228,0.183109,0.009179,0.501349,0.006575,0.109371,0.003543,0.129923,0.001928,0.145586,0.001180,35,84
frozen_pretrained_tactile,heldout_object,4,0.570408,0.025603,0.182958,0.009139,0.502133,0.006560,0.109900,0.003262,0.130349,0.001747,0.145052,0.001349,35,84
frozen_pretrained_tactile,heldout_object,5,0.594218,0.029613,0.182463,0.009180,0.501888,0.006308,0.109162,0.003321,0.130052,0.001685,0.145426,0.001352,35,84
frozen_pretrained_tactile,heldout_object,6,0.585714,0.024959,0.182655,0.009223,0.502672,0.006294,0.109301,0.003310,0.130108,0.001506,0.145128,0.001454,35,84
full_finetune_pretrained,clean_transfer,0,0.644218,0.026210,0.121756,0.007156,0.543284,0.005874,0.088818,0.003087,0.148380,0.001725,0.123798,0.001466,35,84
full_finetune_pretrained,clean_transfer,1,0.650000,0.021027,0.122284,0.007160,0.543545,0.005745,0.088629,0.003171,0.148175,0.001612,0.123733,0.001528,35,84
full_finetune_pretrained,clean_transfer,2,0.663265,0.020215,0.122470,0.007089,0.543291,0.005843,0.088677,0.003083,0.147607,0.001671,0.123431,0.001544,35,84
full_finetune_pretrained,clean_transfer,3,0.641497,0.019992,0.122313,0.007156,0.543551,0.006063,0.089108,0.003248,0.147898,0.001586,0.123122,0.001461,35,84
full_finetune_pretrained,clean_transfer,4,0.665986,0.025756,0.121812,0.007278,0.541754,0.006401,0.088349,0.003485,0.147356,0.001637,0.123263,0.001412,35,84
full_finetune_pretrained,clean_transfer,5,0.644218,0.022490,0.120626,0.007208,0.540985,0.006470,0.088678,0.003052,0.148104,0.001588,0.123388,0.001446,35,84
full_finetune_pretrained,clean_transfer,6,0.645238,0.021704,0.120125,0.007113,0.541760,0.006457,0.088963,0.003081,0.148214,0.001595,0.123529,0.001338,35,84
full_finetune_pretrained,combined_stress,0,0.499660,0.030060,0.209941,0.007122,0.515369,0.006043,0.114209,0.003488,0.167254,0.001786,0.140815,0.001525,35,84
full_finetune_pretrained,combined_stress,1,0.518027,0.024675,0.209789,0.007303,0.515124,0.005869,0.113413,0.003146,0.167283,0.001714,0.141197,0.001529,35,84
full_finetune_pretrained,combined_stress,2,0.509184,0.021112,0.209981,0.007517,0.515393,0.006087,0.113789,0.003142,0.167346,0.001554,0.141128,0.001485,35,84
full_finetune_pretrained,combined_stress,3,0.517347,0.028366,0.209830,0.007780,0.515148,0.005868,0.113934,0.003283,0.167330,0.001691,0.140823,0.001299,35,84
full_finetune_pretrained,combined_stress,4,0.517007,0.025259,0.209335,0.008079,0.515418,0.005749,0.114029,0.003259,0.167240,0.001481,0.140968,0.001342,35,84
full_finetune_pretrained,combined_stress,5,0.502381,0.024590,0.209184,0.008052,0.515173,0.005937,0.114287,0.003283,0.167863,0.001503,0.140892,0.001386,35,84
full_finetune_pretrained,combined_stress,6,0.518367,0.026220,0.209032,0.007849,0.513898,0.006260,0.113779,0.003157,0.167707,0.001566,0.141044,0.001376,35,84
full_finetune_pretrained,heldout_geometry,0,0.546599,0.028575,0.175761,0.007397,0.526196,0.006416,0.105150,0.003275,0.160797,0.001626,0.134408,0.001391,35,84
full_finetune_pretrained,heldout_geometry,1,0.560204,0.031025,0.175959,0.007604,0.526989,0.006401,0.104741,0.003293,0.160231,0.001542,0.134344,0.001496,35,84
full_finetune_pretrained,heldout_geometry,2,0.554422,0.021924,0.175813,0.007881,0.526753,0.006378,0.104325,0.002927,0.160470,0.001485,0.134729,0.001504,35,84
full_finetune_pretrained,heldout_geometry,3,0.557143,0.035066,0.176011,0.007801,0.527032,0.006315,0.104645,0.003290,0.160329,0.001831,0.134436,0.001469,35,84
full_finetune_pretrained,heldout_geometry,4,0.571088,0.025515,0.175865,0.007697,0.527310,0.006301,0.104422,0.002988,0.159985,0.001635,0.134592,0.001371,35,84
full_finetune_pretrained,heldout_geometry,5,0.545918,0.024965,0.176063,0.007522,0.528103,0.006285,0.104982,0.003037,0.160573,0.001789,0.134299,0.001510,35,84
full_finetune_pretrained,heldout_geometry,6,0.561224,0.031278,0.176261,0.007515,0.527867,0.006368,0.104301,0.003094,0.159519,0.002049,0.134006,0.001494,35,84
full_finetune_pretrained,heldout_material,0,0.582313,0.021758,0.162610,0.007338,0.529792,0.005828,0.100607,0.002868,0.156881,0.001876,0.131779,0.001400,35,84
full_finetune_pretrained,heldout_material,1,0.584694,0.028630,0.161778,0.007421,0.529041,0.006045,0.100375,0.003013,0.156287,0.001918,0.131463,0.001477,35,84
full_finetune_pretrained,heldout_material,2,0.568367,0.026756,0.161290,0.007161,0.528291,0.006247,0.100646,0.002933,0.156946,0.001830,0.131384,0.001474,35,84
full_finetune_pretrained,heldout_material,3,0.573129,0.021584,0.160802,0.007250,0.527540,0.005878,0.100389,0.002798,0.156996,0.001715,0.131761,0.001476,35,84
full_finetune_pretrained,heldout_material,4,0.595238,0.019604,0.161342,0.007255,0.527304,0.005929,0.100030,0.002862,0.156276,0.001467,0.131476,0.001310,35,84
full_finetune_pretrained,heldout_material,5,0.585034,0.026408,0.161883,0.007260,0.528097,0.005916,0.100250,0.003207,0.156596,0.001570,0.131647,0.001301,35,84
full_finetune_pretrained,heldout_material,6,0.573810,0.030292,0.161738,0.007535,0.527861,0.006231,0.100427,0.003439,0.157162,0.001711,0.132032,0.001310,35,84
full_finetune_pretrained,heldout_object,0,0.621769,0.025811,0.146982,0.007389,0.535501,0.005852,0.095581,0.003048,0.153423,0.001675,0.128617,0.001487,35,84
full_finetune_pretrained,heldout_object,1,0.600340,0.024356,0.147168,0.007317,0.535247,0.005968,0.096267,0.003223,0.153937,0.001689,0.128544,0.001622,35,84
full_finetune_pretrained,heldout_object,2,0.628912,0.027333,0.147353,0.007408,0.535508,0.005822,0.095932,0.003316,0.152636,0.001734,0.128242,0.001536,35,84
full_finetune_pretrained,heldout_object,3,0.609524,0.023987,0.147196,0.007313,0.534739,0.006481,0.096304,0.003358,0.153112,0.001700,0.127933,0.001411,35,84
full_finetune_pretrained,heldout_object,4,0.607143,0.029869,0.146695,0.007587,0.533970,0.006382,0.096216,0.003428,0.153283,0.001683,0.128074,0.001452,35,84
full_finetune_pretrained,heldout_object,5,0.602041,0.028654,0.145509,0.007254,0.533202,0.006449,0.096128,0.003260,0.153731,0.001640,0.128200,0.001340,35,84
full_finetune_pretrained,heldout_object,6,0.605442,0.024070,0.144666,0.007284,0.533977,0.006436,0.096320,0.003111,0.153569,0.001496,0.128333,0.001282,35,84
no_tactile_policy,clean_transfer,0,0.393197,0.022177,0.081809,0.004811,0.312768,0.006330,0.097564,0.002924,0.086612,0.001514,0.112204,0.001190,35,84
no_tactile_policy,clean_transfer,1,0.396939,0.020978,0.081952,0.004652,0.313480,0.006316,0.097360,0.002846,0.086873,0.001576,0.112102,0.001356,35,84
no_tactile_policy,clean_transfer,2,0.393537,0.020313,0.082096,0.004486,0.313677,0.006291,0.097334,0.002559,0.086576,0.001486,0.112229,0.001312,35,84
no_tactile_policy,clean_transfer,3,0.405102,0.019428,0.080524,0.004417,0.314389,0.006277,0.097221,0.002663,0.086468,0.001535,0.112318,0.001310,35,84
no_tactile_policy,clean_transfer,4,0.403741,0.016716,0.081011,0.004421,0.314587,0.006402,0.097407,0.002489,0.086364,0.001404,0.112681,0.001313,35,84
no_tactile_policy,clean_transfer,5,0.405442,0.022330,0.081155,0.004506,0.314270,0.006881,0.097483,0.002660,0.086433,0.001477,0.112579,0.001438,35,84
no_tactile_policy,clean_transfer,6,0.402721,0.023557,0.081298,0.004329,0.313953,0.006819,0.097669,0.002600,0.086581,0.001458,0.112706,0.001404,35,84
no_tactile_policy,combined_stress,0,0.327891,0.016439,0.131989,0.004891,0.285724,0.006213,0.118018,0.002885,0.105361,0.001599,0.128087,0.001436,35,84
no_tactile_policy,combined_stress,1,0.328231,0.021986,0.131452,0.005072,0.285931,0.006238,0.118064,0.002813,0.105459,0.001657,0.128203,0.001350,35,84
no_tactile_policy,combined_stress,2,0.320068,0.018169,0.131602,0.004887,0.285623,0.006226,0.118391,0.002636,0.105481,0.001602,0.128105,0.001295,35,84
no_tactile_policy,combined_stress,3,0.331973,0.022753,0.131408,0.005057,0.284800,0.006192,0.117953,0.002858,0.104913,0.001667,0.128229,0.001261,35,84
no_tactile_policy,combined_stress,4,0.327551,0.023864,0.131215,0.005305,0.285521,0.006177,0.118152,0.002924,0.105096,0.001622,0.128352,0.001221,35,84
no_tactile_policy,combined_stress,5,0.331293,0.018262,0.131365,0.005501,0.286242,0.006162,0.117953,0.002816,0.104446,0.001386,0.128483,0.001123,35,84
no_tactile_policy,combined_stress,6,0.339456,0.017413,0.131857,0.005506,0.285420,0.006105,0.117906,0.002769,0.104175,0.001301,0.128164,0.001000,35,84
no_tactile_policy,heldout_geometry,0,0.359864,0.017194,0.111075,0.005089,0.295429,0.006365,0.110848,0.002868,0.097989,0.001265,0.122159,0.001304,35,84
no_tactile_policy,heldout_geometry,1,0.369728,0.024759,0.110887,0.005314,0.294615,0.006296,0.110008,0.003188,0.097233,0.001555,0.122057,0.001188,35,84
no_tactile_policy,heldout_geometry,2,0.381973,0.019937,0.111043,0.005229,0.295345,0.006282,0.109600,0.003176,0.096892,0.001413,0.122421,0.001191,35,84
no_tactile_policy,heldout_geometry,3,0.365646,0.018538,0.111199,0.005206,0.295561,0.006207,0.110136,0.003065,0.096836,0.001434,0.122328,0.001223,35,84
no_tactile_policy,heldout_geometry,4,0.368707,0.025299,0.110668,0.005051,0.296291,0.006194,0.109661,0.002932,0.096889,0.001576,0.122448,0.001275,35,84
no_tactile_policy,heldout_geometry,5,0.354082,0.020546,0.111167,0.005057,0.296506,0.006261,0.109959,0.002779,0.097488,0.001540,0.121905,0.001279,35,84
no_tactile_policy,heldout_geometry,6,0.369048,0.019251,0.111323,0.004967,0.296722,0.006131,0.109255,0.002935,0.097327,0.001468,0.121811,0.001411,35,84
no_tactile_policy,heldout_material,0,0.386735,0.021631,0.104037,0.004799,0.300337,0.006750,0.106576,0.002748,0.094357,0.001719,0.119561,0.001387,35,84
