method,split,seed,mean_success_rate,ci95_success_rate,mean_harmful_transfer_rate,ci95_harmful_transfer_rate,mean_tactile_event_f1,ci95_tactile_event_f1,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
domain_adversarial_transfer,clean_transfer,0,0.616667,0.021997,0.101183,0.005512,0.555384,0.006224,0.078720,0.003143,0.178861,0.001416,0.102441,0.001114,35,84
domain_adversarial_transfer,clean_transfer,1,0.617007,0.022545,0.101044,0.005801,0.555157,0.006600,0.078613,0.002870,0.178538,0.001357,0.102373,0.001228,35,84
domain_adversarial_transfer,clean_transfer,2,0.607483,0.019475,0.101591,0.005806,0.553901,0.006271,0.078592,0.002752,0.178620,0.001255,0.102778,0.001231,35,84
domain_adversarial_transfer,clean_transfer,3,0.627891,0.024488,0.101451,0.005830,0.554188,0.006027,0.078211,0.002847,0.178392,0.001440,0.102938,0.001355,35,84
domain_adversarial_transfer,clean_transfer,4,0.623129,0.021173,0.100626,0.006324,0.554476,0.006335,0.077706,0.002941,0.178389,0.001358,0.103084,0.001405,35,84
domain_adversarial_transfer,clean_transfer,5,0.609524,0.022612,0.100143,0.006194,0.555278,0.006322,0.078141,0.002776,0.178545,0.001411,0.103237,0.001520,35,84
domain_adversarial_transfer,clean_transfer,6,0.617007,0.023067,0.100004,0.006142,0.555051,0.006058,0.078084,0.002638,0.178322,0.001487,0.102941,0.001541,35,84
domain_adversarial_transfer,combined_stress,0,0.517007,0.023063,0.170769,0.006969,0.526212,0.006088,0.100799,0.003063,0.196826,0.001640,0.118491,0.001358,35,84
domain_adversarial_transfer,combined_stress,1,0.524830,0.032275,0.170979,0.006952,0.526509,0.006286,0.100772,0.003224,0.197057,0.001779,0.118435,0.001280,35,84
domain_adversarial_transfer,combined_stress,2,0.516327,0.025758,0.171189,0.007027,0.526291,0.006470,0.101382,0.003135,0.197354,0.001821,0.118836,0.001283,35,84
domain_adversarial_transfer,combined_stress,3,0.503401,0.026433,0.170712,0.006664,0.526073,0.006397,0.101577,0.003217,0.197731,0.001846,0.118765,0.001332,35,84
domain_adversarial_transfer,combined_stress,4,0.515986,0.029730,0.170922,0.006738,0.526884,0.006383,0.101431,0.003376,0.197419,0.001905,0.119166,0.001336,35,84
domain_adversarial_transfer,combined_stress,5,0.498299,0.028715,0.171132,0.006653,0.527695,0.006368,0.102042,0.003244,0.197881,0.001758,0.119110,0.001371,35,84
domain_adversarial_transfer,combined_stress,6,0.513605,0.023317,0.170998,0.006673,0.526962,0.006188,0.101565,0.003136,0.197521,0.001771,0.119046,0.001445,35,84
domain_adversarial_transfer,heldout_geometry,0,0.554422,0.025314,0.144053,0.006185,0.538330,0.006019,0.092384,0.003351,0.189742,0.001563,0.113051,0.001303,35,84
domain_adversarial_transfer,heldout_geometry,1,0.552381,0.026941,0.143583,0.006028,0.537606,0.006368,0.092082,0.003167,0.190155,0.001512,0.112983,0.001383,35,84
domain_adversarial_transfer,heldout_geometry,2,0.557483,0.024547,0.143455,0.006152,0.537912,0.006462,0.091636,0.003101,0.189982,0.001542,0.113152,0.001437,35,84
domain_adversarial_transfer,heldout_geometry,3,0.557823,0.022660,0.143671,0.005957,0.538217,0.006206,0.091801,0.003077,0.190124,0.001606,0.113557,0.001435,35,84
domain_adversarial_transfer,heldout_geometry,4,0.558503,0.026412,0.143887,0.005945,0.538008,0.006591,0.091957,0.003089,0.189802,0.001734,0.112819,0.001341,35,84
domain_adversarial_transfer,heldout_geometry,5,0.566667,0.028428,0.144102,0.005921,0.537799,0.006325,0.091927,0.003107,0.189346,0.001583,0.112996,0.001237,35,84
domain_adversarial_transfer,heldout_geometry,6,0.550680,0.020524,0.144318,0.005732,0.536046,0.006613,0.092728,0.002843,0.190010,0.001384,0.112944,0.001178,35,84
domain_adversarial_transfer,heldout_material,0,0.577211,0.023282,0.133660,0.005770,0.540113,0.006565,0.088548,0.002809,0.186625,0.001373,0.110820,0.001389,35,84
domain_adversarial_transfer,heldout_material,1,0.572789,0.024120,0.133876,0.005581,0.540419,0.006435,0.089061,0.002880,0.187081,0.001479,0.110311,0.001326,35,84
domain_adversarial_transfer,heldout_material,2,0.574490,0.025531,0.134092,0.005672,0.540724,0.006615,0.089421,0.002885,0.186969,0.001452,0.110258,0.001271,35,84
domain_adversarial_transfer,heldout_material,3,0.555442,0.021665,0.133964,0.005875,0.541030,0.006597,0.089807,0.002875,0.187231,0.001546,0.110656,0.001274,35,84
domain_adversarial_transfer,heldout_material,4,0.592177,0.023123,0.133151,0.006220,0.540821,0.006314,0.089188,0.002898,0.186718,0.001504,0.110581,0.001218,35,84
domain_adversarial_transfer,heldout_material,5,0.562245,0.026837,0.133024,0.006340,0.541126,0.006141,0.089389,0.002810,0.187633,0.001535,0.110750,0.001262,35,84
domain_adversarial_transfer,heldout_material,6,0.564966,0.020921,0.132896,0.006139,0.541431,0.006340,0.089460,0.002697,0.187503,0.001579,0.110004,0.001261,35,84
domain_adversarial_transfer,heldout_object,0,0.588776,0.016960,0.121105,0.005742,0.547194,0.006425,0.084908,0.002886,0.184279,0.001371,0.106963,0.001222,35,84
domain_adversarial_transfer,heldout_object,1,0.601361,0.023516,0.120966,0.006032,0.546453,0.006259,0.084723,0.002900,0.183506,0.001339,0.107352,0.001233,35,84
domain_adversarial_transfer,heldout_object,2,0.589796,0.016605,0.120827,0.006058,0.545711,0.006020,0.084685,0.002739,0.183854,0.001218,0.107513,0.001359,35,84
