method,baseline,proposed,paired_seeds,fixed_risk_utility_delta,fixed_risk_utility_delta_ci95,fixed_risk_utility_wins,accepted_delta,accepted_delta_ci95,accepted_wins,risk_breach_delta,risk_breach_delta_ci95,risk_breach_wins,risk_budget
conformal_tactile_risk_control,conformal_tactile_risk_control,action_critical_tactile_transfer_guard_v5,10,0.51874,0.030918,10,0.705,0.080945,10,-0.03625,0.045828,2,0.06
contrastive_tactile_pretraining,contrastive_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.575096,0.026232,10,0.895,0.056012,10,0.01625,0.019685,4,0.06
domain_adversarial_tactile_transfer,domain_adversarial_tactile_transfer,action_critical_tactile_transfer_guard_v5,10,0.57557,0.026448,10,0.88875,0.05435,10,0.01125,0.018783,4,0.06
ensemble_disagreement_filter,ensemble_disagreement_filter,action_critical_tactile_transfer_guard_v5,10,0.540203,0.029176,10,0.815,0.061743,10,0.00875,0.01715,4,0.06
frozen_tactile_pretraining,frozen_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.574163,0.026333,10,0.8975,0.054637,10,0.01875,0.017985,4,0.06
full_finetune_pretraining,full_finetune_pretraining,action_critical_tactile_transfer_guard_v5,10,0.574812,0.026333,10,0.8975,0.054637,10,0.01875,0.017985,4,0.06
invariant_risk_tactile_alignment,invariant_risk_tactile_alignment,action_critical_tactile_transfer_guard_v5,10,0.577071,0.028302,10,0.8575,0.058686,10,-0.015,0.030731,3,0.06
masked_autoencoder_tactile_pretraining,masked_autoencoder_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.574786,0.026334,10,0.8975,0.054637,10,0.01875,0.017985,4,0.06
no_tactile_policy,no_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.573813,0.026334,10,0.8975,0.054637,10,0.01875,0.017985,4,0.06
oracle_contact_shift_feature_selector,oracle_contact_shift_feature_selector,action_critical_tactile_transfer_guard_v5,10,-0.200165,0.02641,0,-0.1025,0.054637,0,0.01875,0.017985,4,0.06
