method,baseline,proposed,paired_seeds,fixed_risk_utility_delta,fixed_risk_utility_delta_ci95,fixed_risk_utility_wins,accepted_delta,accepted_delta_ci95,accepted_wins,risk_breach_delta,risk_breach_delta_ci95,risk_breach_wins,risk_budget
proposed_negative_transfer_guard_v4,proposed_negative_transfer_guard_v4,action_critical_tactile_transfer_guard_v5,10,0.497596,0.026458,10,0.70375,0.073595,10,-0.035,0.0466,2,0.06
scratch_tactile_policy,scratch_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.574854,0.026477,10,0.89625,0.053683,10,0.0175,0.016415,4,0.06
sensor_health_filter,sensor_health_filter,action_critical_tactile_transfer_guard_v5,10,0.52355,0.029489,10,0.7825,0.061353,10,0.00875,0.020996,3,0.06
test_time_tactile_adaptation,test_time_tactile_adaptation,action_critical_tactile_transfer_guard_v5,10,0.57571,0.026251,10,0.86,0.052267,10,-0.01125,0.025158,2,0.06
uncertainty_gated_transfer,uncertainty_gated_transfer,action_critical_tactile_transfer_guard_v5,10,0.57333,0.029061,10,0.84,0.060764,10,-0.0175,0.029491,2,0.06
conformal_tactile_risk_control,conformal_tactile_risk_control,action_critical_tactile_transfer_guard_v5,10,0.364608,0.016249,10,0.305,0.064117,10,-0.05625,0.037999,0,0.08
contrastive_tactile_pretraining,contrastive_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.583831,0.003073,10,0.87125,0.005229,10,-0.00625,0.004083,0,0.08
domain_adversarial_tactile_transfer,domain_adversarial_tactile_transfer,action_critical_tactile_transfer_guard_v5,10,0.588299,0.003232,10,0.8675,0.006533,10,-0.0075,0.006533,0,0.08
ensemble_disagreement_filter,ensemble_disagreement_filter,action_critical_tactile_transfer_guard_v5,10,0.506746,0.017275,10,0.62,0.069412,10,-0.05625,0.029502,0,0.08
frozen_tactile_pretraining,frozen_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.62324,0.01075,10,0.93,0.027622,10,-0.0125,0.011549,0,0.08
full_finetune_pretraining,full_finetune_pretraining,action_critical_tactile_transfer_guard_v5,10,0.591815,0.006212,10,0.885,0.013067,10,-0.00375,0.003742,0,0.08
invariant_risk_tactile_alignment,invariant_risk_tactile_alignment,action_critical_tactile_transfer_guard_v5,10,0.581877,0.00606,10,0.81125,0.037682,10,-0.03875,0.031301,0,0.08
masked_autoencoder_tactile_pretraining,masked_autoencoder_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.583682,0.001503,10,0.8725,0.0049,10,-0.00375,0.003742,0,0.08
no_tactile_policy,no_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.612359,0.005179,10,0.89,0.01405,10,0.0,0.0,0,0.08
oracle_contact_shift_feature_selector,oracle_contact_shift_feature_selector,action_critical_tactile_transfer_guard_v5,10,-0.120357,0.000623,0,0.0,0.0,0,0.0,0.0,0,0.08
proposed_negative_transfer_guard_v4,proposed_negative_transfer_guard_v4,action_critical_tactile_transfer_guard_v5,10,0.233254,0.026321,10,0.23125,0.067764,10,-0.03375,0.0234,0,0.08
scratch_tactile_policy,scratch_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.603639,0.002258,10,0.8725,0.006111,10,-0.005,0.005417,0,0.08
sensor_health_filter,sensor_health_filter,action_critical_tactile_transfer_guard_v5,10,0.406815,0.016592,10,0.40875,0.076527,10,-0.0575,0.03799,0,0.08
test_time_tactile_adaptation,test_time_tactile_adaptation,action_critical_tactile_transfer_guard_v5,10,0.567213,0.010433,10,0.75875,0.055875,10,-0.06,0.042246,0,0.08
uncertainty_gated_transfer,uncertainty_gated_transfer,action_critical_tactile_transfer_guard_v5,10,0.572171,0.010798,10,0.74125,0.058669,10,-0.055,0.035259,0,0.08
conformal_tactile_risk_control,conformal_tactile_risk_control,action_critical_tactile_transfer_guard_v5,10,0.20624,0.006794,10,0.0275,0.019937,6,-0.005,0.004001,0,0.1
contrastive_tactile_pretraining,contrastive_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.487456,0.009644,10,0.6275,0.052394,10,-0.05375,0.034271,0,0.1
domain_adversarial_tactile_transfer,domain_adversarial_tactile_transfer,action_critical_tactile_transfer_guard_v5,10,0.446308,0.011983,10,0.54125,0.043682,10,-0.035,0.019257,0,0.1
ensemble_disagreement_filter,ensemble_disagreement_filter,action_critical_tactile_transfer_guard_v5,10,0.276832,0.011632,10,0.17625,0.041554,10,-0.02,0.0147,0,0.1
frozen_tactile_pretraining,frozen_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.57778,0.003026,10,0.8375,0.021607,10,-0.01875,0.018352,0,0.1
full_finetune_pretraining,full_finetune_pretraining,action_critical_tactile_transfer_guard_v5,10,0.53093,0.010082,10,0.7,0.055268,10,-0.05375,0.034271,0,0.1
invariant_risk_tactile_alignment,invariant_risk_tactile_alignment,action_critical_tactile_transfer_guard_v5,10,0.399388,0.011227,10,0.4,0.059566,10,-0.065,0.045587,0,0.1
masked_autoencoder_tactile_pretraining,masked_autoencoder_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.496843,0.010073,10,0.64875,0.053108,10,-0.0475,0.031162,0,0.1
no_tactile_policy,no_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.584695,0.009801,10,0.72375,0.048239,10,-0.03875,0.031087,0,0.1
oracle_contact_shift_feature_selector,oracle_contact_shift_feature_selector,action_critical_tactile_transfer_guard_v5,10,-0.120357,0.000623,0,0.0,0.0,0,0.0,0.0,0,0.1
proposed_negative_transfer_guard_v4,proposed_negative_transfer_guard_v4,action_critical_tactile_transfer_guard_v5,10,0.08419,0.001958,10,0.00375,0.003742,3,0.0,0.0,0,0.1
scratch_tactile_policy,scratch_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.518686,0.005312,10,0.58625,0.042506,10,-0.03875,0.021123,0,0.1
sensor_health_filter,sensor_health_filter,action_critical_tactile_transfer_guard_v5,10,0.215176,0.008021,10,0.0625,0.028053,10,-0.01125,0.010617,0,0.1
test_time_tactile_adaptation,test_time_tactile_adaptation,action_critical_tactile_transfer_guard_v5,10,0.32166,0.018869,10,0.28875,0.067586,10,-0.0475,0.033032,0,0.1
uncertainty_gated_transfer,uncertainty_gated_transfer,action_critical_tactile_transfer_guard_v5,10,0.383115,0.013947,10,0.315,0.061419,10,-0.04875,0.033761,0,0.1
conformal_tactile_risk_control,conformal_tactile_risk_control,action_critical_tactile_transfer_guard_v5,10,0.191171,0.000683,10,0.0,0.0,0,0.0,0.0,0,0.12
contrastive_tactile_pretraining,contrastive_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.27855,0.013783,10,0.24,0.053278,10,-0.0325,0.022573,0,0.12
domain_adversarial_tactile_transfer,domain_adversarial_tactile_transfer,action_critical_tactile_transfer_guard_v5,10,0.255703,0.011958,10,0.17125,0.032677,10,-0.0075,0.006533,0,0.12
ensemble_disagreement_filter,ensemble_disagreement_filter,action_critical_tactile_transfer_guard_v5,10,0.192348,0.002412,10,0.0075,0.005417,5,-0.0025,0.003267,0,0.12
frozen_tactile_pretraining,frozen_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.443903,0.008572,10,0.5525,0.035372,10,-0.025,0.014609,0,0.12
full_finetune_pretraining,full_finetune_pretraining,action_critical_tactile_transfer_guard_v5,10,0.35105,0.011961,10,0.34625,0.051657,10,-0.0425,0.030161,0,0.12
invariant_risk_tactile_alignment,invariant_risk_tactile_alignment,action_critical_tactile_transfer_guard_v5,10,0.228011,0.004073,10,0.08875,0.025422,10,-0.02375,0.020805,0,0.12
masked_autoencoder_tactile_pretraining,masked_autoencoder_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.303995,0.016196,10,0.28125,0.053209,10,-0.03125,0.018712,0,0.12
no_tactile_policy,no_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.485666,0.013914,10,0.38,0.047507,10,-0.04375,0.035457,0,0.12
oracle_contact_shift_feature_selector,oracle_contact_shift_feature_selector,action_critical_tactile_transfer_guard_v5,10,-0.120357,0.000623,0,0.0,0.0,0,0.0,0.0,0,0.12
proposed_negative_transfer_guard_v4,proposed_negative_transfer_guard_v4,action_critical_tactile_transfer_guard_v5,10,0.082212,0.000395,10,0.0,0.0,0,0.0,0.0,0,0.12
scratch_tactile_policy,scratch_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.385613,0.007959,10,0.22,0.04848,10,-0.03,0.021974,0,0.12
sensor_health_filter,sensor_health_filter,action_critical_tactile_transfer_guard_v5,10,0.180318,0.00064,10,0.0,0.0,0,0.0,0.0,0,0.12
test_time_tactile_adaptation,test_time_tactile_adaptation,action_critical_tactile_transfer_guard_v5,10,0.178141,0.006818,10,0.04625,0.020351,9,-0.0075,0.008328,0,0.12
uncertainty_gated_transfer,uncertainty_gated_transfer,action_critical_tactile_transfer_guard_v5,10,0.257331,0.005879,10,0.05875,0.029,9,-0.01625,0.013194,0,0.12
