task,regime,split,method,seed,episodes,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score,stress_level
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,0,96,0.0,0.010697,0.62,0.853837,0.718416,0.637019,0.637019,0.03737,0.528827,0.040392,0.033349,0.036018,0.131894,0.055397,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,1,96,0.0,0.010697,0.62,0.853837,0.730889,0.651206,0.651206,0.038901,0.527189,0.036387,0.034886,0.035446,0.135281,0.054948,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,2,96,0.0,0.010697,0.62,0.853837,0.737251,0.670738,0.670738,0.025782,0.524465,0.029321,0.032848,0.032008,0.131203,0.046725,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,3,96,0.0,0.010697,0.62,0.853837,0.731188,0.652055,0.652055,0.035501,0.522343,0.037664,0.034839,0.03542,0.13573,0.054356,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,4,96,0.0,0.010697,0.62,0.853837,0.722931,0.64999,0.64999,0.034123,0.525299,0.032073,0.032815,0.033072,0.133743,0.05117,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,5,96,0.0,0.010697,0.62,0.853837,0.72864,0.649918,0.649918,0.036839,0.516655,0.036822,0.030423,0.037634,0.134667,0.054521,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,6,96,0.0,0.010697,0.62,0.853837,0.747824,0.669879,0.669879,0.037211,0.514995,0.036175,0.031903,0.034673,0.13598,0.054342,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,7,96,0.0,0.010697,0.62,0.853837,0.721591,0.6495,0.6495,0.028837,0.522688,0.033574,0.034656,0.032185,0.13622,0.050301,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,8,96,0.0,0.010697,0.62,0.853837,0.731902,0.658105,0.658105,0.034077,0.533327,0.033406,0.030379,0.033748,0.135497,0.052045,0.0
slip_limited_grasp,source_matched,combined_stress,frozen_tactile_pretraining,9,96,0.0,0.010697,0.62,0.853837,0.719856,0.647912,0.647912,0.030108,0.525483,0.033539,0.030133,0.03471,0.132,0.050212,0.0
