comparison,baseline,mean_success_diff,ci95_success_diff,paired_seed_wins,non_oracle,decisive
proposed_negative_transfer_guard_minus_domain_adversarial_transfer,domain_adversarial_transfer,0.135666,0.007256,7,1,1
proposed_negative_transfer_guard_minus_ensemble_disagreement_filter,ensemble_disagreement_filter,0.106463,0.008453,7,1,1
proposed_negative_transfer_guard_minus_frozen_pretrained_tactile,frozen_pretrained_tactile,0.185034,0.003390,7,1,1
proposed_negative_transfer_guard_minus_full_finetune_pretrained,full_finetune_pretrained,0.136735,0.003352,7,1,1
proposed_negative_transfer_guard_minus_no_tactile_policy,no_tactile_policy,0.318950,0.003622,7,1,1
proposed_negative_transfer_guard_minus_oracle_feature_selector,oracle_feature_selector,-0.095238,0.004614,0,0,0
proposed_negative_transfer_guard_minus_scratch_tactile_policy,scratch_tactile_policy,0.204227,0.007268,7,1,1
proposed_negative_transfer_guard_minus_uncertainty_gated_transfer,uncertainty_gated_transfer,0.131341,0.007863,7,1,1
