method,seed,n,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
action_critical_tactile_transfer_guard_v5,0,200,0.725,0.364395,0.70181,0.801008,0.747677,0.634711,0.634711,0.044907,0.799889,0.041376,0.171559,0.045838,0.081073,0.050168
action_critical_tactile_transfer_guard_v5,1,200,0.725,0.364395,0.70181,0.801008,0.747778,0.635653,0.635653,0.044176,0.800506,0.041014,0.171109,0.045468,0.080849,0.049705
action_critical_tactile_transfer_guard_v5,2,200,0.725,0.364395,0.70181,0.801008,0.746943,0.634683,0.634683,0.043833,0.800194,0.04116,0.171692,0.04556,0.081042,0.049687
action_critical_tactile_transfer_guard_v5,3,200,0.725,0.364395,0.70181,0.801008,0.747496,0.635303,0.635303,0.043684,0.799931,0.041185,0.171543,0.045603,0.081056,0.049653
action_critical_tactile_transfer_guard_v5,4,200,0.725,0.364395,0.70181,0.801008,0.747022,0.634227,0.634227,0.044378,0.800469,0.041638,0.171205,0.045727,0.080957,0.050056
action_critical_tactile_transfer_guard_v5,5,200,0.725,0.364395,0.70181,0.801008,0.746967,0.634672,0.634672,0.044412,0.800541,0.04116,0.171031,0.04555,0.080406,0.049769
action_critical_tactile_transfer_guard_v5,6,200,0.725,0.364395,0.70181,0.801008,0.74685,0.634396,0.634396,0.044336,0.800067,0.041239,0.171331,0.045561,0.080952,0.049872
action_critical_tactile_transfer_guard_v5,7,200,0.725,0.364395,0.70181,0.801008,0.746843,0.634645,0.634645,0.044091,0.800712,0.041096,0.171207,0.045478,0.081065,0.049747
action_critical_tactile_transfer_guard_v5,8,200,0.725,0.364395,0.70181,0.801008,0.747365,0.635158,0.635158,0.043715,0.799839,0.041294,0.171446,0.045427,0.081025,0.049682
action_critical_tactile_transfer_guard_v5,9,200,0.725,0.364395,0.70181,0.801008,0.746944,0.634454,0.634454,0.044267,0.800599,0.041238,0.171365,0.045557,0.081464,0.04994
conformal_tactile_risk_control,0,200,0.725,0.364395,0.70181,0.583329,0.610149,0.444536,0.444536,0.084476,0.59081,0.051606,0.258519,0.063146,0.102746,0.073141
conformal_tactile_risk_control,1,200,0.725,0.364395,0.70181,0.583329,0.609631,0.44388,0.44388,0.084655,0.591006,0.051473,0.25853,0.06344,0.103236,0.073269
conformal_tactile_risk_control,2,200,0.725,0.364395,0.70181,0.583329,0.610036,0.443852,0.443852,0.084892,0.591019,0.05185,0.258264,0.063787,0.103198,0.073521
conformal_tactile_risk_control,3,200,0.725,0.364395,0.70181,0.583329,0.609389,0.44346,0.44346,0.084916,0.590886,0.0516,0.258368,0.06352,0.103049,0.07338
conformal_tactile_risk_control,4,200,0.725,0.364395,0.70181,0.583329,0.609119,0.443125,0.443125,0.085195,0.591305,0.051556,0.258651,0.063338,0.102773,0.073391
conformal_tactile_risk_control,5,200,0.725,0.364395,0.70181,0.583329,0.609305,0.443535,0.443535,0.084483,0.590991,0.051702,0.258506,0.063439,0.102676,0.073197
conformal_tactile_risk_control,6,200,0.725,0.364395,0.70181,0.583329,0.610197,0.444891,0.444891,0.084298,0.591284,0.051246,0.258424,0.063183,0.103141,0.073019
conformal_tactile_risk_control,7,200,0.725,0.364395,0.70181,0.583329,0.610096,0.443978,0.443978,0.085008,0.591039,0.051741,0.258379,0.063649,0.103041,0.073477
conformal_tactile_risk_control,8,200,0.725,0.364395,0.70181,0.583329,0.609527,0.443754,0.443754,0.084479,0.590376,0.051742,0.258398,0.063376,0.102838,0.073233
conformal_tactile_risk_control,9,200,0.725,0.364395,0.70181,0.583329,0.610113,0.444004,0.444004,0.084502,0.590768,0.052046,0.258373,0.06359,0.10315,0.073434
contrastive_tactile_pretraining,0,200,0.725,0.364395,0.70181,0.801066,0.667077,0.487949,0.487949,0.121953,0.57798,0.07909,0.112242,0.071607,0.150954,0.105851
contrastive_tactile_pretraining,1,200,0.725,0.364395,0.70181,0.801066,0.667024,0.487931,0.487931,0.121768,0.577286,0.079116,0.112393,0.07164,0.15084,0.10578
