method,seed,n,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
contrastive_tactile_pretraining,2,200,0.725,0.364395,0.70181,0.801066,0.66669,0.487469,0.487469,0.121865,0.577736,0.079106,0.112213,0.071979,0.151019,0.105876
contrastive_tactile_pretraining,3,200,0.725,0.364395,0.70181,0.801066,0.66599,0.48678,0.48678,0.122128,0.577228,0.078948,0.112495,0.071806,0.150869,0.105861
contrastive_tactile_pretraining,4,200,0.725,0.364395,0.70181,0.801066,0.66656,0.487259,0.487259,0.122029,0.577524,0.079048,0.112402,0.071883,0.151343,0.105958
contrastive_tactile_pretraining,5,200,0.725,0.364395,0.70181,0.801066,0.667141,0.487896,0.487896,0.121763,0.578034,0.079303,0.112382,0.071677,0.150882,0.105861
contrastive_tactile_pretraining,6,200,0.725,0.364395,0.70181,0.801066,0.666714,0.487497,0.487497,0.121891,0.578297,0.079183,0.112675,0.071591,0.150614,0.105802
contrastive_tactile_pretraining,7,200,0.725,0.364395,0.70181,0.801066,0.665921,0.486856,0.486856,0.121582,0.578111,0.079044,0.112558,0.071897,0.150755,0.1057
contrastive_tactile_pretraining,8,200,0.725,0.364395,0.70181,0.801066,0.666206,0.487049,0.487049,0.121591,0.577709,0.079209,0.112493,0.071748,0.150985,0.105793
contrastive_tactile_pretraining,9,200,0.725,0.364395,0.70181,0.801066,0.666709,0.487422,0.487422,0.121701,0.577646,0.079337,0.112518,0.071737,0.150855,0.105854
domain_adversarial_tactile_transfer,0,200,0.725,0.364395,0.70181,0.722413,0.634029,0.455851,0.455851,0.113657,0.578562,0.076003,0.138503,0.070425,0.148201,0.101243
domain_adversarial_tactile_transfer,1,200,0.725,0.364395,0.70181,0.722413,0.633903,0.455506,0.455506,0.113243,0.579514,0.076531,0.138582,0.070247,0.148649,0.101366
domain_adversarial_tactile_transfer,2,200,0.725,0.364395,0.70181,0.722413,0.634278,0.455992,0.455992,0.113549,0.578961,0.076312,0.138213,0.070262,0.148565,0.101373
domain_adversarial_tactile_transfer,3,200,0.725,0.364395,0.70181,0.722413,0.633977,0.456026,0.456026,0.113225,0.579201,0.075946,0.138626,0.070362,0.148214,0.101071
domain_adversarial_tactile_transfer,4,200,0.725,0.364395,0.70181,0.722413,0.633411,0.455445,0.455445,0.112911,0.579539,0.076062,0.138724,0.070408,0.148508,0.101065
domain_adversarial_tactile_transfer,5,200,0.725,0.364395,0.70181,0.722413,0.634726,0.456823,0.456823,0.112885,0.578893,0.076,0.138532,0.070615,0.148261,0.101009
domain_adversarial_tactile_transfer,6,200,0.725,0.364395,0.70181,0.722413,0.634061,0.45576,0.45576,0.113504,0.578603,0.07631,0.13838,0.070291,0.148483,0.101345
domain_adversarial_tactile_transfer,7,200,0.725,0.364395,0.70181,0.722413,0.634612,0.456831,0.456831,0.112997,0.579254,0.075771,0.138555,0.07056,0.14833,0.100967
domain_adversarial_tactile_transfer,8,200,0.725,0.364395,0.70181,0.722413,0.634196,0.456041,0.456041,0.113203,0.579415,0.076281,0.138372,0.070328,0.148498,0.101238
domain_adversarial_tactile_transfer,9,200,0.725,0.364395,0.70181,0.722413,0.634586,0.456321,0.456321,0.113334,0.578527,0.076218,0.138664,0.070381,0.148629,0.101288
ensemble_disagreement_filter,0,200,0.725,0.364395,0.70181,0.634545,0.620515,0.44689,0.44689,0.094731,0.60029,0.063738,0.218308,0.066556,0.120872,0.084841
ensemble_disagreement_filter,1,200,0.725,0.364395,0.70181,0.634545,0.620634,0.446994,0.446994,0.094522,0.599333,0.064013,0.218147,0.06646,0.120637,0.084823
ensemble_disagreement_filter,2,200,0.725,0.364395,0.70181,0.634545,0.620023,0.446213,0.446213,0.094509,0.599841,0.064176,0.218223,0.066506,0.120828,0.08492
ensemble_disagreement_filter,3,200,0.725,0.364395,0.70181,0.634545,0.62048,0.447076,0.447076,0.094105,0.599252,0.064001,0.218094,0.066228,0.121017,0.084722
ensemble_disagreement_filter,4,200,0.725,0.364395,0.70181,0.634545,0.620538,0.44695,0.44695,0.094358,0.600169,0.064027,0.218165,0.066335,0.121031,0.084831
ensemble_disagreement_filter,5,200,0.725,0.364395,0.70181,0.634545,0.621819,0.448454,0.448454,0.094462,0.599012,0.063701,0.218152,0.066398,0.120649,0.08468
ensemble_disagreement_filter,6,200,0.725,0.364395,0.70181,0.634545,0.620879,0.447047,0.447047,0.094596,0.599744,0.064293,0.218212,0.066213,0.120771,0.084954
ensemble_disagreement_filter,7,200,0.725,0.364395,0.70181,0.634545,0.621541,0.448132,0.448132,0.094311,0.599567,0.063897,0.218281,0.066238,0.120566,0.084672
ensemble_disagreement_filter,8,200,0.725,0.364395,0.70181,0.634545,0.619858,0.4458,0.4458,0.095,0.600549,0.064187,0.218295,0.066388,0.121176,0.085141
ensemble_disagreement_filter,9,200,0.725,0.364395,0.70181,0.634545,0.620293,0.446609,0.446609,0.094702,0.599351,0.064105,0.218058,0.066131,0.120799,0.084915
frozen_tactile_pretraining,0,200,0.725,0.364395,0.70181,0.807906,0.629174,0.437704,0.437704,0.144448,0.479428,0.091281,0.060479,0.079247,0.168805,0.122109
frozen_tactile_pretraining,1,200,0.725,0.364395,0.70181,0.807906,0.629097,0.437832,0.437832,0.144183,0.478799,0.091306,0.06023,0.079024,0.168982,0.122038
frozen_tactile_pretraining,2,200,0.725,0.364395,0.70181,0.807906,0.628721,0.437163,0.437163,0.144587,0.478663,0.091296,0.060506,0.079223,0.168932,0.122182
frozen_tactile_pretraining,3,200,0.725,0.364395,0.70181,0.807906,0.628962,0.437479,0.437479,0.144253,0.478727,0.09168,0.060188,0.078803,0.168892,0.122166
frozen_tactile_pretraining,4,200,0.725,0.364395,0.70181,0.807906,0.62808,0.436332,0.436332,0.144727,0.479044,0.091593,0.060312,0.079167,0.168664,0.122289
frozen_tactile_pretraining,5,200,0.725,0.364395,0.70181,0.807906,0.62888,0.437293,0.437293,0.144303,0.479614,0.091511,0.060497,0.079243,0.168883,0.12216
frozen_tactile_pretraining,6,200,0.725,0.364395,0.70181,0.807906,0.628596,0.436376,0.436376,0.144898,0.479623,0.091948,0.060531,0.079428,0.168674,0.12251
frozen_tactile_pretraining,7,200,0.725,0.364395,0.70181,0.807906,0.628792,0.437442,0.437442,0.144217,0.478846,0.091443,0.060174,0.079002,0.168881,0.122081
frozen_tactile_pretraining,8,200,0.725,0.364395,0.70181,0.807906,0.628334,0.436975,0.436975,0.144118,0.479044,0.091278,0.060541,0.079156,0.169259,0.122068
frozen_tactile_pretraining,9,200,0.725,0.364395,0.70181,0.807906,0.629014,0.437468,0.437468,0.144531,0.48003,0.091432,0.060268,0.079143,0.168857,0.122193
full_finetune_pretraining,0,200,0.725,0.364395,0.70181,0.766433,0.649673,0.464509,0.464509,0.126576,0.54283,0.08305,0.110492,0.073663,0.15723,0.110263
full_finetune_pretraining,1,200,0.725,0.364395,0.70181,0.766433,0.649257,0.463596,0.463596,0.126838,0.543133,0.083417,0.110775,0.073747,0.157376,0.110526
full_finetune_pretraining,2,200,0.725,0.364395,0.70181,0.766433,0.649078,0.46384,0.46384,0.126629,0.543195,0.082969,0.110916,0.073734,0.157178,0.110247
full_finetune_pretraining,3,200,0.725,0.364395,0.70181,0.766433,0.650023,0.465007,0.465007,0.126726,0.542804,0.082631,0.110844,0.073785,0.157049,0.110134
full_finetune_pretraining,4,200,0.725,0.364395,0.70181,0.766433,0.649681,0.464485,0.464485,0.126717,0.543555,0.08281,0.110744,0.073904,0.157341,0.110263
full_finetune_pretraining,5,200,0.725,0.364395,0.70181,0.766433,0.649177,0.464038,0.464038,0.126879,0.543447,0.082727,0.110844,0.07371,0.157108,0.110226
full_finetune_pretraining,6,200,0.725,0.364395,0.70181,0.766433,0.649311,0.463863,0.463863,0.126694,0.542544,0.083309,0.110694,0.073716,0.157047,0.110373
full_finetune_pretraining,7,200,0.725,0.364395,0.70181,0.766433,0.649794,0.463985,0.463985,0.127086,0.543472,0.083301,0.110956,0.074023,0.157335,0.110586
full_finetune_pretraining,8,200,0.725,0.364395,0.70181,0.766433,0.650437,0.465019,0.465019,0.127101,0.543603,0.082896,0.110572,0.074055,0.157125,0.110403
full_finetune_pretraining,9,200,0.725,0.364395,0.70181,0.766433,0.649276,0.46411,0.46411,0.127003,0.543552,0.082712,0.110537,0.07381,0.157252,0.110298
invariant_risk_tactile_alignment,0,200,0.725,0.364395,0.70181,0.693915,0.630592,0.459723,0.459723,0.106419,0.586853,0.069854,0.148449,0.068107,0.140291,0.09479
invariant_risk_tactile_alignment,1,200,0.725,0.364395,0.70181,0.693915,0.630334,0.459546,0.459546,0.105591,0.586206,0.070218,0.148594,0.068233,0.139882,0.094586
invariant_risk_tactile_alignment,2,200,0.725,0.364395,0.70181,0.693915,0.630966,0.459475,0.459475,0.106831,0.585773,0.070425,0.148601,0.068138,0.140052,0.095107
invariant_risk_tactile_alignment,3,200,0.725,0.364395,0.70181,0.693915,0.63109,0.460198,0.460198,0.105905,0.585729,0.070297,0.148544,0.067886,0.140094,0.094726
invariant_risk_tactile_alignment,4,200,0.725,0.364395,0.70181,0.693915,0.630062,0.458514,0.458514,0.106598,0.585923,0.070583,0.148624,0.068297,0.139956,0.095087
invariant_risk_tactile_alignment,5,200,0.725,0.364395,0.70181,0.693915,0.63134,0.460296,0.460296,0.106283,0.586502,0.070073,0.148549,0.068324,0.140156,0.094824
invariant_risk_tactile_alignment,6,200,0.725,0.364395,0.70181,0.693915,0.630672,0.459189,0.459189,0.106792,0.586192,0.070442,0.148501,0.068179,0.140091,0.095112
invariant_risk_tactile_alignment,7,200,0.725,0.364395,0.70181,0.693915,0.630932,0.459739,0.459739,0.106286,0.58645,0.070284,0.148811,0.068221,0.139878,0.094845
invariant_risk_tactile_alignment,8,200,0.725,0.364395,0.70181,0.693915,0.630296,0.459466,0.459466,0.105774,0.585538,0.070219,0.148475,0.068125,0.140043,0.094667
invariant_risk_tactile_alignment,9,200,0.725,0.364395,0.70181,0.693915,0.63132,0.460224,0.460224,0.106056,0.586386,0.070222,0.148592,0.068444,0.14012,0.094809
masked_autoencoder_tactile_pretraining,0,200,0.725,0.364395,0.70181,0.785388,0.657947,0.47732,0.47732,0.123279,0.566527,0.080545,0.108864,0.072421,0.153524,0.107399
masked_autoencoder_tactile_pretraining,1,200,0.725,0.364395,0.70181,0.785388,0.65881,0.477974,0.477974,0.123782,0.566931,0.08043,0.108897,0.072641,0.15345,0.107534
masked_autoencoder_tactile_pretraining,2,200,0.725,0.364395,0.70181,0.785388,0.65904,0.478537,0.478537,0.123193,0.566451,0.080589,0.108759,0.072297,0.153066,0.107291
masked_autoencoder_tactile_pretraining,3,200,0.725,0.364395,0.70181,0.785388,0.658495,0.477784,0.477784,0.123703,0.5667,0.080369,0.108743,0.072675,0.153265,0.107454
masked_autoencoder_tactile_pretraining,4,200,0.725,0.364395,0.70181,0.785388,0.658607,0.477648,0.477648,0.124029,0.566805,0.080574,0.109,0.072374,0.153179,0.107598
masked_autoencoder_tactile_pretraining,5,200,0.725,0.364395,0.70181,0.785388,0.658405,0.477464,0.477464,0.123461,0.567154,0.080885,0.108824,0.072436,0.153404,0.107569
masked_autoencoder_tactile_pretraining,6,200,0.725,0.364395,0.70181,0.785388,0.657729,0.47723,0.47723,0.123601,0.567245,0.080372,0.108596,0.07235,0.152995,0.10734
masked_autoencoder_tactile_pretraining,7,200,0.725,0.364395,0.70181,0.785388,0.658378,0.477529,0.477529,0.123599,0.567158,0.080576,0.10891,0.072679,0.153214,0.107489
masked_autoencoder_tactile_pretraining,8,200,0.725,0.364395,0.70181,0.785388,0.657671,0.476986,0.476986,0.123375,0.566624,0.080543,0.108819,0.072643,0.153153,0.107386
masked_autoencoder_tactile_pretraining,9,200,0.725,0.364395,0.70181,0.785388,0.658356,0.477998,0.477998,0.123206,0.566248,0.080268,0.108865,0.072539,0.152955,0.107178
no_tactile_policy,0,200,0.725,0.364395,0.70181,0.132629,0.440544,0.269094,0.269094,0.124062,0.251061,0.086927,0.033353,0.075576,0.164788,0.112433
no_tactile_policy,1,200,0.725,0.364395,0.70181,0.132629,0.442331,0.271029,0.271029,0.123852,0.251752,0.086911,0.033509,0.075474,0.16442,0.112279
no_tactile_policy,2,200,0.725,0.364395,0.70181,0.132629,0.441361,0.270172,0.270172,0.123815,0.25159,0.086891,0.033583,0.075238,0.164238,0.112203
no_tactile_policy,3,200,0.725,0.364395,0.70181,0.132629,0.441997,0.271044,0.271044,0.123925,0.251453,0.086544,0.033186,0.075366,0.164386,0.112147
no_tactile_policy,4,200,0.725,0.364395,0.70181,0.132629,0.441912,0.271071,0.271071,0.12411,0.251096,0.086254,0.03327,0.075399,0.1643,0.112088
no_tactile_policy,5,200,0.725,0.364395,0.70181,0.132629,0.441819,0.270597,0.270597,0.123863,0.251759,0.086871,0.03328,0.075499,0.164311,0.11225
no_tactile_policy,6,200,0.725,0.364395,0.70181,0.132629,0.441874,0.270876,0.270876,0.124015,0.251882,0.086545,0.033289,0.075333,0.164307,0.112161
no_tactile_policy,7,200,0.725,0.364395,0.70181,0.132629,0.442034,0.270935,0.270935,0.124129,0.251292,0.086449,0.033268,0.075701,0.164382,0.112213
no_tactile_policy,8,200,0.725,0.364395,0.70181,0.132629,0.442073,0.270791,0.270791,0.124327,0.251336,0.086584,0.033345,0.07563,0.164385,0.112325
no_tactile_policy,9,200,0.725,0.364395,0.70181,0.132629,0.442262,0.271164,0.271164,0.123975,0.251502,0.086665,0.033224,0.075412,0.164464,0.112229
oracle_contact_shift_feature_selector,0,200,0.725,0.364395,0.70181,0.872635,0.833766,0.754302,0.754302,0.025298,0.91634,0.032464,0.113464,0.036444,0.061939,0.035731
oracle_contact_shift_feature_selector,1,200,0.725,0.364395,0.70181,0.872635,0.834087,0.754495,0.754495,0.025288,0.917394,0.032604,0.113582,0.036529,0.061739,0.035753
oracle_contact_shift_feature_selector,2,200,0.725,0.364395,0.70181,0.872635,0.834871,0.755301,0.755301,0.025112,0.91689,0.032599,0.113514,0.036659,0.062013,0.035754
oracle_contact_shift_feature_selector,3,200,0.725,0.364395,0.70181,0.872635,0.834177,0.754996,0.754996,0.025132,0.917867,0.032025,0.113557,0.036622,0.062264,0.035584
oracle_contact_shift_feature_selector,4,200,0.725,0.364395,0.70181,0.872635,0.834083,0.754562,0.754562,0.025193,0.916897,0.032537,0.113472,0.036587,0.061957,0.03574
oracle_contact_shift_feature_selector,5,200,0.725,0.364395,0.70181,0.872635,0.834542,0.755169,0.755169,0.025473,0.917763,0.03209,0.113645,0.036583,0.062124,0.035696
oracle_contact_shift_feature_selector,6,200,0.725,0.364395,0.70181,0.872635,0.834673,0.755516,0.755516,0.025,0.917207,0.032291,0.113502,0.036235,0.062055,0.035564
oracle_contact_shift_feature_selector,7,200,0.725,0.364395,0.70181,0.872635,0.834848,0.755604,0.755604,0.025121,0.917744,0.032227,0.113517,0.036532,0.061901,0.035583
oracle_contact_shift_feature_selector,8,200,0.725,0.364395,0.70181,0.872635,0.834299,0.754987,0.754987,0.025206,0.917085,0.032268,0.113689,0.036494,0.061678,0.035583
oracle_contact_shift_feature_selector,9,200,0.725,0.364395,0.70181,0.872635,0.834311,0.755054,0.755054,0.024834,0.917291,0.032397,0.113525,0.036634,0.061747,0.035532
proposed_negative_transfer_guard_v4,0,200,0.725,0.364395,0.70181,0.733779,0.700199,0.553236,0.553236,0.072914,0.695783,0.054489,0.194256,0.056924,0.10732,0.070507
proposed_negative_transfer_guard_v4,1,200,0.725,0.364395,0.70181,0.733779,0.700421,0.553255,0.553255,0.073551,0.696158,0.054511,0.19395,0.056874,0.107178,0.070701
proposed_negative_transfer_guard_v4,2,200,0.725,0.364395,0.70181,0.733779,0.699997,0.552596,0.552596,0.073504,0.695811,0.054742,0.194211,0.056916,0.10729,0.070797
proposed_negative_transfer_guard_v4,3,200,0.725,0.364395,0.70181,0.733779,0.700804,0.553733,0.553733,0.073546,0.696082,0.05431,0.194333,0.056757,0.107259,0.070626
proposed_negative_transfer_guard_v4,4,200,0.725,0.364395,0.70181,0.733779,0.699941,0.552724,0.552724,0.073659,0.696603,0.054356,0.194159,0.057057,0.107279,0.070715
proposed_negative_transfer_guard_v4,5,200,0.725,0.364395,0.70181,0.733779,0.70057,0.552788,0.552788,0.074186,0.696007,0.054886,0.194103,0.056946,0.107138,0.071059
proposed_negative_transfer_guard_v4,6,200,0.725,0.364395,0.70181,0.733779,0.699959,0.55289,0.55289,0.073427,0.696557,0.054393,0.194203,0.056862,0.107132,0.070604
proposed_negative_transfer_guard_v4,7,200,0.725,0.364395,0.70181,0.733779,0.700655,0.553186,0.553186,0.073694,0.696785,0.054871,0.194101,0.056846,0.106744,0.070806
proposed_negative_transfer_guard_v4,8,200,0.725,0.364395,0.70181,0.733779,0.700921,0.553456,0.553456,0.073601,0.697067,0.054713,0.194273,0.056953,0.107427,0.070848
proposed_negative_transfer_guard_v4,9,200,0.725,0.364395,0.70181,0.733779,0.700013,0.552879,0.552879,0.073683,0.695895,0.054466,0.193928,0.056813,0.106894,0.070671
scratch_tactile_policy,0,200,0.725,0.364395,0.70181,0.359591,0.506606,0.334696,0.334696,0.115775,0.422698,0.079445,0.08953,0.071542,0.153602,0.104355
scratch_tactile_policy,1,200,0.725,0.364395,0.70181,0.359591,0.507071,0.335349,0.335349,0.115951,0.422731,0.0793,0.089519,0.070966,0.153826,0.104342
scratch_tactile_policy,2,200,0.725,0.364395,0.70181,0.359591,0.508343,0.336078,0.336078,0.116173,0.423768,0.07969,0.089789,0.071531,0.1531,0.104492
scratch_tactile_policy,3,200,0.725,0.364395,0.70181,0.359591,0.506971,0.334916,0.334916,0.116408,0.423493,0.079365,0.089313,0.071506,0.153422,0.104504
scratch_tactile_policy,4,200,0.725,0.364395,0.70181,0.359591,0.507268,0.335318,0.335318,0.115863,0.422606,0.079645,0.089687,0.071188,0.153022,0.104321
scratch_tactile_policy,5,200,0.725,0.364395,0.70181,0.359591,0.507741,0.335669,0.335669,0.116202,0.423749,0.079421,0.089687,0.071381,0.153643,0.104482
scratch_tactile_policy,6,200,0.725,0.364395,0.70181,0.359591,0.507022,0.334998,0.334998,0.116171,0.423517,0.07933,0.089715,0.071497,0.153551,0.104432
scratch_tactile_policy,7,200,0.725,0.364395,0.70181,0.359591,0.507644,0.336323,0.336323,0.11517,0.423042,0.079158,0.08949,0.071284,0.153498,0.103996
scratch_tactile_policy,8,200,0.725,0.364395,0.70181,0.359591,0.507025,0.335184,0.335184,0.115712,0.422884,0.07939,0.089521,0.071615,0.153427,0.104288
scratch_tactile_policy,9,200,0.725,0.364395,0.70181,0.359591,0.507938,0.33651,0.33651,0.115496,0.42359,0.079218,0.089396,0.071108,0.153426,0.104099
sensor_health_filter,0,200,0.725,0.364395,0.70181,0.601587,0.612999,0.457119,0.457119,0.082182,0.63024,0.058888,0.19226,0.062027,0.10979,0.076284
sensor_health_filter,1,200,0.725,0.364395,0.70181,0.601587,0.612709,0.456455,0.456455,0.0829,0.630159,0.059081,0.191877,0.062141,0.109417,0.076546
sensor_health_filter,2,200,0.725,0.364395,0.70181,0.601587,0.612188,0.455805,0.455805,0.082633,0.630773,0.059442,0.191934,0.061966,0.109637,0.076615
sensor_health_filter,3,200,0.725,0.364395,0.70181,0.601587,0.612051,0.456063,0.456063,0.082329,0.630636,0.059032,0.191799,0.062182,0.109687,0.076386
sensor_health_filter,4,200,0.725,0.364395,0.70181,0.601587,0.611968,0.455745,0.455745,0.082356,0.630988,0.059308,0.191879,0.062233,0.109552,0.076481
sensor_health_filter,5,200,0.725,0.364395,0.70181,0.601587,0.612505,0.456475,0.456475,0.082176,0.631038,0.059147,0.191802,0.062266,0.109671,0.076383
sensor_health_filter,6,200,0.725,0.364395,0.70181,0.601587,0.611814,0.455614,0.455614,0.082869,0.63014,0.059104,0.191645,0.062103,0.109477,0.076551
sensor_health_filter,7,200,0.725,0.364395,0.70181,0.601587,0.612694,0.456323,0.456323,0.082481,0.630004,0.059394,0.191937,0.06217,0.109855,0.076604
sensor_health_filter,8,200,0.725,0.364395,0.70181,0.601587,0.611988,0.455527,0.455527,0.082745,0.630061,0.05942,0.1918,0.062136,0.109795,0.07669
sensor_health_filter,9,200,0.725,0.364395,0.70181,0.601587,0.611888,0.455374,0.455374,0.082686,0.630274,0.059495,0.191916,0.062146,0.109749,0.076691
test_time_tactile_adaptation,0,200,0.725,0.364395,0.70181,0.72527,0.654897,0.482533,0.482533,0.098861,0.63008,0.069469,0.178167,0.065896,0.134879,0.090879
test_time_tactile_adaptation,1,200,0.725,0.364395,0.70181,0.72527,0.654657,0.4822,0.4822,0.098394,0.629412,0.070032,0.177874,0.065736,0.134902,0.090922
test_time_tactile_adaptation,2,200,0.725,0.364395,0.70181,0.72527,0.655036,0.482974,0.482974,0.098055,0.629195,0.06981,0.177665,0.065596,0.135007,0.090727
test_time_tactile_adaptation,3,200,0.725,0.364395,0.70181,0.72527,0.655207,0.483171,0.483171,0.098153,0.629857,0.069673,0.177921,0.065612,0.134756,0.090665
test_time_tactile_adaptation,4,200,0.725,0.364395,0.70181,0.72527,0.654989,0.483076,0.483076,0.098148,0.629324,0.069492,0.177834,0.065664,0.134887,0.090624
test_time_tactile_adaptation,5,200,0.725,0.364395,0.70181,0.72527,0.655509,0.483173,0.483173,0.098211,0.630064,0.069756,0.178193,0.066005,0.134982,0.090796
test_time_tactile_adaptation,6,200,0.725,0.364395,0.70181,0.72527,0.655127,0.483102,0.483102,0.098465,0.629234,0.069372,0.177774,0.066002,0.134577,0.090664
test_time_tactile_adaptation,7,200,0.725,0.364395,0.70181,0.72527,0.654808,0.482662,0.482662,0.098033,0.629315,0.069812,0.177849,0.065871,0.134704,0.090694
test_time_tactile_adaptation,8,200,0.725,0.364395,0.70181,0.72527,0.655239,0.48318,0.48318,0.098363,0.629748,0.069512,0.178054,0.065691,0.13469,0.090671
test_time_tactile_adaptation,9,200,0.725,0.364395,0.70181,0.72527,0.655034,0.48293,0.48293,0.09799,0.629918,0.06979,0.178197,0.065562,0.134837,0.090664
uncertainty_gated_transfer,0,200,0.725,0.364395,0.70181,0.604635,0.598379,0.411865,0.411865,0.102894,0.564818,0.067654,0.23761,0.070092,0.128706,0.090869
uncertainty_gated_transfer,1,200,0.725,0.364395,0.70181,0.604635,0.598694,0.411689,0.411689,0.103003,0.564049,0.068402,0.237251,0.070008,0.128652,0.091172
uncertainty_gated_transfer,2,200,0.725,0.364395,0.70181,0.604635,0.597797,0.411619,0.411619,0.102741,0.563947,0.067501,0.237372,0.069784,0.128676,0.090723
uncertainty_gated_transfer,3,200,0.725,0.364395,0.70181,0.604635,0.598515,0.411704,0.411704,0.102973,0.564071,0.068138,0.237114,0.07018,0.128568,0.091064
uncertainty_gated_transfer,4,200,0.725,0.364395,0.70181,0.604635,0.598544,0.411657,0.411657,0.10336,0.563781,0.068026,0.237193,0.070071,0.128589,0.091145
uncertainty_gated_transfer,5,200,0.725,0.364395,0.70181,0.604635,0.598847,0.412144,0.412144,0.103096,0.564911,0.067857,0.237628,0.070079,0.128264,0.090934
uncertainty_gated_transfer,6,200,0.725,0.364395,0.70181,0.604635,0.599017,0.412418,0.412418,0.102709,0.564834,0.067892,0.237646,0.070067,0.128629,0.09088
uncertainty_gated_transfer,7,200,0.725,0.364395,0.70181,0.604635,0.598285,0.411381,0.411381,0.103321,0.564365,0.068027,0.237392,0.070093,0.128445,0.091109
uncertainty_gated_transfer,8,200,0.725,0.364395,0.70181,0.604635,0.59792,0.411398,0.411398,0.102581,0.564489,0.068064,0.237277,0.069849,0.128667,0.090887
