method,split,n,stress,mismatch,action_criticality,clean_retention,success,success_ci95,utility,utility_ci95,deploy_utility,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
action_critical_tactile_transfer_guard_v5,clean_transfer,800,0.06,0.121263,0.54851,0.827777,0.7838,0.000481,0.70464,0.000508,0.70464,0.024451,0.00041,0.817058,0.0005,0.032719,0.000276,0.107776,0.000165,0.035685,0.000196,0.073456,0.037537
action_critical_tactile_transfer_guard_v5,combined_stress,800,0.88,0.362293,0.75471,0.795838,0.733513,0.000786,0.618172,0.00062,0.618172,0.042972,0.000813,0.800856,0.000763,0.041595,0.000407,0.185079,0.000224,0.045826,0.000333,0.082015,0.049762
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,800,0.58,0.26869,0.66551,0.807622,0.750253,0.000589,0.648703,0.00057,0.648703,0.034178,0.000587,0.808288,0.000643,0.039689,0.000377,0.155614,0.000197,0.041581,0.000258,0.077159,0.044749
action_critical_tactile_transfer_guard_v5,heldout_geometry,800,0.48,0.23744,0.65071,0.811551,0.756378,0.00055,0.661122,0.000562,0.661122,0.032028,0.000499,0.810076,0.000578,0.035909,0.00032,0.146281,0.000183,0.040396,0.000229,0.076355,0.042318
action_critical_tactile_transfer_guard_v5,heldout_material,800,0.38,0.24009,0.61631,0.814862,0.764018,0.000547,0.667875,0.00058,0.667875,0.031579,0.000551,0.81006,0.000606,0.040089,0.000381,0.137635,0.000199,0.040199,0.000254,0.076026,0.043675
action_critical_tactile_transfer_guard_v5,heldout_object,800,0.28,0.171086,0.59871,0.819478,0.769203,0.000524,0.682076,0.000542,0.682076,0.027783,0.000454,0.814168,0.000552,0.03433,0.000289,0.127743,0.000173,0.037939,0.000215,0.074803,0.03975
action_critical_tactile_transfer_guard_v5,latency_contact_shift,800,0.76,0.299191,0.70671,0.801019,0.739098,0.000676,0.631133,0.000598,0.631133,0.038917,0.000743,0.804117,0.00073,0.039013,0.000375,0.172931,0.000207,0.04349,0.000301,0.080177,0.046838
action_critical_tactile_transfer_guard_v5,sensor_bias_shift,800,0.68,0.275466,0.68031,0.804139,0.746079,0.000729,0.641852,0.000577,0.641852,0.036723,0.000698,0.80758,0.00066,0.037505,0.000343,0.166417,0.000196,0.042585,0.000273,0.080909,0.04556
conformal_tactile_risk_control,clean_transfer,800,0.06,0.121263,0.54851,0.621943,0.668791,0.00043,0.564007,0.000903,0.564007,0.038085,0.000766,0.615964,0.000623,0.036673,0.000361,0.164339,0.000158,0.042807,0.000327,0.088793,0.047148
conformal_tactile_risk_control,combined_stress,800,0.88,0.362293,0.75471,0.578455,0.597403,0.000471,0.427001,0.001735,0.427001,0.08243,0.001839,0.592434,0.001121,0.052662,0.000648,0.27947,0.000218,0.063512,0.000675,0.104435,0.073187
conformal_tactile_risk_control,friction_compliance_shift,800,0.58,0.26869,0.66551,0.594746,0.623023,0.000449,0.479122,0.001347,0.479122,0.061091,0.001245,0.603235,0.000829,0.048187,0.000561,0.234886,0.00019,0.054782,0.000501,0.096222,0.06188
conformal_tactile_risk_control,heldout_geometry,800,0.48,0.23744,0.65071,0.60018,0.632565,0.000432,0.499612,0.001105,0.499612,0.055869,0.001024,0.606153,0.000741,0.042206,0.00045,0.220956,0.000176,0.052101,0.000415,0.094142,0.05719
