method,split,n,stress,mismatch,action_criticality,clean_retention,success,success_ci95,utility,utility_ci95,deploy_utility,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
conformal_tactile_risk_control,heldout_material,800,0.38,0.24009,0.61631,0.603234,0.639874,0.00045,0.505488,0.001256,0.505488,0.055296,0.00114,0.606301,0.000791,0.048391,0.000563,0.208152,0.000193,0.051885,0.000479,0.09414,0.059323
conformal_tactile_risk_control,heldout_object,800,0.28,0.171086,0.59871,0.611318,0.650282,0.000444,0.531792,0.001019,0.531792,0.045694,0.000923,0.611584,0.00065,0.039597,0.000417,0.193833,0.000168,0.04692,0.00037,0.0914,0.051727
conformal_tactile_risk_control,latency_contact_shift,800,0.76,0.299191,0.70671,0.586773,0.608315,0.000455,0.45282,0.001537,0.45282,0.071675,0.001614,0.597053,0.001046,0.047086,0.000559,0.261568,0.000202,0.058662,0.000588,0.100671,0.066249
conformal_tactile_risk_control,sensor_bias_shift,800,0.68,0.275466,0.68031,0.59103,0.615655,0.000456,0.465567,0.001441,0.465567,0.067625,0.001551,0.601748,0.000869,0.045491,0.000525,0.252822,0.000193,0.056793,0.00056,0.101663,0.064258
contrastive_tactile_pretraining,clean_transfer,800,0.06,0.121263,0.54851,0.832569,0.73613,0.000517,0.630883,0.001404,0.630883,0.055348,0.001033,0.603385,0.000593,0.04763,0.000647,0.069297,0.000143,0.045927,0.000409,0.126269,0.064239
contrastive_tactile_pretraining,combined_stress,800,0.88,0.362293,0.75471,0.799988,0.654659,0.0008,0.472098,0.00295,0.472098,0.119464,0.002499,0.579337,0.001091,0.081559,0.001307,0.122467,0.000145,0.071669,0.000875,0.154759,0.106634
contrastive_tactile_pretraining,friction_compliance_shift,800,0.58,0.26869,0.66551,0.812486,0.685116,0.000648,0.532709,0.002246,0.532709,0.09004,0.001729,0.589909,0.000815,0.072743,0.001138,0.100267,0.000139,0.060672,0.000649,0.138214,0.089202
contrastive_tactile_pretraining,heldout_geometry,800,0.48,0.23744,0.65071,0.816657,0.69586,0.000588,0.559332,0.001825,0.559332,0.082365,0.001414,0.592517,0.000714,0.059868,0.000864,0.093605,0.000141,0.057512,0.000531,0.134702,0.080752
contrastive_tactile_pretraining,heldout_material,800,0.38,0.24009,0.61631,0.817214,0.702338,0.00064,0.557302,0.002157,0.557302,0.081443,0.001587,0.59277,0.000793,0.073664,0.001152,0.088147,0.000139,0.057309,0.000616,0.134531,0.085629
contrastive_tactile_pretraining,heldout_object,800,0.28,0.171086,0.59871,0.82541,0.715859,0.000544,0.595563,0.001638,0.595563,0.067238,0.001235,0.598676,0.000688,0.054004,0.000757,0.082105,0.000148,0.051049,0.00048,0.130642,0.072003
contrastive_tactile_pretraining,latency_contact_shift,800,0.76,0.299191,0.70671,0.807722,0.668946,0.000711,0.507184,0.002522,0.507184,0.103504,0.002164,0.583776,0.00103,0.069574,0.001071,0.113885,0.000146,0.0652,0.000753,0.148183,0.094823
contrastive_tactile_pretraining,sensor_bias_shift,800,0.68,0.275466,0.68031,0.810923,0.676915,0.000671,0.520731,0.002402,0.520731,0.097895,0.002108,0.588368,0.000891,0.06638,0.001011,0.111866,0.000137,0.06312,0.000732,0.151678,0.092123
domain_adversarial_tactile_transfer,clean_transfer,800,0.06,0.121263,0.54851,0.753285,0.69992,0.000477,0.593376,0.001259,0.593376,0.052506,0.000951,0.602811,0.00057,0.046374,0.000625,0.086619,0.000142,0.04566,0.000391,0.124434,0.062438
domain_adversarial_tactile_transfer,combined_stress,800,0.88,0.362293,0.75471,0.72133,0.621919,0.000662,0.440048,0.002637,0.440048,0.111262,0.002294,0.580065,0.000997,0.0783,0.001237,0.150451,0.000143,0.070421,0.000826,0.151891,0.101966
domain_adversarial_tactile_transfer,friction_compliance_shift,800,0.58,0.26869,0.66551,0.733584,0.650986,0.000588,0.498196,0.002025,0.498196,0.084219,0.001564,0.589773,0.000791,0.070306,0.001063,0.124338,0.000149,0.059968,0.000618,0.136004,0.085828
domain_adversarial_tactile_transfer,heldout_geometry,800,0.48,0.23744,0.65071,0.737674,0.661348,0.000526,0.524174,0.001668,0.524174,0.076762,0.001294,0.5927,0.000679,0.057979,0.00082,0.11653,0.000143,0.056806,0.000513,0.1326,0.07768
domain_adversarial_tactile_transfer,heldout_material,800,0.38,0.24009,0.61631,0.738239,0.667609,0.00056,0.522682,0.001943,0.522682,0.076127,0.001458,0.59247,0.000744,0.070984,0.001095,0.109818,0.000137,0.056582,0.000601,0.132297,0.082329
domain_adversarial_tactile_transfer,heldout_object,800,0.28,0.171086,0.59871,0.746255,0.680062,0.000503,0.558628,0.001479,0.558628,0.063191,0.001131,0.598327,0.000621,0.052486,0.000731,0.102373,0.000142,0.050642,0.000446,0.128588,0.06964
domain_adversarial_tactile_transfer,latency_contact_shift,800,0.76,0.299191,0.70671,0.7289,0.635073,0.000618,0.473032,0.002297,0.473032,0.096149,0.00199,0.585096,0.00092,0.067332,0.001029,0.140518,0.000142,0.064212,0.000717,0.14572,0.090928
domain_adversarial_tactile_transfer,sensor_bias_shift,800,0.68,0.275466,0.68031,0.732039,0.643316,0.000589,0.48666,0.002174,0.48666,0.09165,0.001942,0.588553,0.000803,0.064086,0.00096,0.137225,0.000141,0.062161,0.000683,0.14924,0.088593
ensemble_disagreement_filter,clean_transfer,800,0.06,0.121263,0.54851,0.680009,0.681691,0.000434,0.574675,0.001043,0.574675,0.04389,0.000808,0.6247,0.000599,0.041652,0.00049,0.136955,0.000176,0.043977,0.000337,0.102008,0.053509
ensemble_disagreement_filter,combined_stress,800,0.88,0.362293,0.75471,0.628379,0.608414,0.000508,0.4306,0.002071,0.4306,0.09218,0.001957,0.601238,0.001075,0.065477,0.000936,0.235838,0.00026,0.066212,0.000741,0.123391,0.085054
ensemble_disagreement_filter,friction_compliance_shift,800,0.58,0.26869,0.66551,0.647677,0.635044,0.000499,0.48474,0.001635,0.48474,0.069387,0.001341,0.611811,0.000835,0.059601,0.000825,0.19711,0.000222,0.0571,0.000552,0.111157,0.071958
ensemble_disagreement_filter,heldout_geometry,800,0.48,0.23744,0.65071,0.654113,0.644826,0.000451,0.508214,0.001356,0.508214,0.063589,0.001124,0.614481,0.000745,0.049908,0.000645,0.185053,0.000197,0.054109,0.000454,0.10865,0.065554
ensemble_disagreement_filter,heldout_material,800,0.38,0.24009,0.61631,0.657993,0.651796,0.000463,0.510609,0.001512,0.510609,0.062975,0.001216,0.614641,0.000771,0.059723,0.000816,0.174645,0.000216,0.053806,0.000515,0.108441,0.069006
ensemble_disagreement_filter,heldout_object,800,0.28,0.171086,0.59871,0.667276,0.662377,0.000446,0.540971,0.00122,0.540971,0.052423,0.000985,0.620268,0.000694,0.045995,0.000579,0.162118,0.000192,0.048373,0.000404,0.105277,0.059089
ensemble_disagreement_filter,latency_contact_shift,800,0.76,0.299191,0.70671,0.638033,0.61983,0.000487,0.458982,0.001851,0.458982,0.080484,0.001747,0.605417,0.001033,0.057417,0.000803,0.220172,0.000232,0.060926,0.000647,0.118394,0.076587
ensemble_disagreement_filter,sensor_bias_shift,800,0.68,0.275466,0.68031,0.643086,0.627157,0.000467,0.472079,0.00173,0.472079,0.076033,0.001667,0.610353,0.000873,0.05486,0.000737,0.213122,0.000222,0.059,0.000614,0.12083,0.074347
frozen_tactile_pretraining,clean_transfer,800,0.06,0.121263,0.54851,0.839679,0.712061,0.000687,0.604303,0.001823,0.604303,0.064347,0.001244,0.509941,0.000667,0.052524,0.000777,0.034844,0.000141,0.048412,0.000481,0.139803,0.071843
frozen_tactile_pretraining,combined_stress,800,0.88,0.362293,0.75471,0.807988,0.617481,0.001283,0.423328,0.003943,0.423328,0.141713,0.003018,0.480972,0.001319,0.094128,0.001604,0.066629,0.00014,0.078918,0.001059,0.173453,0.123065
frozen_tactile_pretraining,friction_compliance_shift,800,0.58,0.26869,0.66551,0.820273,0.653376,0.000993,0.493107,0.003001,0.493107,0.10601,0.002081,0.494102,0.000942,0.083309,0.001385,0.051795,0.000135,0.065854,0.000791,0.153729,0.101957
frozen_tactile_pretraining,heldout_geometry,800,0.48,0.23744,0.65071,0.824374,0.666511,0.000848,0.524862,0.002449,0.524862,0.096267,0.001737,0.497068,0.00084,0.067555,0.001056,0.047975,0.000142,0.061943,0.000644,0.149684,0.091539
frozen_tactile_pretraining,heldout_material,800,0.38,0.24009,0.61631,0.824157,0.672167,0.00095,0.519395,0.002873,0.519395,0.095294,0.001918,0.497932,0.000903,0.084184,0.001427,0.044941,0.000138,0.06184,0.000748,0.149313,0.09745
frozen_tactile_pretraining,heldout_object,800,0.28,0.171086,0.59871,0.833068,0.689525,0.000771,0.56582,0.002162,0.56582,0.078203,0.0015,0.504325,0.000747,0.060198,0.000923,0.041961,0.000136,0.054231,0.00057,0.144848,0.08096
frozen_tactile_pretraining,latency_contact_shift,800,0.76,0.299191,0.70671,0.816171,0.635757,0.001153,0.465465,0.003461,0.465465,0.122379,0.002655,0.486437,0.00127,0.079858,0.001332,0.06117,0.000142,0.07122,0.000927,0.165652,0.108894
frozen_tactile_pretraining,sensor_bias_shift,800,0.68,0.275466,0.68031,0.81929,0.64474,0.001076,0.481277,0.003252,0.481277,0.114828,0.002543,0.492283,0.00104,0.075552,0.001239,0.061759,0.00014,0.068413,0.000877,0.170023,0.105197
full_finetune_pretraining,clean_transfer,800,0.06,0.121263,0.54851,0.79744,0.721885,0.000567,0.613435,0.001491,0.613435,0.058232,0.001081,0.569578,0.000626,0.049445,0.000687,0.068214,0.00014,0.046831,0.000422,0.130524,0.066765
full_finetune_pretraining,combined_stress,800,0.88,0.362293,0.75471,0.76593,0.637965,0.000899,0.449318,0.003172,0.449318,0.124488,0.002605,0.544461,0.00111,0.08526,0.001387,0.120712,0.000141,0.073814,0.000908,0.161307,0.111142
full_finetune_pretraining,friction_compliance_shift,800,0.58,0.26869,0.66551,0.778078,0.669453,0.000693,0.512023,0.002372,0.512023,0.09395,0.001786,0.555852,0.000854,0.076245,0.001195,0.098622,0.000142,0.062024,0.000684,0.143223,0.092899
full_finetune_pretraining,heldout_geometry,800,0.48,0.23744,0.65071,0.782133,0.680203,0.000621,0.539937,0.001967,0.539937,0.085549,0.001484,0.558732,0.000744,0.062106,0.000925,0.092162,0.000136,0.058734,0.000564,0.139495,0.083669
full_finetune_pretraining,heldout_material,800,0.38,0.24009,0.61631,0.78231,0.686615,0.000715,0.536634,0.002331,0.536634,0.085217,0.001641,0.55858,0.000786,0.077138,0.00122,0.086544,0.000137,0.05887,0.000665,0.13894,0.089183
full_finetune_pretraining,heldout_object,800,0.28,0.171086,0.59871,0.790684,0.701106,0.000602,0.57774,0.001755,0.57774,0.069903,0.001282,0.564971,0.000664,0.055738,0.000815,0.080898,0.000139,0.05207,0.000497,0.135029,0.07446
full_finetune_pretraining,latency_contact_shift,800,0.76,0.299191,0.70671,0.773725,0.653073,0.00078,0.486066,0.002723,0.486066,0.10747,0.00226,0.549866,0.001046,0.072914,0.001153,0.112376,0.000145,0.067002,0.000794,0.154379,0.098735
full_finetune_pretraining,sensor_bias_shift,800,0.68,0.275466,0.68031,0.776823,0.661092,0.000781,0.499997,0.002629,0.499997,0.102005,0.002197,0.553886,0.000923,0.069139,0.001077,0.110571,0.000136,0.064764,0.000772,0.158168,0.095901
invariant_risk_tactile_alignment,clean_transfer,800,0.06,0.121263,0.54851,0.724487,0.694352,0.000473,0.590738,0.001174,0.590738,0.04875,0.000898,0.610019,0.000584,0.044142,0.000558,0.093201,0.000144,0.04465,0.000362,0.1185,0.059144
invariant_risk_tactile_alignment,combined_stress,800,0.88,0.362293,0.75471,0.692443,0.618777,0.000617,0.44414,0.002427,0.44414,0.104183,0.002166,0.587263,0.001017,0.071997,0.001111,0.161246,0.000148,0.068187,0.000783,0.14319,0.095374
invariant_risk_tactile_alignment,friction_compliance_shift,800,0.58,0.26869,0.66551,0.704688,0.646553,0.000542,0.49969,0.001862,0.49969,0.078426,0.001496,0.597545,0.000787,0.065016,0.000968,0.133685,0.000148,0.058022,0.00059,0.129016,0.080396
invariant_risk_tactile_alignment,heldout_geometry,800,0.48,0.23744,0.65071,0.708774,0.656682,0.000515,0.524151,0.001553,0.524151,0.071739,0.00124,0.599843,0.000679,0.05396,0.000736,0.125521,0.000142,0.055005,0.000477,0.125844,0.073049
invariant_risk_tactile_alignment,heldout_material,800,0.38,0.24009,0.61631,0.709599,0.662778,0.000528,0.523576,0.001782,0.523576,0.070951,0.001381,0.600168,0.000749,0.065614,0.000967,0.118281,0.000143,0.05502,0.000564,0.125763,0.077196
invariant_risk_tactile_alignment,heldout_object,800,0.28,0.171086,0.59871,0.717317,0.67486,0.000498,0.557328,0.001371,0.557328,0.058739,0.00108,0.605969,0.000643,0.049141,0.000645,0.110136,0.000141,0.049403,0.000437,0.122465,0.065629
invariant_risk_tactile_alignment,latency_contact_shift,800,0.76,0.299191,0.70671,0.69981,0.631527,0.00056,0.475125,0.002097,0.475125,0.090215,0.001895,0.592192,0.000947,0.062377,0.000908,0.150615,0.000147,0.062495,0.000692,0.137599,0.085394
invariant_risk_tactile_alignment,sensor_bias_shift,800,0.68,0.275466,0.68031,0.702956,0.639128,0.000556,0.488009,0.002032,0.488009,0.085716,0.001857,0.596119,0.00084,0.059561,0.000848,0.14707,0.000142,0.060304,0.000662,0.140164,0.083036
masked_autoencoder_tactile_pretraining,clean_transfer,800,0.06,0.121263,0.54851,0.816726,0.728889,0.000531,0.623191,0.001431,0.623191,0.055913,0.001051,0.59259,0.000604,0.048184,0.000664,0.066978,0.000139,0.046091,0.000413,0.12831,0.065025
masked_autoencoder_tactile_pretraining,combined_stress,800,0.88,0.362293,0.75471,0.784502,0.646595,0.000817,0.462748,0.003021,0.462748,0.120956,0.002545,0.568538,0.001108,0.08284,0.00135,0.118572,0.000141,0.072402,0.000887,0.157164,0.108134
masked_autoencoder_tactile_pretraining,friction_compliance_shift,800,0.58,0.26869,0.66551,0.796883,0.67713,0.000672,0.523463,0.002319,0.523463,0.091399,0.001766,0.579194,0.000844,0.074053,0.001173,0.096822,0.000141,0.061368,0.000664,0.139997,0.090552
masked_autoencoder_tactile_pretraining,heldout_geometry,800,0.48,0.23744,0.65071,0.801016,0.688448,0.000576,0.551032,0.001845,0.551032,0.083648,0.001428,0.58209,0.000743,0.060625,0.000876,0.090503,0.000143,0.058112,0.000553,0.136715,0.081898
masked_autoencoder_tactile_pretraining,heldout_material,800,0.38,0.24009,0.61631,0.801446,0.694461,0.000673,0.54818,0.002229,0.54818,0.082721,0.001609,0.582538,0.000782,0.074933,0.001181,0.085282,0.000146,0.057796,0.000641,0.136242,0.086903
masked_autoencoder_tactile_pretraining,heldout_object,800,0.28,0.171086,0.59871,0.809701,0.708598,0.000577,0.587541,0.00168,0.587541,0.068248,0.001239,0.588197,0.000667,0.054674,0.000786,0.079578,0.000139,0.051519,0.000487,0.132442,0.072972
masked_autoencoder_tactile_pretraining,latency_contact_shift,800,0.76,0.299191,0.70671,0.792256,0.661495,0.000754,0.498542,0.002635,0.498542,0.104861,0.002204,0.572773,0.001034,0.070762,0.001106,0.110401,0.000142,0.065795,0.000778,0.150485,0.096209
masked_autoencoder_tactile_pretraining,sensor_bias_shift,800,0.68,0.275466,0.68031,0.795423,0.668914,0.000714,0.51175,0.002485,0.51175,0.099253,0.002145,0.577682,0.000907,0.067262,0.001031,0.108406,0.000148,0.063711,0.000742,0.154082,0.093412
no_tactile_policy,clean_transfer,800,0.06,0.121263,0.54851,0.164236,0.508414,0.000519,0.410045,0.001472,0.410045,0.05707,0.001046,0.281267,0.000677,0.050921,0.000745,0.016894,0.000135,0.046739,0.000446,0.136111,0.067928
no_tactile_policy,combined_stress,800,0.88,0.362293,0.75471,0.132902,0.430875,0.000802,0.257765,0.003163,0.257765,0.12124,0.002585,0.25337,0.001306,0.089253,0.001509,0.037419,0.000137,0.075166,0.001002,0.168497,0.112984
no_tactile_policy,friction_compliance_shift,800,0.58,0.26869,0.66551,0.14507,0.460213,0.000635,0.316645,0.002378,0.316645,0.090763,0.001746,0.265859,0.000926,0.079411,0.001303,0.026676,0.000135,0.062886,0.000746,0.149741,0.094277
no_tactile_policy,heldout_geometry,800,0.48,0.23744,0.65071,0.149133,0.470847,0.000587,0.344128,0.001925,0.344128,0.083136,0.001435,0.269096,0.000826,0.064172,0.000989,0.024264,0.000138,0.059366,0.000599,0.145711,0.084816
no_tactile_policy,heldout_material,800,0.38,0.24009,0.61631,0.148788,0.476857,0.000613,0.339143,0.002283,0.339143,0.081831,0.001593,0.269305,0.000867,0.08033,0.001339,0.022672,0.000136,0.059425,0.000712,0.145352,0.090453
no_tactile_policy,heldout_object,800,0.28,0.171086,0.59871,0.157759,0.489392,0.000543,0.377779,0.001708,0.377779,0.068139,0.001248,0.275667,0.000769,0.05769,0.000888,0.02101,0.000133,0.05226,0.000524,0.140959,0.075688
no_tactile_policy,latency_contact_shift,800,0.76,0.299191,0.70671,0.141105,0.444472,0.000741,0.292269,0.002737,0.292269,0.105373,0.002253,0.258486,0.001236,0.075958,0.001242,0.033886,0.000131,0.068055,0.000869,0.161204,0.100513
no_tactile_policy,sensor_bias_shift,800,0.68,0.275466,0.68031,0.144189,0.451665,0.00069,0.304886,0.002579,0.304886,0.099626,0.002169,0.264299,0.001012,0.072076,0.001163,0.03533,0.000137,0.065592,0.000823,0.165413,0.097595
oracle_contact_shift_feature_selector,clean_transfer,800,0.06,0.121263,0.54851,0.890657,0.860173,0.000584,0.797839,0.000576,0.797839,0.017161,0.000317,0.930124,0.000469,0.029473,0.000222,0.070391,0.000147,0.031757,0.000153,0.059612,0.03094
oracle_contact_shift_feature_selector,combined_stress,800,0.88,0.362293,0.75471,0.86874,0.820128,0.001105,0.738529,0.000904,0.738529,0.024992,0.000438,0.917745,0.000655,0.032582,0.000248,0.122687,0.000187,0.036759,0.000194,0.062399,0.035786
oracle_contact_shift_feature_selector,friction_compliance_shift,800,0.58,0.26869,0.66551,0.876787,0.832592,0.000785,0.758543,0.000681,0.758543,0.021019,0.00033,0.922865,0.000544,0.031793,0.000238,0.103168,0.000184,0.034598,0.000172,0.060797,0.033631
oracle_contact_shift_feature_selector,heldout_geometry,800,0.48,0.23744,0.65071,0.879469,0.837385,0.000666,0.766446,0.000621,0.766446,0.020055,0.000327,0.924461,0.000502,0.030355,0.000223,0.096746,0.000166,0.034076,0.000169,0.060528,0.032656
oracle_contact_shift_feature_selector,heldout_material,800,0.38,0.24009,0.61631,0.881976,0.844613,0.000743,0.773954,0.00066,0.773954,0.019963,0.000339,0.923939,0.000528,0.031819,0.00023,0.091003,0.000166,0.033889,0.000169,0.060542,0.033165
oracle_contact_shift_feature_selector,heldout_object,800,0.28,0.171086,0.59871,0.884854,0.847623,0.00067,0.780982,0.000636,0.780982,0.018251,0.000296,0.927201,0.00049,0.029983,0.000225,0.084058,0.000156,0.03292,0.000159,0.060111,0.031711
oracle_contact_shift_feature_selector,latency_contact_shift,800,0.76,0.299191,0.70671,0.872092,0.823769,0.000961,0.746235,0.000804,0.746235,0.0229,0.000416,0.920528,0.000578,0.031415,0.000237,0.114577,0.000182,0.035536,0.000185,0.06169,0.034381
oracle_contact_shift_feature_selector,sensor_bias_shift,800,0.68,0.275466,0.68031,0.874232,0.829829,0.001002,0.754194,0.000874,0.754194,0.021799,0.000392,0.922403,0.000554,0.031069,0.000235,0.109709,0.000173,0.035167,0.000185,0.06204,0.033902
proposed_negative_transfer_guard_v4,clean_transfer,800,0.06,0.121263,0.54851,0.766538,0.750959,0.000431,0.655541,0.000754,0.655541,0.035758,0.000651,0.717304,0.00057,0.038224,0.000397,0.122611,0.000159,0.040275,0.000276,0.093155,0.047478
proposed_negative_transfer_guard_v4,combined_stress,800,0.88,0.362293,0.75471,0.729047,0.687181,0.000467,0.53596,0.001323,0.53596,0.072108,0.001476,0.697436,0.000957,0.055821,0.000729,0.209702,0.000211,0.057009,0.000537,0.109063,0.071061
proposed_negative_transfer_guard_v4,friction_compliance_shift,800,0.58,0.26869,0.66551,0.743031,0.709904,0.000452,0.580402,0.001093,0.580402,0.054916,0.001015,0.706193,0.000726,0.05144,0.00065,0.176047,0.000186,0.050016,0.000406,0.099908,0.061204
proposed_negative_transfer_guard_v4,heldout_geometry,800,0.48,0.23744,0.65071,0.747694,0.717866,0.000448,0.598742,0.000936,0.598742,0.050595,0.000849,0.708737,0.000662,0.044358,0.0005,0.16544,0.000171,0.047927,0.00035,0.098312,0.056547
proposed_negative_transfer_guard_v4,heldout_material,800,0.38,0.24009,0.61631,0.750684,0.724975,0.000427,0.602766,0.001084,0.602766,0.050028,0.000922,0.709066,0.000708,0.051888,0.000667,0.155924,0.000188,0.047565,0.000396,0.098127,0.059146
proposed_negative_transfer_guard_v4,heldout_object,800,0.28,0.171086,0.59871,0.757212,0.733479,0.000418,0.626537,0.000816,0.626537,0.042434,0.000748,0.713528,0.000608,0.041155,0.000446,0.144935,0.000157,0.043754,0.000301,0.095879,0.0517
proposed_negative_transfer_guard_v4,latency_contact_shift,800,0.76,0.299191,0.70671,0.735908,0.696598,0.000433,0.558748,0.001157,0.558748,0.063037,0.001301,0.701548,0.000915,0.049643,0.000608,0.196176,0.000204,0.052873,0.000478,0.10557,0.064587
proposed_negative_transfer_guard_v4,sensor_bias_shift,800,0.68,0.275466,0.68031,0.739576,0.703702,0.000453,0.57035,0.001084,0.57035,0.059627,0.00125,0.705258,0.00076,0.047775,0.000571,0.189716,0.000195,0.051672,0.000449,0.107448,0.062936
scratch_tactile_policy,clean_transfer,800,0.06,0.121263,0.54851,0.390032,0.571076,0.000462,0.469741,0.001247,0.469741,0.053523,0.00096,0.450881,0.000648,0.047659,0.000645,0.054482,0.00014,0.045663,0.000403,0.128204,0.063951
scratch_tactile_policy,combined_stress,800,0.88,0.362293,0.75471,0.359372,0.495961,0.000645,0.321276,0.002717,0.321276,0.113383,0.002389,0.425043,0.001159,0.081686,0.001333,0.098039,0.000139,0.071156,0.000876,0.157301,0.105021
scratch_tactile_policy,friction_compliance_shift,800,0.58,0.26869,0.66551,0.371223,0.523605,0.000561,0.377461,0.002069,0.377461,0.085585,0.00161,0.436164,0.000872,0.073074,0.001139,0.079075,0.000135,0.060378,0.000655,0.14032,0.088162
scratch_tactile_policy,heldout_geometry,800,0.48,0.23744,0.65071,0.375179,0.534179,0.000525,0.404125,0.001712,0.404125,0.077787,0.001328,0.439776,0.000774,0.059654,0.000865,0.073758,0.000136,0.05703,0.000527,0.136912,0.079463
scratch_tactile_policy,heldout_material,800,0.38,0.24009,0.61631,0.375169,0.539847,0.000565,0.400719,0.002003,0.400719,0.077041,0.001468,0.439637,0.000838,0.073758,0.001163,0.069484,0.000144,0.056873,0.000626,0.136607,0.084498
scratch_tactile_policy,heldout_object,800,0.28,0.171086,0.59871,0.383543,0.55196,0.000514,0.437007,0.00153,0.437007,0.063955,0.001158,0.445506,0.000666,0.053843,0.000771,0.064745,0.00014,0.050508,0.000472,0.132691,0.07114
scratch_tactile_policy,latency_contact_shift,800,0.76,0.299191,0.70671,0.367115,0.508465,0.000623,0.353492,0.002404,0.353492,0.098639,0.002077,0.429614,0.001104,0.069928,0.001105,0.090937,0.000136,0.064851,0.000763,0.150671,0.093716
scratch_tactile_policy,sensor_bias_shift,800,0.68,0.275466,0.68031,0.37013,0.515926,0.000573,0.366482,0.002254,0.366482,0.093208,0.002018,0.434519,0.000929,0.066471,0.001016,0.08981,0.000137,0.062638,0.000729,0.154247,0.090978
sensor_health_filter,clean_transfer,800,0.06,0.121263,0.54851,0.634117,0.667319,0.000456,0.567583,0.000909,0.567583,0.039648,0.000705,0.651115,0.000568,0.039913,0.000436,0.123385,0.000154,0.042387,0.000312,0.097089,0.050362
sensor_health_filter,combined_stress,800,0.88,0.362293,0.75471,0.598589,0.598652,0.000512,0.437853,0.001657,0.437853,0.081609,0.001635,0.632358,0.00098,0.060962,0.000861,0.20713,0.000178,0.062391,0.000636,0.111911,0.077295
sensor_health_filter,friction_compliance_shift,800,0.58,0.26869,0.66551,0.61201,0.622305,0.000467,0.48502,0.001332,0.48502,0.062368,0.001138,0.640521,0.00073,0.055408,0.000731,0.17559,0.000169,0.053907,0.000494,0.102811,0.066157
