risk_budget,method,seed,n,accepted,risk_breach,fixed_risk_utility,risk_score,success,utility,harmful_transfer_rate,damage_rate,query_cost
0.06,action_critical_tactile_transfer_guard_v5,0,80,0.9875,0.0375,0.582416,0.050141,0.732794,0.616848,0.043483,0.041982,0.185004
0.06,action_critical_tactile_transfer_guard_v5,1,80,0.875,0.0,0.536697,0.049553,0.733604,0.618527,0.042658,0.04157,0.185173
0.06,action_critical_tactile_transfer_guard_v5,2,80,0.8,0.0,0.488909,0.049484,0.73351,0.618415,0.042054,0.041664,0.185618
0.06,action_critical_tactile_transfer_guard_v5,3,80,1.0,0.0625,0.574206,0.049718,0.733208,0.617956,0.042816,0.041314,0.185236
0.06,action_critical_tactile_transfer_guard_v5,4,80,0.9875,0.0125,0.602096,0.049934,0.734659,0.618949,0.043214,0.041973,0.18505
0.06,action_critical_tactile_transfer_guard_v5,5,80,0.8,0.0,0.487886,0.049947,0.734103,0.61864,0.043916,0.041339,0.184683
0.06,action_critical_tactile_transfer_guard_v5,6,80,0.8375,0.0,0.51339,0.049682,0.733461,0.618346,0.04349,0.041097,0.185079
0.06,action_critical_tactile_transfer_guard_v5,7,80,1.0,0.075,0.56522,0.049743,0.733037,0.61772,0.042773,0.041889,0.184695
0.06,action_critical_tactile_transfer_guard_v5,8,80,0.8875,0.0,0.545158,0.049525,0.733326,0.618278,0.042136,0.041577,0.185239
0.06,action_critical_tactile_transfer_guard_v5,9,80,0.8,0.0,0.487655,0.04989,0.733423,0.618037,0.043175,0.041544,0.185011
0.06,conformal_tactile_risk_control,0,80,0.275,0.1375,0.002408,0.07286,0.598252,0.428155,0.081388,0.053006,0.279788
0.06,conformal_tactile_risk_control,1,80,0.1625,0.025,0.026077,0.07291,0.596815,0.426762,0.081954,0.052639,0.279461
0.06,conformal_tactile_risk_control,2,80,0.125,0.0,0.025649,0.073116,0.597884,0.427572,0.081933,0.052992,0.279037
0.06,conformal_tactile_risk_control,3,80,0.1125,0.0,0.019207,0.073038,0.597347,0.427262,0.082422,0.052214,0.279617
0.06,conformal_tactile_risk_control,4,80,0.2375,0.1125,0.000956,0.07335,0.597132,0.426491,0.08304,0.052555,0.279691
0.06,conformal_tactile_risk_control,5,80,0.3,0.1375,0.013683,0.073275,0.59699,0.426471,0.082862,0.052442,0.279665
