variant,n,mismatch,clean_retention,success,success_ci95,utility,utility_ci95,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
classifier_only_guard,800,0.362293,0.698645,0.662309,0.000425,0.511819,0.001658,0.082699,0.001701,0.654957,0.000971,0.059756,0.000817,0.161901,0.000177,0.060064,0.000624,0.118481,0.078158
full_action_critical_guard,800,0.362293,0.795838,0.733888,0.000798,0.618075,0.000588,0.043442,0.000826,0.80144,0.000784,0.041912,0.000418,0.185045,0.000219,0.045877,0.000326,0.082162,0.050074
minus_action_critical_mask,800,0.362293,0.754221,0.694619,0.000532,0.562466,0.001042,0.06405,0.00128,0.721288,0.000799,0.049281,0.000584,0.179719,0.000216,0.051649,0.000447,0.089968,0.061863
minus_clean_retention_term,800,0.362293,0.562782,0.664026,0.000735,0.54306,0.000602,0.043039,0.000818,0.782073,0.000799,0.041789,0.000404,0.207954,0.000228,0.047072,0.000342,0.082178,0.050012
minus_conformal_risk_budget,800,0.362293,0.780466,0.716957,0.000678,0.583694,0.000808,0.06041,0.001045,0.773357,0.000799,0.053509,0.000613,0.166009,0.000216,0.051404,0.000409,0.112595,0.06628
minus_damage_asymmetry,800,0.362293,0.777526,0.711179,0.000647,0.580779,0.001002,0.052862,0.000999,0.755143,0.000789,0.057617,0.00086,0.170309,0.000228,0.049428,0.000396,0.089086,0.060846
minus_latency_compensation,800,0.362293,0.763526,0.706114,0.000618,0.582698,0.000723,0.05141,0.001017,0.742056,0.000828,0.045674,0.000509,0.18218,0.000215,0.048974,0.0004,0.089423,0.055829
minus_sensor_health_model,800,0.362293,0.763526,0.696716,0.00047,0.564336,0.001102,0.062684,0.001399,0.712701,0.000972,0.047042,0.000532,0.187227,0.000217,0.051229,0.000459,0.098153,0.061979
minus_source_target_mismatch,800,0.362293,0.750453,0.686919,0.000494,0.553552,0.001167,0.069103,0.001396,0.700113,0.000838,0.049122,0.000563,0.174282,0.000208,0.052282,0.000475,0.090402,0.063662
old_v4_guard,800,0.362293,0.729047,0.687626,0.000461,0.536307,0.00133,0.072085,0.001472,0.697421,0.000943,0.055896,0.000727,0.209853,0.000211,0.057005,0.000541,0.109237,0.071113
