method,baseline,proposed,paired_seeds,success_delta,success_delta_ci95,success_wins,utility_delta,utility_delta_ci95,utility_wins,harmful_transfer_rate_delta,harmful_transfer_rate_delta_ci95,harmful_transfer_rate_wins,tactile_event_f1_delta,tactile_event_f1_delta_ci95,tactile_event_f1_wins,damage_rate_delta,damage_rate_delta_ci95,damage_rate_wins,query_cost_delta,query_cost_delta_ci95,query_cost_wins,regret_delta,regret_delta_ci95,regret_wins
conformal_tactile_risk_control,conformal_tactile_risk_control,action_critical_tactile_transfer_guard_v5,10,0.137432,0.000365,10,0.190888,0.00045,10,-0.04051,0.000333,0,0.209326,0.000202,10,-0.010416,0.000179,0,-0.087092,0.000182,0,-0.01787,0.000174,0
contrastive_tactile_pretraining,contrastive_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.080585,0.000317,10,0.147379,0.000382,10,-0.077647,0.000242,0,0.22252,0.000291,10,-0.037899,0.000137,0,0.058912,0.000181,10,-0.02618,0.000119,0
domain_adversarial_tactile_transfer,domain_adversarial_tactile_transfer,action_critical_tactile_transfer_guard_v5,10,0.11301,0.000392,10,0.17873,0.000436,10,-0.069071,0.000261,0,0.221228,0.000296,10,-0.034904,0.000192,0,0.032834,0.000199,10,-0.024811,0.0001,0
ensemble_disagreement_filter,ensemble_disagreement_filter,action_critical_tactile_transfer_guard_v5,10,0.126531,0.0005,10,0.187774,0.0006,10,-0.05035,0.000255,0,0.200564,0.000455,10,-0.022774,0.000158,0,-0.046845,0.00013,0,-0.020768,9.8e-05,0
frozen_tactile_pretraining,frozen_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.118423,0.000235,10,0.197584,0.000265,10,-0.100247,0.000226,0,0.321093,0.000327,10,-0.050237,0.000158,0,0.110976,0.000141,10,-0.033567,0.000117,0
full_finetune_pretraining,full_finetune_pretraining,action_critical_tactile_transfer_guard_v5,10,0.097618,0.000289,10,0.170545,0.000382,10,-0.082645,0.000294,0,0.257061,0.000212,10,-0.041742,0.000236,0,0.060611,0.000181,10,-0.028238,0.000138,0
invariant_risk_tactile_alignment,invariant_risk_tactile_alignment,action_critical_tactile_transfer_guard_v5,10,0.116428,0.000412,10,0.175153,0.000362,10,-0.062074,0.000287,0,0.21412,0.000263,10,-0.029022,0.000144,0,0.022775,0.000165,10,-0.022619,0.000127,0
masked_autoencoder_tactile_pretraining,masked_autoencoder_tactile_pretraining,action_critical_tactile_transfer_guard_v5,10,0.088845,0.000357,10,0.157143,0.000378,10,-0.079343,0.000288,0,0.233491,0.00025,10,-0.039275,0.000147,0,0.062521,0.00017,10,-0.026929,0.000146,0
no_tactile_policy,no_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.305368,0.000426,10,0.364113,0.000456,10,-0.079827,0.000255,0,0.548803,0.000246,10,-0.045424,0.000218,0,0.138018,0.000137,10,-0.029886,0.000126,0
oracle_contact_shift_feature_selector,oracle_contact_shift_feature_selector,action_critical_tactile_transfer_guard_v5,10,-0.087177,0.000419,0,-0.120209,0.000437,0,0.019014,0.00023,10,-0.116973,0.000279,0,0.00889,0.000148,10,0.057802,0.000151,10,0.009045,0.000111,10
proposed_negative_transfer_guard_v4,proposed_negative_transfer_guard_v4,action_critical_tactile_transfer_guard_v5,10,0.046841,0.000257,10,0.081716,0.000194,10,-0.029397,0.000343,0,0.104,0.000349,10,-0.013334,0.000202,0,-0.022803,0.000105,0,-0.011318,7.9e-05,0
scratch_tactile_policy,scratch_tactile_policy,action_critical_tactile_transfer_guard_v5,10,0.239826,0.000507,10,0.299286,0.000534,10,-0.071712,0.000353,0,0.377067,0.000338,10,-0.038156,0.000102,0,0.081784,0.000168,10,-0.025785,0.000144,0
sensor_health_filter,sensor_health_filter,action_critical_tactile_transfer_guard_v5,10,0.134908,0.000248,10,0.17874,0.000372,10,-0.038356,0.000331,0,0.169844,0.000293,10,-0.017991,0.000166,0,-0.020536,0.000137,0,-0.01656,0.000102,0
test_time_tactile_adaptation,test_time_tactile_adaptation,action_critical_tactile_transfer_guard_v5,10,0.092138,0.000304,10,0.15189,0.000404,10,-0.054087,0.000191,0,0.17066,0.000329,10,-0.028432,0.000217,0,-0.006604,0.000192,0,-0.020187,0.000124,0
uncertainty_gated_transfer,uncertainty_gated_transfer,action_critical_tactile_transfer_guard_v5,10,0.148779,0.000324,10,0.223082,0.000382,10,-0.058823,0.000245,0,0.235899,0.000346,10,-0.026708,0.000207,0,-0.066039,0.000187,0,-0.024473,9.9e-05,0
