risk_budget,method,n,accepted,risk_breach,fixed_risk_utility,risk_score,success,success_ci95,utility,utility_ci95,harmful_transfer_rate,harmful_transfer_rate_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95
0.06,action_critical_tactile_transfer_guard_v5,800,0.8975,0.01875,0.538364,0.049762,0.733513,0.000786,0.618172,0.00062,0.042972,0.000813,0.041595,0.000407,0.185079,0.000224
0.06,conformal_tactile_risk_control,800,0.1925,0.055,0.019623,0.073187,0.597403,0.000471,0.427001,0.001735,0.08243,0.001839,0.052662,0.000648,0.27947,0.000218
0.06,contrastive_tactile_pretraining,800,0.0025,0.0025,-0.036732,0.106634,0.654659,0.0008,0.472098,0.00295,0.119464,0.002499,0.081559,0.001307,0.122467,0.000145
0.06,domain_adversarial_tactile_transfer,800,0.00875,0.0075,-0.037207,0.101966,0.621919,0.000662,0.440048,0.002637,0.111262,0.002294,0.0783,0.001237,0.150451,0.000143
0.06,ensemble_disagreement_filter,800,0.0825,0.01,-0.00184,0.085054,0.608414,0.000508,0.4306,0.002071,0.09218,0.001957,0.065477,0.000936,0.235838,0.00026
0.06,frozen_tactile_pretraining,800,0.0,0.0,-0.0358,0.123065,0.617481,0.001283,0.423328,0.003943,0.141713,0.003018,0.094128,0.001604,0.066629,0.00014
0.06,full_finetune_pretraining,800,0.0,0.0,-0.036449,0.111142,0.637965,0.000899,0.449318,0.003172,0.124488,0.002605,0.08526,0.001387,0.120712,0.000141
0.06,invariant_risk_tactile_alignment,800,0.04,0.03375,-0.038707,0.095374,0.618777,0.000617,0.44414,0.002427,0.104183,0.002166,0.071997,0.001111,0.161246,0.000148
0.06,masked_autoencoder_tactile_pretraining,800,0.0,0.0,-0.036423,0.108134,0.646595,0.000817,0.462748,0.003021,0.120956,0.002545,0.08284,0.00135,0.118572,0.000141
0.06,no_tactile_policy,800,0.0,0.0,-0.035449,0.112984,0.430875,0.000802,0.257765,0.003163,0.12124,0.002585,0.089253,0.001509,0.037419,0.000137
0.06,oracle_contact_shift_feature_selector,800,1.0,0.0,0.738529,0.035786,0.820128,0.001105,0.738529,0.000904,0.024992,0.000438,0.032582,0.000248,0.122687,0.000187
0.06,proposed_negative_transfer_guard_v4,800,0.19375,0.05375,0.040767,0.071061,0.687181,0.000467,0.53596,0.001323,0.072108,0.001476,0.055821,0.000729,0.209702,0.000211
0.06,scratch_tactile_policy,800,0.00125,0.00125,-0.03649,0.105021,0.495961,0.000645,0.321276,0.002717,0.113383,0.002389,0.081686,0.001333,0.098039,0.000139
0.06,sensor_health_filter,800,0.115,0.01,0.014813,0.077295,0.598652,0.000512,0.437853,0.001657,0.081609,0.001635,0.060962,0.000861,0.20713,0.000178
0.06,test_time_tactile_adaptation,800,0.0375,0.03,-0.037346,0.0915,0.642412,0.000473,0.465846,0.002059,0.09663,0.001951,0.071574,0.001086,0.19294,0.000153
0.06,uncertainty_gated_transfer,800,0.0575,0.03625,-0.034967,0.091445,0.585657,0.000593,0.394045,0.002377,0.100685,0.002132,0.069829,0.001049,0.256577,0.000242
0.08,action_critical_tactile_transfer_guard_v5,800,1.0,0.0,0.618172,0.049762,0.733513,0.000786,0.618172,0.00062,0.042972,0.000813,0.041595,0.000407,0.185079,0.000224
0.08,conformal_tactile_risk_control,800,0.695,0.05625,0.253564,0.073187,0.597403,0.000471,0.427001,0.001735,0.08243,0.001839,0.052662,0.000648,0.27947,0.000218
0.08,contrastive_tactile_pretraining,800,0.12875,0.00625,0.034341,0.106634,0.654659,0.0008,0.472098,0.00295,0.119464,0.002499,0.081559,0.001307,0.122467,0.000145
0.08,domain_adversarial_tactile_transfer,800,0.1325,0.0075,0.029873,0.101966,0.621919,0.000662,0.440048,0.002637,0.111262,0.002294,0.0783,0.001237,0.150451,0.000143
0.08,ensemble_disagreement_filter,800,0.38,0.05625,0.111426,0.085054,0.608414,0.000508,0.4306,0.002071,0.09218,0.001957,0.065477,0.000936,0.235838,0.00026
0.08,frozen_tactile_pretraining,800,0.07,0.0125,-0.005068,0.123065,0.617481,0.001283,0.423328,0.003943,0.141713,0.003018,0.094128,0.001604,0.066629,0.00014
0.08,full_finetune_pretraining,800,0.115,0.00375,0.026357,0.111142,0.637965,0.000899,0.449318,0.003172,0.124488,0.002605,0.08526,0.001387,0.120712,0.000141
0.08,invariant_risk_tactile_alignment,800,0.18875,0.03875,0.036294,0.095374,0.618777,0.000617,0.44414,0.002427,0.104183,0.002166,0.071997,0.001111,0.161246,0.000148
0.08,masked_autoencoder_tactile_pretraining,800,0.1275,0.00375,0.034489,0.108134,0.646595,0.000817,0.462748,0.003021,0.120956,0.002545,0.08284,0.00135,0.118572,0.000141
0.08,no_tactile_policy,800,0.11,0.0,0.005813,0.112984,0.430875,0.000802,0.257765,0.003163,0.12124,0.002585,0.089253,0.001509,0.037419,0.000137
0.08,oracle_contact_shift_feature_selector,800,1.0,0.0,0.738529,0.035786,0.820128,0.001105,0.738529,0.000904,0.024992,0.000438,0.032582,0.000248,0.122687,0.000187
0.08,proposed_negative_transfer_guard_v4,800,0.76875,0.03375,0.384918,0.071061,0.687181,0.000467,0.53596,0.001323,0.072108,0.001476,0.055821,0.000729,0.209702,0.000211
0.08,scratch_tactile_policy,800,0.1275,0.005,0.014533,0.105021,0.495961,0.000645,0.321276,0.002717,0.113383,0.002389,0.081686,0.001333,0.098039,0.000139
0.08,sensor_health_filter,800,0.59125,0.0575,0.211357,0.077295,0.598652,0.000512,0.437853,0.001657,0.081609,0.001635,0.060962,0.000861,0.20713,0.000178
0.08,test_time_tactile_adaptation,800,0.24125,0.06,0.050958,0.0915,0.642412,0.000473,0.465846,0.002059,0.09663,0.001951,0.071574,0.001086,0.19294,0.000153
0.08,uncertainty_gated_transfer,800,0.25875,0.055,0.046001,0.091445,0.585657,0.000593,0.394045,0.002377,0.100685,0.002132,0.069829,0.001049,0.256577,0.000242
0.1,action_critical_tactile_transfer_guard_v5,800,1.0,0.0,0.618172,0.049762,0.733513,0.000786,0.618172,0.00062,0.042972,0.000813,0.041595,0.000407,0.185079,0.000224
0.1,conformal_tactile_risk_control,800,0.9725,0.005,0.411931,0.073187,0.597403,0.000471,0.427001,0.001735,0.08243,0.001839,0.052662,0.000648,0.27947,0.000218
0.1,contrastive_tactile_pretraining,800,0.3725,0.05375,0.130716,0.106634,0.654659,0.0008,0.472098,0.00295,0.119464,0.002499,0.081559,0.001307,0.122467,0.000145
0.1,domain_adversarial_tactile_transfer,800,0.45875,0.035,0.171863,0.101966,0.621919,0.000662,0.440048,0.002637,0.111262,0.002294,0.0783,0.001237,0.150451,0.000143
0.1,ensemble_disagreement_filter,800,0.82375,0.02,0.34134,0.085054,0.608414,0.000508,0.4306,0.002071,0.09218,0.001957,0.065477,0.000936,0.235838,0.00026
0.1,frozen_tactile_pretraining,800,0.1625,0.01875,0.040392,0.123065,0.617481,0.001283,0.423328,0.003943,0.141713,0.003018,0.094128,0.001604,0.066629,0.00014
