stress_level,method,seed,n,mismatch,clean_retention,success,utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
0.0,action_critical_tactile_transfer_guard_v5,0,80,0.120007,0.829816,0.789769,0.71199,0.024227,0.817838,0.032449,0.102869,0.035608,0.073655,0.037386
0.0,action_critical_tactile_transfer_guard_v5,1,80,0.120007,0.829816,0.788598,0.710685,0.024001,0.816892,0.032799,0.102795,0.035617,0.07358,0.03743
0.0,action_critical_tactile_transfer_guard_v5,2,80,0.120007,0.829816,0.787984,0.709449,0.024478,0.81702,0.033208,0.102617,0.035963,0.07385,0.037831
0.0,action_critical_tactile_transfer_guard_v5,3,80,0.120007,0.829816,0.788068,0.709767,0.024542,0.81737,0.033115,0.102323,0.035547,0.073881,0.037781
0.0,action_critical_tactile_transfer_guard_v5,4,80,0.120007,0.829816,0.789865,0.712201,0.023661,0.81785,0.03285,0.102472,0.035314,0.073869,0.037355
0.0,action_critical_tactile_transfer_guard_v5,5,80,0.120007,0.829816,0.788403,0.710433,0.024329,0.816599,0.032828,0.102672,0.035412,0.073415,0.037502
0.0,action_critical_tactile_transfer_guard_v5,6,80,0.120007,0.829816,0.789293,0.710847,0.024928,0.818178,0.032951,0.10229,0.036009,0.073484,0.037825
0.0,action_critical_tactile_transfer_guard_v5,7,80,0.120007,0.829816,0.789206,0.710928,0.024184,0.816972,0.033,0.10284,0.035998,0.073587,0.037608
0.0,action_critical_tactile_transfer_guard_v5,8,80,0.120007,0.829816,0.788425,0.710383,0.02427,0.817553,0.032596,0.102652,0.03607,0.073945,0.037555
0.0,action_critical_tactile_transfer_guard_v5,9,80,0.120007,0.829816,0.788441,0.709525,0.024937,0.816015,0.033343,0.102651,0.036092,0.074061,0.038089
0.0,conformal_tactile_risk_control,0,80,0.120007,0.623975,0.673278,0.569687,0.037515,0.616947,0.037586,0.156978,0.042795,0.088889,0.047317
0.0,conformal_tactile_risk_control,1,80,0.120007,0.623975,0.674768,0.572041,0.037896,0.616833,0.036426,0.15695,0.042236,0.088953,0.046961
