variant,seed,n,mismatch,clean_retention,success,utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
classifier_only_guard,0,80,0.362293,0.698645,0.662319,0.511468,0.083338,0.65367,0.059494,0.16207,0.060571,0.119045,0.078428
classifier_only_guard,1,80,0.362293,0.698645,0.661999,0.511455,0.083039,0.655242,0.059787,0.16158,0.05991,0.118461,0.078267
classifier_only_guard,2,80,0.362293,0.698645,0.662093,0.511331,0.08312,0.654034,0.059954,0.161706,0.060085,0.118247,0.078336
classifier_only_guard,3,80,0.362293,0.698645,0.66168,0.511093,0.082482,0.655044,0.06013,0.161901,0.05969,0.118796,0.078245
classifier_only_guard,4,80,0.362293,0.698645,0.661861,0.511671,0.082751,0.656365,0.059264,0.161907,0.060281,0.118225,0.077964
classifier_only_guard,5,80,0.362293,0.698645,0.662736,0.512533,0.082505,0.654865,0.059523,0.16194,0.059874,0.118692,0.078022
classifier_only_guard,6,80,0.362293,0.698645,0.662283,0.512047,0.082283,0.654919,0.059604,0.162131,0.060056,0.118459,0.077954
classifier_only_guard,7,80,0.362293,0.698645,0.662368,0.512137,0.082435,0.655157,0.059736,0.161701,0.059821,0.11844,0.078029
classifier_only_guard,8,80,0.362293,0.698645,0.663602,0.512501,0.082928,0.655597,0.060392,0.162234,0.060163,0.117919,0.078386
classifier_only_guard,9,80,0.362293,0.698645,0.662149,0.511953,0.082114,0.654682,0.059672,0.161835,0.060188,0.118528,0.077948
full_action_critical_guard,0,80,0.362293,0.795838,0.73351,0.617532,0.043846,0.80084,0.041793,0.185052,0.04613,0.082067,0.050174
full_action_critical_guard,1,80,0.362293,0.795838,0.734229,0.6182,0.043456,0.801498,0.042191,0.185421,0.045675,0.082038,0.050142
full_action_critical_guard,2,80,0.362293,0.795838,0.734896,0.619159,0.043104,0.801095,0.042029,0.185097,0.045737,0.082347,0.050023
full_action_critical_guard,3,80,0.362293,0.795838,0.734,0.618287,0.043376,0.800828,0.041761,0.18498,0.046005,0.082285,0.050029
full_action_critical_guard,4,80,0.362293,0.795838,0.73409,0.618272,0.043104,0.801559,0.042104,0.184927,0.046044,0.082051,0.050029
full_action_critical_guard,5,80,0.362293,0.795838,0.733573,0.617551,0.043792,0.801266,0.041902,0.184685,0.046245,0.082325,0.050255
full_action_critical_guard,6,80,0.362293,0.795838,0.733771,0.617812,0.04332,0.801471,0.042347,0.18493,0.045636,0.082003,0.050145
full_action_critical_guard,7,80,0.362293,0.795838,0.73279,0.616732,0.043849,0.802007,0.042088,0.185151,0.045447,0.08254,0.050304
full_action_critical_guard,8,80,0.362293,0.795838,0.734047,0.6189,0.042757,0.801432,0.041424,0.185229,0.045846,0.081927,0.04961
full_action_critical_guard,9,80,0.362293,0.795838,0.733978,0.618303,0.043814,0.802407,0.041483,0.184974,0.046006,0.082038,0.050028
minus_action_critical_mask,0,80,0.362293,0.754221,0.694985,0.562792,0.063895,0.720506,0.049439,0.179436,0.051939,0.089659,0.061844
minus_action_critical_mask,1,80,0.362293,0.754221,0.69585,0.563475,0.064052,0.720956,0.049507,0.180024,0.05153,0.090176,0.061975
