variant,seed,n,mismatch,clean_retention,success,utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
minus_action_critical_mask,2,80,0.362293,0.754221,0.694506,0.562055,0.064035,0.721409,0.049501,0.179734,0.052121,0.089871,0.061971
minus_action_critical_mask,3,80,0.362293,0.754221,0.693931,0.562101,0.063419,0.721691,0.049244,0.179761,0.051509,0.090164,0.061656
minus_action_critical_mask,4,80,0.362293,0.754221,0.695228,0.562936,0.063392,0.72174,0.049688,0.179849,0.051842,0.090328,0.061878
minus_action_critical_mask,5,80,0.362293,0.754221,0.69416,0.562082,0.06412,0.72087,0.049191,0.179567,0.051592,0.090073,0.061866
minus_action_critical_mask,6,80,0.362293,0.754221,0.694546,0.562783,0.063926,0.721499,0.048773,0.179969,0.051632,0.089912,0.061616
minus_action_critical_mask,7,80,0.362293,0.754221,0.69492,0.562661,0.06517,0.72172,0.048855,0.1798,0.051411,0.089766,0.062022
minus_action_critical_mask,8,80,0.362293,0.754221,0.693319,0.561246,0.064281,0.721325,0.049103,0.179722,0.051528,0.089853,0.061841
minus_action_critical_mask,9,80,0.362293,0.754221,0.694742,0.562529,0.064205,0.721169,0.04951,0.179333,0.05139,0.089881,0.061961
minus_clean_retention_term,0,80,0.362293,0.562782,0.663344,0.542766,0.042786,0.781893,0.041573,0.208032,0.0467,0.082069,0.049788
minus_clean_retention_term,1,80,0.362293,0.562782,0.663442,0.543036,0.043109,0.782017,0.041236,0.207734,0.046666,0.082159,0.049782
minus_clean_retention_term,2,80,0.362293,0.562782,0.664077,0.543346,0.042398,0.781798,0.041807,0.207842,0.047306,0.082105,0.049811
minus_clean_retention_term,3,80,0.362293,0.562782,0.666014,0.544759,0.043115,0.782267,0.042167,0.207928,0.047127,0.081871,0.050132
minus_clean_retention_term,4,80,0.362293,0.562782,0.663645,0.542048,0.043968,0.78086,0.0419,0.207922,0.047687,0.081691,0.050344
minus_clean_retention_term,5,80,0.362293,0.562782,0.663672,0.542978,0.04263,0.782478,0.041505,0.208097,0.047193,0.082615,0.049856
minus_clean_retention_term,6,80,0.362293,0.562782,0.663424,0.542269,0.042986,0.782238,0.042031,0.208087,0.046891,0.082702,0.050163
minus_clean_retention_term,7,80,0.362293,0.562782,0.664631,0.544039,0.042482,0.782446,0.041852,0.208029,0.046653,0.081738,0.049726
minus_clean_retention_term,8,80,0.362293,0.562782,0.664484,0.542827,0.043672,0.783459,0.04201,0.208096,0.047671,0.08234,0.050401
minus_clean_retention_term,9,80,0.362293,0.562782,0.663526,0.542535,0.043248,0.781278,0.041808,0.207774,0.046822,0.082486,0.050121
minus_conformal_risk_budget,0,80,0.362293,0.780466,0.717754,0.584697,0.060714,0.774648,0.053018,0.16589,0.051421,0.112935,0.06626
minus_conformal_risk_budget,1,80,0.362293,0.780466,0.716749,0.583327,0.060487,0.773626,0.053634,0.166098,0.051321,0.112902,0.066401
minus_conformal_risk_budget,2,80,0.362293,0.780466,0.715932,0.582562,0.060341,0.77224,0.053587,0.16624,0.051495,0.112585,0.066294
minus_conformal_risk_budget,3,80,0.362293,0.780466,0.716118,0.582639,0.060311,0.772663,0.053819,0.16617,0.05159,0.112057,0.066286
minus_conformal_risk_budget,4,80,0.362293,0.780466,0.719035,0.586094,0.060177,0.773296,0.053323,0.165806,0.051258,0.112685,0.066132
minus_conformal_risk_budget,5,80,0.362293,0.780466,0.716552,0.583136,0.060653,0.773896,0.053645,0.166053,0.051365,0.11213,0.066327
minus_conformal_risk_budget,6,80,0.362293,0.780466,0.71632,0.583214,0.059863,0.773384,0.053582,0.166111,0.051374,0.112776,0.066152
minus_conformal_risk_budget,7,80,0.362293,0.780466,0.717653,0.584458,0.060481,0.772996,0.053483,0.165632,0.051538,0.112242,0.066244
minus_conformal_risk_budget,8,80,0.362293,0.780466,0.717343,0.583925,0.060666,0.772315,0.053511,0.166424,0.051192,0.112717,0.066369
minus_conformal_risk_budget,9,80,0.362293,0.780466,0.71612,0.582884,0.060408,0.774506,0.053488,0.165664,0.051483,0.112924,0.066339
minus_damage_asymmetry,0,80,0.362293,0.777526,0.709877,0.579379,0.053196,0.756061,0.057497,0.170267,0.04951,0.08925,0.060951
minus_damage_asymmetry,1,80,0.362293,0.777526,0.711233,0.581538,0.052602,0.753771,0.056984,0.170277,0.049076,0.089083,0.060481
minus_damage_asymmetry,2,80,0.362293,0.777526,0.710987,0.580943,0.052133,0.755593,0.057468,0.170281,0.049631,0.089293,0.060599
minus_damage_asymmetry,3,80,0.362293,0.777526,0.710996,0.580718,0.05262,0.755442,0.057744,0.1701,0.049358,0.088763,0.060747
minus_damage_asymmetry,4,80,0.362293,0.777526,0.711147,0.580629,0.053161,0.75605,0.057606,0.169914,0.049582,0.089333,0.061003
minus_damage_asymmetry,5,80,0.362293,0.777526,0.712168,0.581615,0.052864,0.755966,0.05785,0.17055,0.049285,0.088853,0.060879
minus_damage_asymmetry,6,80,0.362293,0.777526,0.711913,0.581006,0.053391,0.754263,0.057918,0.170761,0.04934,0.088878,0.061094
minus_damage_asymmetry,7,80,0.362293,0.777526,0.712004,0.581065,0.053694,0.755258,0.05785,0.170137,0.049595,0.088899,0.0612
minus_damage_asymmetry,8,80,0.362293,0.777526,0.710907,0.581036,0.05161,0.754122,0.057565,0.17018,0.049517,0.089698,0.06052
minus_damage_asymmetry,9,80,0.362293,0.777526,0.710556,0.57986,0.05335,0.754899,0.05769,0.17062,0.049389,0.088809,0.060986
minus_latency_compensation,0,80,0.362293,0.763526,0.705181,0.581813,0.051528,0.741748,0.045632,0.182166,0.04872,0.089551,0.055851
minus_latency_compensation,1,80,0.362293,0.763526,0.706615,0.583435,0.051265,0.742593,0.045531,0.1821,0.049026,0.088893,0.055635
minus_latency_compensation,2,80,0.362293,0.763526,0.705581,0.582648,0.051349,0.740742,0.045004,0.182265,0.049091,0.089297,0.055543
minus_latency_compensation,3,80,0.362293,0.763526,0.70655,0.58247,0.051665,0.742284,0.046391,0.181924,0.049051,0.089847,0.056272
minus_latency_compensation,4,80,0.362293,0.763526,0.705093,0.581787,0.051538,0.742204,0.045335,0.182474,0.048938,0.089674,0.055785
minus_latency_compensation,5,80,0.362293,0.763526,0.705784,0.581491,0.052129,0.742644,0.046176,0.182126,0.049553,0.089503,0.056337
minus_latency_compensation,6,80,0.362293,0.763526,0.705999,0.582845,0.050906,0.741959,0.045836,0.182021,0.048628,0.089351,0.055672
minus_latency_compensation,7,80,0.362293,0.763526,0.707089,0.58351,0.052218,0.741711,0.045555,0.182044,0.048691,0.089485,0.056042
minus_latency_compensation,8,80,0.362293,0.763526,0.70724,0.583627,0.051211,0.742511,0.045977,0.182159,0.049166,0.089474,0.055905
minus_latency_compensation,9,80,0.362293,0.763526,0.706005,0.583354,0.050291,0.742161,0.045306,0.182518,0.048877,0.089158,0.055251
minus_sensor_health_model,0,80,0.362293,0.763526,0.696828,0.563701,0.063533,0.713455,0.047592,0.187225,0.051092,0.098169,0.062466
minus_sensor_health_model,1,80,0.362293,0.763526,0.697779,0.56625,0.061982,0.713103,0.046455,0.186984,0.051104,0.098095,0.061494
minus_sensor_health_model,2,80,0.362293,0.763526,0.696622,0.564358,0.062977,0.711889,0.046933,0.187118,0.051134,0.097216,0.061859
minus_sensor_health_model,3,80,0.362293,0.763526,0.696559,0.564141,0.063087,0.713077,0.046914,0.187343,0.050933,0.09832,0.062068
minus_sensor_health_model,4,80,0.362293,0.763526,0.695917,0.563339,0.062407,0.712225,0.047329,0.187556,0.051325,0.098214,0.062014
minus_sensor_health_model,5,80,0.362293,0.763526,0.696556,0.564355,0.061991,0.712424,0.047104,0.187595,0.051104,0.098532,0.061823
minus_sensor_health_model,6,80,0.362293,0.763526,0.696779,0.56443,0.062556,0.712827,0.04691,0.18709,0.051404,0.098967,0.062049
minus_sensor_health_model,7,80,0.362293,0.763526,0.696843,0.564481,0.063034,0.71335,0.046767,0.187028,0.051487,0.098059,0.062003
minus_sensor_health_model,8,80,0.362293,0.763526,0.697569,0.565458,0.061998,0.712851,0.047077,0.187225,0.051395,0.097818,0.061716
minus_sensor_health_model,9,80,0.362293,0.763526,0.695711,0.562846,0.063273,0.711809,0.047341,0.187101,0.051314,0.098139,0.062299
minus_source_target_mismatch,0,80,0.362293,0.750453,0.686863,0.553619,0.068968,0.699747,0.048999,0.174149,0.052479,0.090361,0.063582
minus_source_target_mismatch,1,80,0.362293,0.750453,0.687893,0.554754,0.068745,0.699718,0.049044,0.174571,0.052264,0.089841,0.063408
minus_source_target_mismatch,2,80,0.362293,0.750453,0.685822,0.552331,0.069225,0.700432,0.049134,0.173964,0.052555,0.090753,0.063798
minus_source_target_mismatch,3,80,0.362293,0.750453,0.687144,0.554168,0.069375,0.700063,0.048706,0.17409,0.051703,0.090581,0.06357
minus_source_target_mismatch,4,80,0.362293,0.750453,0.686227,0.552531,0.069263,0.699989,0.049274,0.174628,0.052536,0.090289,0.063779
minus_source_target_mismatch,5,80,0.362293,0.750453,0.686532,0.553881,0.068518,0.699875,0.048704,0.174125,0.051816,0.090727,0.063316
minus_source_target_mismatch,6,80,0.362293,0.750453,0.687529,0.553716,0.069029,0.700302,0.049837,0.174249,0.052312,0.089962,0.063832
minus_source_target_mismatch,7,80,0.362293,0.750453,0.686931,0.553995,0.068969,0.700111,0.048729,0.174241,0.052166,0.090116,0.063404
minus_source_target_mismatch,8,80,0.362293,0.750453,0.687557,0.553519,0.069475,0.69993,0.049668,0.174493,0.052303,0.090792,0.064068
minus_source_target_mismatch,9,80,0.362293,0.750453,0.686697,0.553008,0.069463,0.700965,0.049122,0.174314,0.052687,0.090597,0.06386
old_v4_guard,0,80,0.362293,0.729047,0.68792,0.536344,0.072479,0.698039,0.055992,0.209848,0.057066,0.109157,0.071275
old_v4_guard,1,80,0.362293,0.729047,0.688325,0.53762,0.071895,0.697356,0.055226,0.209867,0.056952,0.109087,0.070761
old_v4_guard,2,80,0.362293,0.729047,0.68736,0.535937,0.072258,0.696708,0.055871,0.209823,0.057143,0.109302,0.071187
old_v4_guard,3,80,0.362293,0.729047,0.68835,0.537629,0.071418,0.698383,0.055582,0.209944,0.056724,0.109279,0.070746
old_v4_guard,4,80,0.362293,0.729047,0.688584,0.537294,0.072205,0.697406,0.055694,0.209665,0.057309,0.109319,0.071122
old_v4_guard,5,80,0.362293,0.729047,0.687833,0.536382,0.072305,0.69805,0.055848,0.209971,0.056922,0.109815,0.071265
old_v4_guard,6,80,0.362293,0.729047,0.687763,0.536493,0.071859,0.696889,0.056097,0.209807,0.056808,0.109044,0.071057
old_v4_guard,7,80,0.362293,0.729047,0.686336,0.534996,0.071854,0.697683,0.056084,0.209683,0.057031,0.109362,0.071131
old_v4_guard,8,80,0.362293,0.729047,0.686695,0.534716,0.072332,0.69658,0.056514,0.210168,0.057093,0.109183,0.07143
old_v4_guard,9,80,0.362293,0.729047,0.687093,0.535656,0.072241,0.697116,0.056057,0.209757,0.057003,0.108826,0.071153
