task,regime,split,method,n,stress,mismatch,action_criticality,clean_retention,success,success_ci95,utility,utility_ci95,deploy_utility,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
cable_threading,compound_contact_shift,clean_transfer,action_critical_tactile_transfer_guard_v5,10,0.06,0.232369,0.5258,0.825755,0.789321,0.003885,0.702207,0.004067,0.702207,0.031833,0.002684,0.808694,0.002723,0.03648,0.001612,0.110157,0.001347,0.039231,0.001469,0.075042,0.042116
cable_threading,compound_contact_shift,clean_transfer,conformal_tactile_risk_control,10,0.06,0.232369,0.5258,0.614144,0.66406,0.001913,0.544353,0.002492,0.544353,0.056333,0.00283,0.604538,0.003477,0.041149,0.00108,0.166452,0.001067,0.050391,0.001418,0.093014,0.056572
cable_threading,compound_contact_shift,clean_transfer,contrastive_tactile_pretraining,10,0.06,0.232369,0.5258,0.820725,0.726326,0.004265,0.597847,0.005082,0.597847,0.08063,0.002714,0.594379,0.002724,0.057408,0.003068,0.071058,0.000829,0.057189,0.00118,0.131498,0.078618
cable_threading,compound_contact_shift,clean_transfer,domain_adversarial_tactile_transfer,10,0.06,0.232369,0.5258,0.74173,0.695767,0.003439,0.57038,0.00454,0.57038,0.07463,0.002657,0.593844,0.004188,0.053517,0.002069,0.085421,0.000894,0.056286,0.001084,0.128306,0.074435
cable_threading,compound_contact_shift,clean_transfer,ensemble_disagreement_filter,10,0.06,0.232369,0.5258,0.671631,0.679136,0.002438,0.553641,0.002597,0.553641,0.06566,0.002672,0.614281,0.003203,0.048045,0.001686,0.139497,0.001698,0.052551,0.000903,0.10741,0.06517
cable_threading,compound_contact_shift,clean_transfer,frozen_tactile_pretraining,10,0.06,0.232369,0.5258,0.825524,0.697182,0.002282,0.562718,0.002684,0.562718,0.094923,0.003106,0.496513,0.003889,0.063908,0.001473,0.034797,0.001252,0.061119,0.001089,0.143693,0.088535
cable_threading,compound_contact_shift,clean_transfer,full_finetune_pretraining,10,0.06,0.232369,0.5258,0.784729,0.715983,0.005215,0.584356,0.006201,0.584356,0.083982,0.002065,0.554895,0.001905,0.058822,0.001583,0.069483,0.000891,0.057991,0.00152,0.137201,0.081401
cable_threading,compound_contact_shift,clean_transfer,invariant_risk_tactile_alignment,10,0.06,0.232369,0.5258,0.713798,0.690908,0.003395,0.567663,0.004748,0.567663,0.070636,0.002612,0.598414,0.002095,0.052249,0.00204,0.093605,0.001183,0.05413,0.001156,0.123992,0.071603
cable_threading,compound_contact_shift,clean_transfer,masked_autoencoder_tactile_pretraining,10,0.06,0.232369,0.5258,0.804593,0.720474,0.002928,0.589245,0.002526,0.589245,0.084002,0.001238,0.579203,0.003447,0.059266,0.001821,0.067235,0.001718,0.058905,0.000931,0.13275,0.080867
cable_threading,compound_contact_shift,clean_transfer,no_tactile_policy,10,0.06,0.232369,0.5258,0.149792,0.501977,0.003541,0.379878,0.004539,0.379878,0.083515,0.002435,0.266654,0.003401,0.061135,0.00258,0.017081,0.001271,0.058058,0.001055,0.141173,0.082843
cable_threading,compound_contact_shift,clean_transfer,oracle_contact_shift_feature_selector,10,0.06,0.232369,0.5258,0.89008,0.86874,0.004614,0.801465,0.004872,0.801465,0.02239,0.002334,0.927472,0.004431,0.031016,0.001807,0.072689,0.001317,0.034389,0.001042,0.060443,0.033717
cable_threading,compound_contact_shift,clean_transfer,proposed_negative_transfer_guard_v4,10,0.06,0.232369,0.5258,0.761049,0.751637,0.002814,0.643903,0.004526,0.643903,0.050052,0.002124,0.706658,0.003748,0.042721,0.00232,0.124407,0.000725,0.045883,0.001223,0.096207,0.055157
cable_threading,compound_contact_shift,clean_transfer,scratch_tactile_policy,10,0.06,0.232369,0.5258,0.377033,0.565926,0.002924,0.443586,0.003314,0.443586,0.075434,0.003034,0.437831,0.002807,0.057596,0.002501,0.054892,0.001326,0.055372,0.000477,0.133152,0.077039
cable_threading,compound_contact_shift,clean_transfer,sensor_health_filter,10,0.06,0.232369,0.5258,0.625451,0.664851,0.003577,0.550905,0.003898,0.550905,0.055076,0.002683,0.640115,0.003361,0.04569,0.001983,0.124877,0.000994,0.049959,0.001165,0.09909,0.05892
cable_threading,compound_contact_shift,clean_transfer,test_time_tactile_adaptation,10,0.06,0.232369,0.5258,0.746062,0.714398,0.002832,0.591768,0.003073,0.591768,0.064934,0.002841,0.64063,0.003265,0.050234,0.000921,0.11461,0.000882,0.052076,0.001474,0.119653,0.067912
cable_threading,compound_contact_shift,clean_transfer,uncertainty_gated_transfer,10,0.06,0.232369,0.5258,0.639903,0.66257,0.003098,0.529891,0.003262,0.529891,0.068884,0.001599,0.57757,0.004403,0.05023,0.001869,0.152171,0.001456,0.055582,0.001877,0.110396,0.067937
cable_threading,compound_contact_shift,combined_stress,action_critical_tactile_transfer_guard_v5,10,0.88,0.602958,0.732,0.791458,0.746637,0.002179,0.615872,0.003722,0.615872,0.061234,0.002589,0.782325,0.00226,0.045684,0.001807,0.190791,0.001357,0.053159,0.001257,0.08683,0.059125
cable_threading,compound_contact_shift,combined_stress,conformal_tactile_risk_control,10,0.88,0.602958,0.732,0.56156,0.588879,0.002135,0.382998,0.002677,0.382998,0.128756,0.001021,0.56367,0.002437,0.061101,0.001915,0.283644,0.001169,0.082921,0.001397,0.114906,0.095971
cable_threading,compound_contact_shift,combined_stress,contrastive_tactile_pretraining,10,0.88,0.602958,0.732,0.774333,0.639439,0.003375,0.407854,0.004406,0.407854,0.180713,0.002149,0.551749,0.005186,0.098732,0.001695,0.123249,0.000881,0.094314,0.001061,0.165893,0.138253
cable_threading,compound_contact_shift,combined_stress,domain_adversarial_tactile_transfer,10,0.88,0.602958,0.732,0.6963,0.611049,0.00181,0.382439,0.003046,0.382439,0.16793,0.001888,0.557053,0.004026,0.095648,0.00146,0.151194,0.001055,0.092609,0.000715,0.161374,0.131751
cable_threading,compound_contact_shift,combined_stress,ensemble_disagreement_filter,10,0.88,0.602958,0.732,0.610233,0.603621,0.004795,0.38741,0.005113,0.38741,0.139687,0.002276,0.572852,0.003793,0.076585,0.001705,0.241728,0.001002,0.086061,0.001068,0.132993,0.109141
cable_threading,compound_contact_shift,combined_stress,frozen_tactile_pretraining,10,0.88,0.602958,0.732,0.777327,0.583177,0.003352,0.329853,0.003603,0.329853,0.217341,0.002335,0.450553,0.002238,0.113949,0.002319,0.067263,0.001589,0.106514,0.000895,0.185959,0.161321
cable_threading,compound_contact_shift,combined_stress,full_finetune_pretraining,10,0.88,0.602958,0.732,0.738398,0.615642,0.003929,0.374702,0.004946,0.374702,0.189956,0.00253,0.517268,0.003679,0.103577,0.0014,0.121737,0.00154,0.097713,0.001473,0.173017,0.144858
cable_threading,compound_contact_shift,combined_stress,invariant_risk_tactile_alignment,10,0.88,0.602958,0.732,0.669291,0.606629,0.004055,0.388892,0.004957,0.388892,0.158024,0.002612,0.5597,0.003328,0.086945,0.001648,0.161451,0.001312,0.089082,0.000585,0.152177,0.123067
cable_threading,compound_contact_shift,combined_stress,masked_autoencoder_tactile_pretraining,10,0.88,0.602958,0.732,0.758221,0.628583,0.004523,0.394284,0.006232,0.394284,0.186504,0.003629,0.541684,0.003783,0.099279,0.002611,0.118781,0.001175,0.096191,0.001481,0.166605,0.140745
cable_threading,compound_contact_shift,combined_stress,no_tactile_policy,10,0.88,0.602958,0.732,0.101615,0.41844,0.004805,0.194778,0.006477,0.194778,0.184709,0.002729,0.218982,0.003955,0.105756,0.002122,0.036804,0.001,0.102063,0.001562,0.179387,0.145484
cable_threading,compound_contact_shift,combined_stress,oracle_contact_shift_feature_selector,10,0.88,0.602958,0.732,0.867489,0.840621,0.003007,0.751709,0.003434,0.751709,0.035483,0.001988,0.903564,0.00283,0.033406,0.001824,0.125863,0.001726,0.040049,0.000909,0.064324,0.040342
